group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,992763.0,ns,6699
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,1979184.0,ns,13398
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,2951974.0,ns,20097
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,3983537.0,ns,26796
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,5028425.0,ns,33495
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,5960223.0,ns,40194
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,7003366.0,ns,46893
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,7953270.0,ns,53592
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,8919884.0,ns,60291
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,9992612.0,ns,66990
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,10864271.0,ns,73689
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,11895591.0,ns,80388
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,12855996.0,ns,87087
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,13886468.0,ns,93786
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,14803726.0,ns,100485
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,15905652.0,ns,107184
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,16822268.0,ns,113883
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,17811809.0,ns,120582
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,18730506.0,ns,127281
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,19783222.0,ns,133980
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,20754845.0,ns,140679
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,21848484.0,ns,147378
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,22809296.0,ns,154077
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,23686909.0,ns,160776
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,24700635.0,ns,167475
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,25836916.0,ns,174174
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,26797234.0,ns,180873
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,27777631.0,ns,187572
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,28676070.0,ns,194271
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,29665190.0,ns,200970
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,30656811.0,ns,207669
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,31734021.0,ns,214368
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,32644226.0,ns,221067
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,33652298.0,ns,227766
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,34483328.0,ns,234465
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,35569811.0,ns,241164
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,36520596.0,ns,247863
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,37639409.0,ns,254562
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,38408309.0,ns,261261
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,39431854.0,ns,267960
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,40601795.0,ns,274659
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,41657826.0,ns,281358
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,42557747.0,ns,288057
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,43728720.0,ns,294756
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,44354102.0,ns,301455
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,45375294.0,ns,308154
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,46540376.0,ns,314853
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,47651976.0,ns,321552
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,48450804.0,ns,328251
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,49505847.0,ns,334950
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,50442011.0,ns,341649
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,51445345.0,ns,348348
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,52290414.0,ns,355047
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,53423023.0,ns,361746
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,54325112.0,ns,368445
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,55418144.0,ns,375144
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,56138988.0,ns,381843
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,57453892.0,ns,388542
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,58255581.0,ns,395241
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,59627631.0,ns,401940
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,60423977.0,ns,408639
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,61474529.0,ns,415338
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,62356993.0,ns,422037
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,63046487.0,ns,428736
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,64323250.0,ns,435435
wide matrix4 transpose,ultraviolet_f32x4,16,16,elements,65252509.0,ns,442134
