group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,993140.0,ns,4529
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,1992545.0,ns,9058
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,2974110.0,ns,13587
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,3970645.0,ns,18116
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,4949076.0,ns,22645
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,5877503.0,ns,27174
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,6883413.0,ns,31703
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,7848383.0,ns,36232
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,8853469.0,ns,40761
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,9825595.0,ns,45290
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,10786508.0,ns,49819
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,11739215.0,ns,54348
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,12740846.0,ns,58877
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,13826589.0,ns,63406
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,14673259.0,ns,67935
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,15710448.0,ns,72464
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,16679803.0,ns,76993
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,17613105.0,ns,81522
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,18599354.0,ns,86051
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,19608714.0,ns,90580
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,20640896.0,ns,95109
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,21627043.0,ns,99638
wide matrix4 transpose,ultraviolet_f32x8,16,16,elements,22499677.0,ns,104167
