group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,1140594.0,ns,8
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,2303939.0,ns,16
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,3427072.0,ns,24
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,4675893.0,ns,32
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,5711615.0,ns,40
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,6865698.0,ns,48
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,7988751.0,ns,56
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,9155400.0,ns,64
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,10290478.0,ns,72
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,11467489.0,ns,80
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,12576260.0,ns,88
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,13702727.0,ns,96
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,14863338.0,ns,104
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,16008778.0,ns,112
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,17131715.0,ns,120
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,18292464.0,ns,128
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,19453488.0,ns,136
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,20566981.0,ns,144
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,21696365.0,ns,152
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,22838295.0,ns,160
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,24019016.0,ns,168
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,25172928.0,ns,176
wide ray-sphere intersection,nalgebra_f32x4,80000,80000,elements,26268497.0,ns,184
