group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,1022627.0,ns,11
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,2045215.0,ns,22
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,3067809.0,ns,33
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,4093236.0,ns,44
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,5116044.0,ns,55
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,6140130.0,ns,66
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,7164846.0,ns,77
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,8185643.0,ns,88
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,9210475.0,ns,99
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,10230931.0,ns,110
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,11255711.0,ns,121
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,12280769.0,ns,132
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,13301282.0,ns,143
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,14325322.0,ns,154
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,15349167.0,ns,165
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,16371772.0,ns,176
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,17395890.0,ns,187
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,18416649.0,ns,198
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,19440755.0,ns,209
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,20464080.0,ns,220
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,21486100.0,ns,231
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,22508306.0,ns,242
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,23534426.0,ns,253
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,24557513.0,ns,264
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,25580349.0,ns,275
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,26604573.0,ns,286
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,27641765.0,ns,297
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,28669399.0,ns,308
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,29676448.0,ns,319
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,30701303.0,ns,330
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,31726818.0,ns,341
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,32764217.0,ns,352
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,33774530.0,ns,363
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,34790167.0,ns,374
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,35819188.0,ns,385
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,36839077.0,ns,396
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,37857748.0,ns,407
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,38889210.0,ns,418
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,39905787.0,ns,429
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,40931371.0,ns,440
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,41952987.0,ns,451
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,42972677.0,ns,462
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,43997032.0,ns,473
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,45032047.0,ns,484
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,46050571.0,ns,495
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,47070828.0,ns,506
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,48097832.0,ns,517
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,49113965.0,ns,528
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,50139472.0,ns,539
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,51176440.0,ns,550
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,52188627.0,ns,561
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,53211147.0,ns,572
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,54229449.0,ns,583
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,55263585.0,ns,594
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,56324786.0,ns,605
wide ray-sphere intersection,nalgebra_f32x8,80000,80000,elements,57303092.0,ns,616
