group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,1058436.0,ns,10
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,2121339.0,ns,20
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,3182879.0,ns,30
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,4271848.0,ns,40
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,5301499.0,ns,50
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,6381216.0,ns,60
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,7423637.0,ns,70
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,8484727.0,ns,80
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,9524771.0,ns,90
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,10605106.0,ns,100
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,11635936.0,ns,110
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,12701329.0,ns,120
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,13759061.0,ns,130
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,14815269.0,ns,140
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,15880644.0,ns,150
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,16974073.0,ns,160
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,18031431.0,ns,170
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,19134820.0,ns,180
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,20154200.0,ns,190
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,21217226.0,ns,200
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,22275595.0,ns,210
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,23333697.0,ns,220
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,24419279.0,ns,230
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,25457946.0,ns,240
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,26557102.0,ns,250
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,27622440.0,ns,260
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,28664328.0,ns,270
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,29701251.0,ns,280
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,30794308.0,ns,290
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,31823233.0,ns,300
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,32882908.0,ns,310
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,34005493.0,ns,320
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,35047181.0,ns,330
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,36084734.0,ns,340
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,37145136.0,ns,350
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,38185444.0,ns,360
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,39308918.0,ns,370
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,40432082.0,ns,380
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,41431072.0,ns,390
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,42427394.0,ns,400
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,43491429.0,ns,410
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,44653236.0,ns,420
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,45634352.0,ns,430
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,46694368.0,ns,440
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,47731763.0,ns,450
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,48833143.0,ns,460
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,49903688.0,ns,470
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,50919547.0,ns,480
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,52043788.0,ns,490
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,53132608.0,ns,500
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,54141852.0,ns,510
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,55181608.0,ns,520
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,56246334.0,ns,530
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,57565545.0,ns,540
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,58382334.0,ns,550
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,59422693.0,ns,560
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,60765996.0,ns,570
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,61762472.0,ns,580
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,62609425.0,ns,590
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,63771778.0,ns,600
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,64731486.0,ns,610
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,65790633.0,ns,620
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,66911306.0,ns,630
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,67912783.0,ns,640
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,68995881.0,ns,650
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,70094577.0,ns,660
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,71161047.0,ns,670
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,72132546.0,ns,680
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,73296592.0,ns,690
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,74296309.0,ns,700
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,75358130.0,ns,710
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,76683634.0,ns,720
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,77485086.0,ns,730
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,81618781.0,ns,740
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,79645889.0,ns,750
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,80823427.0,ns,760
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,81754790.0,ns,770
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,82766471.0,ns,780
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,84480564.0,ns,790
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,85142606.0,ns,800
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,86326802.0,ns,810
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,87038623.0,ns,820
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,88124149.0,ns,830
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,89516110.0,ns,840
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,90172349.0,ns,850
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,91438735.0,ns,860
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,92299181.0,ns,870
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,93451663.0,ns,880
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,94423818.0,ns,890
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,95550888.0,ns,900
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,96578912.0,ns,910
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,97694123.0,ns,920
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,98691132.0,ns,930
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,99886710.0,ns,940
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,100820399.0,ns,950
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,101967973.0,ns,960
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,102937881.0,ns,970
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,104037044.0,ns,980
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,105084435.0,ns,990
wide ray-sphere intersection,ultraviolet_f32x8,80000,80000,elements,106192880.0,ns,1000
