group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,1088787.0,ns,33933
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,2033392.0,ns,67866
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,3014546.0,ns,101799
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,3991950.0,ns,135732
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,4985759.0,ns,169665
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,5951498.0,ns,203598
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,6961538.0,ns,237531
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,7919107.0,ns,271464
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,8922767.0,ns,305397
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,9913699.0,ns,339330
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,10866555.0,ns,373263
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,11995373.0,ns,407196
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,12896549.0,ns,441129
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,13821658.0,ns,475062
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,14813843.0,ns,508995
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,15795176.0,ns,542928
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,16871594.0,ns,576861
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,17783910.0,ns,610794
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,18730315.0,ns,644727
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,19770829.0,ns,678660
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,20724975.0,ns,712593
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,21713147.0,ns,746526
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,22781274.0,ns,780459
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,23662654.0,ns,814392
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,24646053.0,ns,848325
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,25667020.0,ns,882258
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,26628363.0,ns,916191
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,27604203.0,ns,950124
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,28574448.0,ns,984057
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,29570181.0,ns,1017990
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,30652221.0,ns,1051923
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,31687684.0,ns,1085856
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,32584337.0,ns,1119789
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,33513103.0,ns,1153722
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,34589912.0,ns,1187655
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,35492037.0,ns,1221588
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,36505758.0,ns,1255521
wide rotation3 inverse,nalgebra_f32x4,16,16,elements,37488152.0,ns,1289454
