group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,1082336.0,ns,48841
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,2046071.0,ns,97682
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,3026650.0,ns,146523
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,4010218.0,ns,195364
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,5112509.0,ns,244205
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,5987050.0,ns,293046
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,6954464.0,ns,341887
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,7955047.0,ns,390728
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,8913984.0,ns,439569
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,9918092.0,ns,488410
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,10889258.0,ns,537251
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,11901060.0,ns,586092
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,12870705.0,ns,634933
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,13895024.0,ns,683774
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,14929076.0,ns,732615
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,15873120.0,ns,781456
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,17008739.0,ns,830297
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,17997766.0,ns,879138
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,18952074.0,ns,927979
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,20142712.0,ns,976820
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,20792751.0,ns,1025661
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,21980929.0,ns,1074502
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,22712904.0,ns,1123343
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,23712301.0,ns,1172184
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,24604938.0,ns,1221025
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,25749438.0,ns,1269866
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,26736052.0,ns,1318707
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,27733481.0,ns,1367548
wide rotation3 inverse,nalgebra_f32x8,16,16,elements,28584423.0,ns,1416389
