group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,1053950.0,ns,16285
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,2025661.0,ns,32570
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,3014337.0,ns,48855
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,3983818.0,ns,65140
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,5021984.0,ns,81425
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,5942569.0,ns,97710
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,6892338.0,ns,113995
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,7889326.0,ns,130280
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,8895184.0,ns,146565
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,9884810.0,ns,162850
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,10869876.0,ns,179135
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,11891112.0,ns,195420
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,12809643.0,ns,211705
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,14158517.0,ns,227990
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,15076055.0,ns,244275
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,15751791.0,ns,260560
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,16650972.0,ns,276845
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,17639843.0,ns,293130
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,18594657.0,ns,309415
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,19573118.0,ns,325700
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,21259438.0,ns,341985
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,22164453.0,ns,358270
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,23252665.0,ns,374555
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,24389447.0,ns,390840
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,25442192.0,ns,407125
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,26384098.0,ns,423410
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,27454820.0,ns,439695
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,28459498.0,ns,455980
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,29600378.0,ns,472265
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,30483942.0,ns,488550
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,31719935.0,ns,504835
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,32251069.0,ns,521120
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,33356307.0,ns,537405
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,34175682.0,ns,553690
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,35471586.0,ns,569975
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,36531505.0,ns,586260
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,37563761.0,ns,602545
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,38730203.0,ns,618830
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,39646086.0,ns,635115
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,40670388.0,ns,651400
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,41763532.0,ns,667685
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,42766292.0,ns,683970
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,43871262.0,ns,700255
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,44578773.0,ns,716540
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,45814829.0,ns,732825
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,46745297.0,ns,749110
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,54034037.0,ns,765395
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,49682070.0,ns,781680
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,50928872.0,ns,797965
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,51934796.0,ns,814250
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,53090703.0,ns,830535
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,53853463.0,ns,846820
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,55111469.0,ns,863105
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,56160462.0,ns,879390
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,57010689.0,ns,895675
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,57859583.0,ns,911960
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,59503390.0,ns,928245
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,60035432.0,ns,944530
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,61072230.0,ns,960815
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,62492645.0,ns,977100
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,63145392.0,ns,993385
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,64174081.0,ns,1009670
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,65131249.0,ns,1025955
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,66878102.0,ns,1042240
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,67457976.0,ns,1058525
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,68479996.0,ns,1074810
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,69239519.0,ns,1091095
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,70610062.0,ns,1107380
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,71573994.0,ns,1123665
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,72382846.0,ns,1139950
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,73833658.0,ns,1156235
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,74583503.0,ns,1172520
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,75512906.0,ns,1188805
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,79759809.0,ns,1205090
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,76297116.0,ns,1221375
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,78178953.0,ns,1237660
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,78615366.0,ns,1253945
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,80266603.0,ns,1270230
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,80578468.0,ns,1286515
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,81591201.0,ns,1302800
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,82428544.0,ns,1319085
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,83984792.0,ns,1335370
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,85102379.0,ns,1351655
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,85523871.0,ns,1367940
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,86951480.0,ns,1384225
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,87294115.0,ns,1400510
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,88949957.0,ns,1416795
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,89993471.0,ns,1433080
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,91032684.0,ns,1449365
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,91706028.0,ns,1465650
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,93212024.0,ns,1481935
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,93547675.0,ns,1498220
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,95507560.0,ns,1514505
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,96149800.0,ns,1530790
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,97382216.0,ns,1547075
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,97735473.0,ns,1563360
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,99778279.0,ns,1579645
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,99956283.0,ns,1595930
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,101262453.0,ns,1612215
wide rotation3 mul rotation3,glam_f32x1,16,16,elements,101674335.0,ns,1628500
