group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,1284139.0,ns,24200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,2299738.0,ns,48400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,3330566.0,ns,72600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,4294724.0,ns,96800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,5255962.0,ns,121000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,6297706.0,ns,145200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,7221423.0,ns,169400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,8193630.0,ns,193600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,8828980.0,ns,217800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,10319072.0,ns,242000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,10895163.0,ns,266200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,12274657.0,ns,290400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,13207415.0,ns,314600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,14051576.0,ns,338800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,14618589.0,ns,363000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,15726925.0,ns,387200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,17010360.0,ns,411400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,17684697.0,ns,435600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,19254319.0,ns,459800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,19404073.0,ns,484000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,20422602.0,ns,508200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,21300294.0,ns,532400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,23304712.0,ns,556600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,23293701.0,ns,580800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,25100791.0,ns,605000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,25313516.0,ns,629200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,26102251.0,ns,653400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,27262511.0,ns,677600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,28202564.0,ns,701800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,29243049.0,ns,726000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,29982575.0,ns,750200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,31215321.0,ns,774400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,31824742.0,ns,798600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,32722735.0,ns,822800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,33590476.0,ns,847000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,34783380.0,ns,871200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,35538816.0,ns,895400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,38043311.0,ns,919600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,37681084.0,ns,943800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,40337779.0,ns,968000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,40150670.0,ns,992200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,41006998.0,ns,1016400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,42041985.0,ns,1040600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,42946135.0,ns,1064800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,44038774.0,ns,1089000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,46253913.0,ns,1113200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,48021967.0,ns,1137400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,46897431.0,ns,1161600
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,49516136.0,ns,1185800
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,49159216.0,ns,1210000
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,49474967.0,ns,1234200
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,51148012.0,ns,1258400
wide rotation3 mul rotation3,nalgebra_f32x4,16,16,elements,51465439.0,ns,1282600
