group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,1277411.0,ns,24548
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,2298290.0,ns,49096
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,3336068.0,ns,73644
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,4302086.0,ns,98192
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,5384684.0,ns,122740
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,6393355.0,ns,147288
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,7387602.0,ns,171836
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,8329129.0,ns,196384
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,9439103.0,ns,220932
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,10284161.0,ns,245480
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,11552521.0,ns,270028
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,12404344.0,ns,294576
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,13593061.0,ns,319124
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,14283222.0,ns,343672
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,15569479.0,ns,368220
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,16398451.0,ns,392768
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,17784786.0,ns,417316
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,18824333.0,ns,441864
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,19739055.0,ns,466412
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,20380775.0,ns,490960
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,21703775.0,ns,515508
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,22213454.0,ns,540056
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,24039714.0,ns,564604
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,24544255.0,ns,589152
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,26030103.0,ns,613700
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,26226106.0,ns,638248
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,28024058.0,ns,662796
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,28152542.0,ns,687344
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,29988747.0,ns,711892
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,30939015.0,ns,736440
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,31808379.0,ns,760988
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,31725898.0,ns,785536
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,34122094.0,ns,810084
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,34277267.0,ns,834632
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,35920897.0,ns,859180
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,36594526.0,ns,883728
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,37929088.0,ns,908276
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,37157326.0,ns,932824
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,40301561.0,ns,957372
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,39341108.0,ns,981920
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,42084396.0,ns,1006468
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,42310333.0,ns,1031016
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,43178613.0,ns,1055564
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,43128998.0,ns,1080112
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,46634140.0,ns,1104660
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,44520403.0,ns,1129208
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,48311977.0,ns,1153756
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,48480595.0,ns,1178304
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,49930644.0,ns,1202852
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,49404929.0,ns,1227400
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,52793148.0,ns,1251948
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,52602308.0,ns,1276496
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,55080060.0,ns,1301044
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,53556802.0,ns,1325592
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,55963400.0,ns,1350140
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,56899889.0,ns,1374688
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,57897871.0,ns,1399236
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,57810506.0,ns,1423784
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,60307762.0,ns,1448332
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,59965635.0,ns,1472880
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,62521883.0,ns,1497428
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,62729307.0,ns,1521976
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,64135911.0,ns,1546524
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,62981377.0,ns,1571072
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,66644983.0,ns,1595620
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,63845064.0,ns,1620168
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,68298517.0,ns,1644716
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,68501589.0,ns,1669264
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,70360767.0,ns,1693812
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,68100052.0,ns,1718360
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,72555513.0,ns,1742908
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,69646940.0,ns,1767456
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,73624013.0,ns,1792004
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,74653107.0,ns,1816552
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,76396967.0,ns,1841100
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,77260263.0,ns,1865648
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,78693707.0,ns,1890196
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,78407976.0,ns,1914744
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,77080778.0,ns,1939292
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,79540925.0,ns,1963840
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,82758123.0,ns,1988388
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,83681381.0,ns,2012936
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,84249173.0,ns,2037484
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,80764109.0,ns,2062032
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,86385194.0,ns,2086580
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,85600599.0,ns,2111128
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,89152325.0,ns,2135676
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,88711522.0,ns,2160224
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,90473887.0,ns,2184772
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,87274254.0,ns,2209320
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,89087239.0,ns,2233868
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,92005890.0,ns,2258416
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,94983169.0,ns,2282964
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,94758496.0,ns,2307512
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,93805666.0,ns,2332060
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,93574506.0,ns,2356608
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,99328693.0,ns,2381156
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,98509758.0,ns,2405704
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,100625619.0,ns,2430252
wide rotation3 mul rotation3,ultraviolet_f32x4,16,16,elements,100779173.0,ns,2454800
