group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,1247503.0,ns,24146
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,2366807.0,ns,48292
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,3368951.0,ns,72438
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,4355998.0,ns,96584
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,5390180.0,ns,120730
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,6402098.0,ns,144876
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,7479413.0,ns,169022
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,8291241.0,ns,193168
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,9309032.0,ns,217314
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,10393525.0,ns,241460
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,11256303.0,ns,265606
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,12454561.0,ns,289752
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,13430932.0,ns,313898
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,14191970.0,ns,338044
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,15276404.0,ns,362190
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,16327614.0,ns,386336
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,17450755.0,ns,410482
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,18119119.0,ns,434628
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,19251208.0,ns,458774
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,20175928.0,ns,482920
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,21020279.0,ns,507066
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,22344340.0,ns,531212
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,23342715.0,ns,555358
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,24411950.0,ns,579504
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,24899109.0,ns,603650
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,26664318.0,ns,627796
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,27076979.0,ns,651942
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,28728410.0,ns,676088
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,28936378.0,ns,700234
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,30229421.0,ns,724380
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,30781340.0,ns,748526
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,31838391.0,ns,772672
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,32438688.0,ns,796818
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,33915709.0,ns,820964
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,34482381.0,ns,845110
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,36256952.0,ns,869256
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,36190156.0,ns,893402
wide rotation3 mul rotation3,ultraviolet_f32x8,16,16,elements,37806248.0,ns,917548
