group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 mul vector3,glam_f32x1,16,16,elements,1113070.0,ns,8591
wide rotation3 mul vector3,glam_f32x1,16,16,elements,2107839.0,ns,17182
wide rotation3 mul vector3,glam_f32x1,16,16,elements,3061319.0,ns,25773
wide rotation3 mul vector3,glam_f32x1,16,16,elements,4091775.0,ns,34364
wide rotation3 mul vector3,glam_f32x1,16,16,elements,5080693.0,ns,42955
wide rotation3 mul vector3,glam_f32x1,16,16,elements,6098716.0,ns,51546
wide rotation3 mul vector3,glam_f32x1,16,16,elements,7090803.0,ns,60137
wide rotation3 mul vector3,glam_f32x1,16,16,elements,8052647.0,ns,68728
wide rotation3 mul vector3,glam_f32x1,16,16,elements,8990313.0,ns,77319
wide rotation3 mul vector3,glam_f32x1,16,16,elements,9971574.0,ns,85910
wide rotation3 mul vector3,glam_f32x1,16,16,elements,10951124.0,ns,94501
wide rotation3 mul vector3,glam_f32x1,16,16,elements,11999995.0,ns,103092
wide rotation3 mul vector3,glam_f32x1,16,16,elements,12965160.0,ns,111683
wide rotation3 mul vector3,glam_f32x1,16,16,elements,13955159.0,ns,120274
wide rotation3 mul vector3,glam_f32x1,16,16,elements,14886900.0,ns,128865
wide rotation3 mul vector3,glam_f32x1,16,16,elements,15898105.0,ns,137456
wide rotation3 mul vector3,glam_f32x1,16,16,elements,16908966.0,ns,146047
wide rotation3 mul vector3,glam_f32x1,16,16,elements,17868705.0,ns,154638
wide rotation3 mul vector3,glam_f32x1,16,16,elements,18855499.0,ns,163229
wide rotation3 mul vector3,glam_f32x1,16,16,elements,19908875.0,ns,171820
wide rotation3 mul vector3,glam_f32x1,16,16,elements,20876723.0,ns,180411
wide rotation3 mul vector3,glam_f32x1,16,16,elements,21895451.0,ns,189002
wide rotation3 mul vector3,glam_f32x1,16,16,elements,22804338.0,ns,197593
wide rotation3 mul vector3,glam_f32x1,16,16,elements,23763729.0,ns,206184
wide rotation3 mul vector3,glam_f32x1,16,16,elements,24780848.0,ns,214775
wide rotation3 mul vector3,glam_f32x1,16,16,elements,25765407.0,ns,223366
wide rotation3 mul vector3,glam_f32x1,16,16,elements,26793281.0,ns,231957
wide rotation3 mul vector3,glam_f32x1,16,16,elements,27734029.0,ns,240548
wide rotation3 mul vector3,glam_f32x1,16,16,elements,28697734.0,ns,249139
wide rotation3 mul vector3,glam_f32x1,16,16,elements,29682589.0,ns,257730
wide rotation3 mul vector3,glam_f32x1,16,16,elements,30693903.0,ns,266321
wide rotation3 mul vector3,glam_f32x1,16,16,elements,31787526.0,ns,274912
wide rotation3 mul vector3,glam_f32x1,16,16,elements,32655614.0,ns,283503
wide rotation3 mul vector3,glam_f32x1,16,16,elements,33652984.0,ns,292094
wide rotation3 mul vector3,glam_f32x1,16,16,elements,34781274.0,ns,300685
