group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 return self,glam_f32x1,16,16,elements,1416726.0,ns,24799
wide rotation3 return self,glam_f32x1,16,16,elements,2220746.0,ns,49598
wide rotation3 return self,glam_f32x1,16,16,elements,3118024.0,ns,74397
wide rotation3 return self,glam_f32x1,16,16,elements,4008832.0,ns,99196
wide rotation3 return self,glam_f32x1,16,16,elements,4987348.0,ns,123995
wide rotation3 return self,glam_f32x1,16,16,elements,5990116.0,ns,148794
wide rotation3 return self,glam_f32x1,16,16,elements,6947647.0,ns,173593
wide rotation3 return self,glam_f32x1,16,16,elements,8054132.0,ns,198392
wide rotation3 return self,glam_f32x1,16,16,elements,8952135.0,ns,223191
wide rotation3 return self,glam_f32x1,16,16,elements,10055555.0,ns,247990
wide rotation3 return self,glam_f32x1,16,16,elements,10947339.0,ns,272789
wide rotation3 return self,glam_f32x1,16,16,elements,12072665.0,ns,297588
wide rotation3 return self,glam_f32x1,16,16,elements,12895177.0,ns,322387
wide rotation3 return self,glam_f32x1,16,16,elements,13869306.0,ns,347186
wide rotation3 return self,glam_f32x1,16,16,elements,14899400.0,ns,371985
wide rotation3 return self,glam_f32x1,16,16,elements,15827695.0,ns,396784
wide rotation3 return self,glam_f32x1,16,16,elements,16862657.0,ns,421583
wide rotation3 return self,glam_f32x1,16,16,elements,17948173.0,ns,446382
wide rotation3 return self,glam_f32x1,16,16,elements,18894226.0,ns,471181
wide rotation3 return self,glam_f32x1,16,16,elements,19900133.0,ns,495980
wide rotation3 return self,glam_f32x1,16,16,elements,20880950.0,ns,520779
wide rotation3 return self,glam_f32x1,16,16,elements,21799112.0,ns,545578
wide rotation3 return self,glam_f32x1,16,16,elements,22908587.0,ns,570377
wide rotation3 return self,glam_f32x1,16,16,elements,23833243.0,ns,595176
wide rotation3 return self,glam_f32x1,16,16,elements,24907353.0,ns,619975
wide rotation3 return self,glam_f32x1,16,16,elements,25723393.0,ns,644774
wide rotation3 return self,glam_f32x1,16,16,elements,26992462.0,ns,669573
wide rotation3 return self,glam_f32x1,16,16,elements,27716886.0,ns,694372
wide rotation3 return self,glam_f32x1,16,16,elements,28843474.0,ns,719171
wide rotation3 return self,glam_f32x1,16,16,elements,29789834.0,ns,743970
wide rotation3 return self,glam_f32x1,16,16,elements,30739065.0,ns,768769
wide rotation3 return self,glam_f32x1,16,16,elements,31993249.0,ns,793568
wide rotation3 return self,glam_f32x1,16,16,elements,32759566.0,ns,818367
wide rotation3 return self,glam_f32x1,16,16,elements,33691089.0,ns,843166
wide rotation3 return self,glam_f32x1,16,16,elements,35021967.0,ns,867965
wide rotation3 return self,glam_f32x1,16,16,elements,35652651.0,ns,892764
wide rotation3 return self,glam_f32x1,16,16,elements,36916710.0,ns,917563
wide rotation3 return self,glam_f32x1,16,16,elements,37755058.0,ns,942362
wide rotation3 return self,glam_f32x1,16,16,elements,38831567.0,ns,967161
wide rotation3 return self,glam_f32x1,16,16,elements,39821227.0,ns,991960
wide rotation3 return self,glam_f32x1,16,16,elements,40915028.0,ns,1016759
wide rotation3 return self,glam_f32x1,16,16,elements,41798211.0,ns,1041558
wide rotation3 return self,glam_f32x1,16,16,elements,42703871.0,ns,1066357
wide rotation3 return self,glam_f32x1,16,16,elements,43907335.0,ns,1091156
wide rotation3 return self,glam_f32x1,16,16,elements,44643500.0,ns,1115955
