group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,1005369.0,ns,36152
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,2004683.0,ns,72304
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,2985184.0,ns,108456
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,3958550.0,ns,144608
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,4952366.0,ns,180760
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,5960993.0,ns,216912
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,6906012.0,ns,253064
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,7897164.0,ns,289216
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,8890482.0,ns,325368
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,9886606.0,ns,361520
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,10853089.0,ns,397672
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,11853162.0,ns,433824
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,12830412.0,ns,469976
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,13819788.0,ns,506128
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,14780357.0,ns,542280
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,15861362.0,ns,578432
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,16779647.0,ns,614584
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,17754562.0,ns,650736
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,18726825.0,ns,686888
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,19761163.0,ns,723040
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,20704307.0,ns,759192
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,21779833.0,ns,795344
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,22781351.0,ns,831496
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,23716247.0,ns,867648
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,24673546.0,ns,903800
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,25652502.0,ns,939952
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,26626273.0,ns,976104
wide rotation3 return self,ultraviolet_f32x8,16,16,elements,27651713.0,ns,1012256
