group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 length,nalgebra_f32x4,16,16,elements,983699.0,ns,98231
wide vector3 length,nalgebra_f32x4,16,16,elements,1970609.0,ns,196462
wide vector3 length,nalgebra_f32x4,16,16,elements,2953393.0,ns,294693
wide vector3 length,nalgebra_f32x4,16,16,elements,3954474.0,ns,392924
wide vector3 length,nalgebra_f32x4,16,16,elements,4917499.0,ns,491155
wide vector3 length,nalgebra_f32x4,16,16,elements,5965388.0,ns,589386
wide vector3 length,nalgebra_f32x4,16,16,elements,6953666.0,ns,687617
wide vector3 length,nalgebra_f32x4,16,16,elements,7869180.0,ns,785848
wide vector3 length,nalgebra_f32x4,16,16,elements,8855072.0,ns,884079
wide vector3 length,nalgebra_f32x4,16,16,elements,9880857.0,ns,982310
wide vector3 length,nalgebra_f32x4,16,16,elements,10825829.0,ns,1080541
wide vector3 length,nalgebra_f32x4,16,16,elements,11805581.0,ns,1178772
wide vector3 length,nalgebra_f32x4,16,16,elements,12813689.0,ns,1277003
wide vector3 length,nalgebra_f32x4,16,16,elements,13770584.0,ns,1375234
wide vector3 length,nalgebra_f32x4,16,16,elements,14757096.0,ns,1473465
wide vector3 length,nalgebra_f32x4,16,16,elements,15740948.0,ns,1571696
wide vector3 length,nalgebra_f32x4,16,16,elements,16723107.0,ns,1669927
wide vector3 length,nalgebra_f32x4,16,16,elements,17732049.0,ns,1768158
wide vector3 length,nalgebra_f32x4,16,16,elements,18694687.0,ns,1866389
wide vector3 length,nalgebra_f32x4,16,16,elements,19796930.0,ns,1964620
wide vector3 length,nalgebra_f32x4,16,16,elements,20706051.0,ns,2062851
wide vector3 length,nalgebra_f32x4,16,16,elements,21669533.0,ns,2161082
wide vector3 length,nalgebra_f32x4,16,16,elements,22666664.0,ns,2259313
wide vector3 length,nalgebra_f32x4,16,16,elements,23636062.0,ns,2357544
wide vector3 length,nalgebra_f32x4,16,16,elements,24593354.0,ns,2455775
wide vector3 length,nalgebra_f32x4,16,16,elements,25578412.0,ns,2554006
wide vector3 length,nalgebra_f32x4,16,16,elements,26601928.0,ns,2652237
wide vector3 length,nalgebra_f32x4,16,16,elements,27735785.0,ns,2750468
wide vector3 length,nalgebra_f32x4,16,16,elements,28601862.0,ns,2848699
wide vector3 length,nalgebra_f32x4,16,16,elements,29562433.0,ns,2946930
wide vector3 length,nalgebra_f32x4,16,16,elements,30540827.0,ns,3045161
wide vector3 length,nalgebra_f32x4,16,16,elements,31480846.0,ns,3143392
wide vector3 length,nalgebra_f32x4,16,16,elements,32458720.0,ns,3241623
wide vector3 length,nalgebra_f32x4,16,16,elements,33540840.0,ns,3339854
wide vector3 length,nalgebra_f32x4,16,16,elements,34675036.0,ns,3438085
wide vector3 length,nalgebra_f32x4,16,16,elements,35448969.0,ns,3536316
wide vector3 length,nalgebra_f32x4,16,16,elements,36411588.0,ns,3634547
wide vector3 length,nalgebra_f32x4,16,16,elements,37388036.0,ns,3732778
wide vector3 length,nalgebra_f32x4,16,16,elements,38453250.0,ns,3831009
wide vector3 length,nalgebra_f32x4,16,16,elements,39598663.0,ns,3929240
wide vector3 length,nalgebra_f32x4,16,16,elements,40355027.0,ns,4027471
wide vector3 length,nalgebra_f32x4,16,16,elements,41381008.0,ns,4125702
wide vector3 length,nalgebra_f32x4,16,16,elements,42320130.0,ns,4223933
wide vector3 length,nalgebra_f32x4,16,16,elements,43335076.0,ns,4322164
wide vector3 length,nalgebra_f32x4,16,16,elements,44484485.0,ns,4420395
wide vector3 length,nalgebra_f32x4,16,16,elements,45368412.0,ns,4518626
wide vector3 length,nalgebra_f32x4,16,16,elements,46232725.0,ns,4616857
wide vector3 length,nalgebra_f32x4,16,16,elements,47221558.0,ns,4715088
wide vector3 length,nalgebra_f32x4,16,16,elements,48383261.0,ns,4813319
wide vector3 length,nalgebra_f32x4,16,16,elements,49229464.0,ns,4911550
wide vector3 length,nalgebra_f32x4,16,16,elements,50222653.0,ns,5009781
wide vector3 length,nalgebra_f32x4,16,16,elements,51180786.0,ns,5108012
wide vector3 length,nalgebra_f32x4,16,16,elements,53248783.0,ns,5206243
wide vector3 length,nalgebra_f32x4,16,16,elements,53188148.0,ns,5304474
wide vector3 length,nalgebra_f32x4,16,16,elements,54130107.0,ns,5402705
wide vector3 length,nalgebra_f32x4,16,16,elements,55213550.0,ns,5500936
wide vector3 length,nalgebra_f32x4,16,16,elements,56108665.0,ns,5599167
wide vector3 length,nalgebra_f32x4,16,16,elements,57108742.0,ns,5697398
wide vector3 length,nalgebra_f32x4,16,16,elements,58333593.0,ns,5795629
wide vector3 length,nalgebra_f32x4,16,16,elements,60754407.0,ns,5893860
wide vector3 length,nalgebra_f32x4,16,16,elements,60064646.0,ns,5992091
wide vector3 length,nalgebra_f32x4,16,16,elements,61064808.0,ns,6090322
wide vector3 length,nalgebra_f32x4,16,16,elements,62287952.0,ns,6188553
wide vector3 length,nalgebra_f32x4,16,16,elements,63023892.0,ns,6286784
wide vector3 length,nalgebra_f32x4,16,16,elements,63946732.0,ns,6385015
wide vector3 length,nalgebra_f32x4,16,16,elements,65025369.0,ns,6483246
wide vector3 length,nalgebra_f32x4,16,16,elements,65970086.0,ns,6581477
wide vector3 length,nalgebra_f32x4,16,16,elements,66937588.0,ns,6679708
wide vector3 length,nalgebra_f32x4,16,16,elements,68036260.0,ns,6777939
wide vector3 length,nalgebra_f32x4,16,16,elements,68961006.0,ns,6876170
wide vector3 length,nalgebra_f32x4,16,16,elements,69899142.0,ns,6974401
wide vector3 length,nalgebra_f32x4,16,16,elements,70973468.0,ns,7072632
wide vector3 length,nalgebra_f32x4,16,16,elements,71970973.0,ns,7170863
wide vector3 length,nalgebra_f32x4,16,16,elements,72850993.0,ns,7269094
wide vector3 length,nalgebra_f32x4,16,16,elements,73979525.0,ns,7367325
wide vector3 length,nalgebra_f32x4,16,16,elements,74827589.0,ns,7465556
wide vector3 length,nalgebra_f32x4,16,16,elements,75953325.0,ns,7563787
wide vector3 length,nalgebra_f32x4,16,16,elements,76890698.0,ns,7662018
wide vector3 length,nalgebra_f32x4,16,16,elements,77728012.0,ns,7760249
wide vector3 length,nalgebra_f32x4,16,16,elements,78823781.0,ns,7858480
wide vector3 length,nalgebra_f32x4,16,16,elements,79745755.0,ns,7956711
wide vector3 length,nalgebra_f32x4,16,16,elements,80813224.0,ns,8054942
wide vector3 length,nalgebra_f32x4,16,16,elements,81712881.0,ns,8153173
wide vector3 length,nalgebra_f32x4,16,16,elements,82686094.0,ns,8251404
wide vector3 length,nalgebra_f32x4,16,16,elements,83743766.0,ns,8349635
wide vector3 length,nalgebra_f32x4,16,16,elements,84731887.0,ns,8447866
wide vector3 length,nalgebra_f32x4,16,16,elements,86288283.0,ns,8546097
wide vector3 length,nalgebra_f32x4,16,16,elements,86686020.0,ns,8644328
wide vector3 length,nalgebra_f32x4,16,16,elements,87824862.0,ns,8742559
wide vector3 length,nalgebra_f32x4,16,16,elements,90266858.0,ns,8840790
wide vector3 length,nalgebra_f32x4,16,16,elements,91682667.0,ns,8939021
wide vector3 length,nalgebra_f32x4,16,16,elements,92656939.0,ns,9037252
wide vector3 length,nalgebra_f32x4,16,16,elements,93621622.0,ns,9135483
wide vector3 length,nalgebra_f32x4,16,16,elements,94729171.0,ns,9233714
wide vector3 length,nalgebra_f32x4,16,16,elements,95633037.0,ns,9331945
wide vector3 length,nalgebra_f32x4,16,16,elements,96751588.0,ns,9430176
wide vector3 length,nalgebra_f32x4,16,16,elements,97855506.0,ns,9528407
wide vector3 length,nalgebra_f32x4,16,16,elements,98992903.0,ns,9626638
wide vector3 length,nalgebra_f32x4,16,16,elements,99782684.0,ns,9724869
wide vector3 length,nalgebra_f32x4,16,16,elements,100852275.0,ns,9823100
