group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 normalize,glam_f32x1,16,16,elements,995503.0,ns,14986
wide vector3 normalize,glam_f32x1,16,16,elements,1979402.0,ns,29972
wide vector3 normalize,glam_f32x1,16,16,elements,3143486.0,ns,44958
wide vector3 normalize,glam_f32x1,16,16,elements,3984925.0,ns,59944
wide vector3 normalize,glam_f32x1,16,16,elements,4939255.0,ns,74930
wide vector3 normalize,glam_f32x1,16,16,elements,5946031.0,ns,89916
wide vector3 normalize,glam_f32x1,16,16,elements,6897713.0,ns,104902
wide vector3 normalize,glam_f32x1,16,16,elements,7934686.0,ns,119888
wide vector3 normalize,glam_f32x1,16,16,elements,8829247.0,ns,134874
wide vector3 normalize,glam_f32x1,16,16,elements,9936950.0,ns,149860
wide vector3 normalize,glam_f32x1,16,16,elements,10814126.0,ns,164846
wide vector3 normalize,glam_f32x1,16,16,elements,11964892.0,ns,179832
wide vector3 normalize,glam_f32x1,16,16,elements,12734318.0,ns,194818
wide vector3 normalize,glam_f32x1,16,16,elements,13955869.0,ns,209804
wide vector3 normalize,glam_f32x1,16,16,elements,14683924.0,ns,224790
wide vector3 normalize,glam_f32x1,16,16,elements,15957700.0,ns,239776
wide vector3 normalize,glam_f32x1,16,16,elements,16688223.0,ns,254762
wide vector3 normalize,glam_f32x1,16,16,elements,17742423.0,ns,269748
wide vector3 normalize,glam_f32x1,16,16,elements,18896543.0,ns,284734
wide vector3 normalize,glam_f32x1,16,16,elements,19715463.0,ns,299720
wide vector3 normalize,glam_f32x1,16,16,elements,20807497.0,ns,314706
wide vector3 normalize,glam_f32x1,16,16,elements,21661897.0,ns,329692
wide vector3 normalize,glam_f32x1,16,16,elements,22936274.0,ns,344678
wide vector3 normalize,glam_f32x1,16,16,elements,23789498.0,ns,359664
wide vector3 normalize,glam_f32x1,16,16,elements,24938174.0,ns,374650
wide vector3 normalize,glam_f32x1,16,16,elements,25959516.0,ns,389636
wide vector3 normalize,glam_f32x1,16,16,elements,26993473.0,ns,404622
wide vector3 normalize,glam_f32x1,16,16,elements,27418458.0,ns,419608
wide vector3 normalize,glam_f32x1,16,16,elements,28926603.0,ns,434594
wide vector3 normalize,glam_f32x1,16,16,elements,29530368.0,ns,449580
wide vector3 normalize,glam_f32x1,16,16,elements,30955823.0,ns,464566
wide vector3 normalize,glam_f32x1,16,16,elements,31570734.0,ns,479552
wide vector3 normalize,glam_f32x1,16,16,elements,33167349.0,ns,494538
wide vector3 normalize,glam_f32x1,16,16,elements,33506339.0,ns,509524
wide vector3 normalize,glam_f32x1,16,16,elements,34722427.0,ns,524510
wide vector3 normalize,glam_f32x1,16,16,elements,35673781.0,ns,539496
wide vector3 normalize,glam_f32x1,16,16,elements,36504808.0,ns,554482
wide vector3 normalize,glam_f32x1,16,16,elements,37806174.0,ns,569468
wide vector3 normalize,glam_f32x1,16,16,elements,38408132.0,ns,584454
wide vector3 normalize,glam_f32x1,16,16,elements,39658589.0,ns,599440
wide vector3 normalize,glam_f32x1,16,16,elements,40640445.0,ns,614426
wide vector3 normalize,glam_f32x1,16,16,elements,41444707.0,ns,629412
wide vector3 normalize,glam_f32x1,16,16,elements,42429364.0,ns,644398
wide vector3 normalize,glam_f32x1,16,16,elements,43619605.0,ns,659384
wide vector3 normalize,glam_f32x1,16,16,elements,44621076.0,ns,674370
wide vector3 normalize,glam_f32x1,16,16,elements,45665815.0,ns,689356
wide vector3 normalize,glam_f32x1,16,16,elements,46407744.0,ns,704342
wide vector3 normalize,glam_f32x1,16,16,elements,47621572.0,ns,719328
wide vector3 normalize,glam_f32x1,16,16,elements,48569297.0,ns,734314
wide vector3 normalize,glam_f32x1,16,16,elements,49778105.0,ns,749300
wide vector3 normalize,glam_f32x1,16,16,elements,50553839.0,ns,764286
wide vector3 normalize,glam_f32x1,16,16,elements,50937460.0,ns,779272
wide vector3 normalize,glam_f32x1,16,16,elements,51905648.0,ns,794258
wide vector3 normalize,glam_f32x1,16,16,elements,52612305.0,ns,809244
wide vector3 normalize,glam_f32x1,16,16,elements,54294018.0,ns,824230
wide vector3 normalize,glam_f32x1,16,16,elements,54492480.0,ns,839216
wide vector3 normalize,glam_f32x1,16,16,elements,56161235.0,ns,854202
wide vector3 normalize,glam_f32x1,16,16,elements,56581113.0,ns,869188
wide vector3 normalize,glam_f32x1,16,16,elements,58321329.0,ns,884174
wide vector3 normalize,glam_f32x1,16,16,elements,58809171.0,ns,899160
