group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 normalize,nalgebra_f32x8,16,16,elements,990356.0,ns,26666
wide vector3 normalize,nalgebra_f32x8,16,16,elements,1990605.0,ns,53332
wide vector3 normalize,nalgebra_f32x8,16,16,elements,2980099.0,ns,79998
wide vector3 normalize,nalgebra_f32x8,16,16,elements,3968366.0,ns,106664
wide vector3 normalize,nalgebra_f32x8,16,16,elements,4954360.0,ns,133330
wide vector3 normalize,nalgebra_f32x8,16,16,elements,5961523.0,ns,159996
wide vector3 normalize,nalgebra_f32x8,16,16,elements,6949300.0,ns,186662
wide vector3 normalize,nalgebra_f32x8,16,16,elements,7925134.0,ns,213328
wide vector3 normalize,nalgebra_f32x8,16,16,elements,8924887.0,ns,239994
wide vector3 normalize,nalgebra_f32x8,16,16,elements,9927568.0,ns,266660
wide vector3 normalize,nalgebra_f32x8,16,16,elements,10913759.0,ns,293326
wide vector3 normalize,nalgebra_f32x8,16,16,elements,12020736.0,ns,319992
wide vector3 normalize,nalgebra_f32x8,16,16,elements,12914985.0,ns,346658
wide vector3 normalize,nalgebra_f32x8,16,16,elements,13884323.0,ns,373324
wide vector3 normalize,nalgebra_f32x8,16,16,elements,14904300.0,ns,399990
wide vector3 normalize,nalgebra_f32x8,16,16,elements,15858861.0,ns,426656
wide vector3 normalize,nalgebra_f32x8,16,16,elements,16987443.0,ns,453322
wide vector3 normalize,nalgebra_f32x8,16,16,elements,17873824.0,ns,479988
wide vector3 normalize,nalgebra_f32x8,16,16,elements,18878688.0,ns,506654
wide vector3 normalize,nalgebra_f32x8,16,16,elements,19838045.0,ns,533320
wide vector3 normalize,nalgebra_f32x8,16,16,elements,20836369.0,ns,559986
wide vector3 normalize,nalgebra_f32x8,16,16,elements,21831110.0,ns,586652
wide vector3 normalize,nalgebra_f32x8,16,16,elements,22813906.0,ns,613318
wide vector3 normalize,nalgebra_f32x8,16,16,elements,23792766.0,ns,639984
wide vector3 normalize,nalgebra_f32x8,16,16,elements,24789156.0,ns,666650
wide vector3 normalize,nalgebra_f32x8,16,16,elements,25827679.0,ns,693316
wide vector3 normalize,nalgebra_f32x8,16,16,elements,26772464.0,ns,719982
wide vector3 normalize,nalgebra_f32x8,16,16,elements,27826181.0,ns,746648
wide vector3 normalize,nalgebra_f32x8,16,16,elements,28788783.0,ns,773314
wide vector3 normalize,nalgebra_f32x8,16,16,elements,29745994.0,ns,799980
wide vector3 normalize,nalgebra_f32x8,16,16,elements,30788960.0,ns,826646
wide vector3 normalize,nalgebra_f32x8,16,16,elements,31740367.0,ns,853312
wide vector3 normalize,nalgebra_f32x8,16,16,elements,32750250.0,ns,879978
wide vector3 normalize,nalgebra_f32x8,16,16,elements,33722531.0,ns,906644
wide vector3 normalize,nalgebra_f32x8,16,16,elements,34736417.0,ns,933310
wide vector3 normalize,nalgebra_f32x8,16,16,elements,35664802.0,ns,959976
wide vector3 normalize,nalgebra_f32x8,16,16,elements,36705478.0,ns,986642
wide vector3 normalize,nalgebra_f32x8,16,16,elements,37675040.0,ns,1013308
