group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,991086.0,ns,49430
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,1978958.0,ns,98860
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,2974236.0,ns,148290
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,3966531.0,ns,197720
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,4953942.0,ns,247150
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,5966299.0,ns,296580
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,6964162.0,ns,346010
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,7922913.0,ns,395440
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,8911544.0,ns,444870
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,9902820.0,ns,494300
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,10890212.0,ns,543730
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,11881096.0,ns,593160
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,12870948.0,ns,642590
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,13865921.0,ns,692020
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,14853001.0,ns,741450
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,15844136.0,ns,790880
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,16832800.0,ns,840310
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,17821416.0,ns,889740
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,18811824.0,ns,939170
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,19809157.0,ns,988600
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,20823251.0,ns,1038030
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,21782188.0,ns,1087460
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,22767984.0,ns,1136890
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,23771546.0,ns,1186320
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,24750272.0,ns,1235750
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,25743469.0,ns,1285180
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,26739741.0,ns,1334610
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,27735003.0,ns,1384040
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,28724226.0,ns,1433470
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,29705774.0,ns,1482900
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,30694476.0,ns,1532330
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,31686534.0,ns,1581760
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,32680387.0,ns,1631190
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,33670140.0,ns,1680620
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,34654681.0,ns,1730050
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,35651531.0,ns,1779480
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,36645687.0,ns,1828910
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,37627535.0,ns,1878340
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,38612086.0,ns,1927770
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,39771703.0,ns,1977200
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,40604864.0,ns,2026630
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,41584400.0,ns,2076060
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,42573263.0,ns,2125490
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,43578424.0,ns,2174920
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,44554129.0,ns,2224350
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,45543863.0,ns,2273780
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,46548067.0,ns,2323210
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,47540366.0,ns,2372640
wide vector3 normalize,ultraviolet_f32x8,16,16,elements,48530925.0,ns,2422070
