group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar euler 2d,euclid,10000,10000,elements,1065285.0,ns,62
scalar euler 2d,euclid,10000,10000,elements,2024941.0,ns,124
scalar euler 2d,euclid,10000,10000,elements,2975619.0,ns,186
scalar euler 2d,euclid,10000,10000,elements,3990345.0,ns,248
scalar euler 2d,euclid,10000,10000,elements,5220301.0,ns,310
scalar euler 2d,euclid,10000,10000,elements,6329018.0,ns,372
scalar euler 2d,euclid,10000,10000,elements,7114195.0,ns,434
scalar euler 2d,euclid,10000,10000,elements,8378827.0,ns,496
scalar euler 2d,euclid,10000,10000,elements,9048833.0,ns,558
scalar euler 2d,euclid,10000,10000,elements,10115170.0,ns,620
scalar euler 2d,euclid,10000,10000,elements,11085261.0,ns,682
scalar euler 2d,euclid,10000,10000,elements,11967745.0,ns,744
scalar euler 2d,euclid,10000,10000,elements,13006521.0,ns,806
scalar euler 2d,euclid,10000,10000,elements,14018475.0,ns,868
scalar euler 2d,euclid,10000,10000,elements,15009513.0,ns,930
scalar euler 2d,euclid,10000,10000,elements,15998833.0,ns,992
scalar euler 2d,euclid,10000,10000,elements,17043833.0,ns,1054
scalar euler 2d,euclid,10000,10000,elements,18028962.0,ns,1116
scalar euler 2d,euclid,10000,10000,elements,19244051.0,ns,1178
scalar euler 2d,euclid,10000,10000,elements,20060432.0,ns,1240
scalar euler 2d,euclid,10000,10000,elements,21028640.0,ns,1302
scalar euler 2d,euclid,10000,10000,elements,22115821.0,ns,1364
scalar euler 2d,euclid,10000,10000,elements,23131966.0,ns,1426
scalar euler 2d,euclid,10000,10000,elements,23999956.0,ns,1488
scalar euler 2d,euclid,10000,10000,elements,25021696.0,ns,1550
scalar euler 2d,euclid,10000,10000,elements,26041147.0,ns,1612
scalar euler 2d,euclid,10000,10000,elements,27025932.0,ns,1674
scalar euler 2d,euclid,10000,10000,elements,28004216.0,ns,1736
scalar euler 2d,euclid,10000,10000,elements,29042130.0,ns,1798
scalar euler 2d,euclid,10000,10000,elements,30183999.0,ns,1860
scalar euler 2d,euclid,10000,10000,elements,30996612.0,ns,1922
scalar euler 2d,euclid,10000,10000,elements,32039150.0,ns,1984
scalar euler 2d,euclid,10000,10000,elements,33065434.0,ns,2046
scalar euler 2d,euclid,10000,10000,elements,34019217.0,ns,2108
scalar euler 2d,euclid,10000,10000,elements,35050817.0,ns,2170
scalar euler 2d,euclid,10000,10000,elements,36212902.0,ns,2232
scalar euler 2d,euclid,10000,10000,elements,37022949.0,ns,2294
scalar euler 2d,euclid,10000,10000,elements,38034136.0,ns,2356
scalar euler 2d,euclid,10000,10000,elements,39015283.0,ns,2418
scalar euler 2d,euclid,10000,10000,elements,40091971.0,ns,2480
scalar euler 2d,euclid,10000,10000,elements,41271399.0,ns,2542
scalar euler 2d,euclid,10000,10000,elements,42023929.0,ns,2604
scalar euler 2d,euclid,10000,10000,elements,43146292.0,ns,2666
scalar euler 2d,euclid,10000,10000,elements,44190849.0,ns,2728
scalar euler 2d,euclid,10000,10000,elements,45131988.0,ns,2790
scalar euler 2d,euclid,10000,10000,elements,46143739.0,ns,2852
scalar euler 2d,euclid,10000,10000,elements,47048195.0,ns,2914
scalar euler 2d,euclid,10000,10000,elements,48139645.0,ns,2976
scalar euler 2d,euclid,10000,10000,elements,49011971.0,ns,3038
scalar euler 2d,euclid,10000,10000,elements,50332820.0,ns,3100
scalar euler 2d,euclid,10000,10000,elements,51680052.0,ns,3162
scalar euler 2d,euclid,10000,10000,elements,52059386.0,ns,3224
scalar euler 2d,euclid,10000,10000,elements,53166473.0,ns,3286
scalar euler 2d,euclid,10000,10000,elements,54118516.0,ns,3348
scalar euler 2d,euclid,10000,10000,elements,55054252.0,ns,3410
scalar euler 2d,euclid,10000,10000,elements,56035475.0,ns,3472
scalar euler 2d,euclid,10000,10000,elements,57199843.0,ns,3534
scalar euler 2d,euclid,10000,10000,elements,58021638.0,ns,3596
scalar euler 2d,euclid,10000,10000,elements,59047424.0,ns,3658
scalar euler 2d,euclid,10000,10000,elements,60424110.0,ns,3720
scalar euler 2d,euclid,10000,10000,elements,61283907.0,ns,3782
scalar euler 2d,euclid,10000,10000,elements,62062905.0,ns,3844
scalar euler 2d,euclid,10000,10000,elements,63073729.0,ns,3906
scalar euler 2d,euclid,10000,10000,elements,64207999.0,ns,3968
scalar euler 2d,euclid,10000,10000,elements,65059454.0,ns,4030
scalar euler 2d,euclid,10000,10000,elements,66071040.0,ns,4092
scalar euler 2d,euclid,10000,10000,elements,67450054.0,ns,4154
scalar euler 2d,euclid,10000,10000,elements,68054400.0,ns,4216
scalar euler 2d,euclid,10000,10000,elements,69232877.0,ns,4278
scalar euler 2d,euclid,10000,10000,elements,70493866.0,ns,4340
scalar euler 2d,euclid,10000,10000,elements,71092443.0,ns,4402
scalar euler 2d,euclid,10000,10000,elements,72346511.0,ns,4464
scalar euler 2d,euclid,10000,10000,elements,73187593.0,ns,4526
scalar euler 2d,euclid,10000,10000,elements,74111520.0,ns,4588
scalar euler 2d,euclid,10000,10000,elements,75223756.0,ns,4650
scalar euler 2d,euclid,10000,10000,elements,76148536.0,ns,4712
scalar euler 2d,euclid,10000,10000,elements,77189042.0,ns,4774
scalar euler 2d,euclid,10000,10000,elements,78331305.0,ns,4836
scalar euler 2d,euclid,10000,10000,elements,79104604.0,ns,4898
scalar euler 2d,euclid,10000,10000,elements,80141641.0,ns,4960
scalar euler 2d,euclid,10000,10000,elements,81283885.0,ns,5022
scalar euler 2d,euclid,10000,10000,elements,82379838.0,ns,5084
scalar euler 2d,euclid,10000,10000,elements,83253158.0,ns,5146
scalar euler 2d,euclid,10000,10000,elements,84171496.0,ns,5208
scalar euler 2d,euclid,10000,10000,elements,85292618.0,ns,5270
scalar euler 2d,euclid,10000,10000,elements,86087096.0,ns,5332
scalar euler 2d,euclid,10000,10000,elements,87232777.0,ns,5394
scalar euler 2d,euclid,10000,10000,elements,88263801.0,ns,5456
scalar euler 2d,euclid,10000,10000,elements,89317267.0,ns,5518
scalar euler 2d,euclid,10000,10000,elements,90264358.0,ns,5580
scalar euler 2d,euclid,10000,10000,elements,91394277.0,ns,5642
scalar euler 2d,euclid,10000,10000,elements,92632113.0,ns,5704
scalar euler 2d,euclid,10000,10000,elements,93065415.0,ns,5766
scalar euler 2d,euclid,10000,10000,elements,94517584.0,ns,5828
scalar euler 2d,euclid,10000,10000,elements,95147692.0,ns,5890
scalar euler 2d,euclid,10000,10000,elements,96338902.0,ns,5952
scalar euler 2d,euclid,10000,10000,elements,97138018.0,ns,6014
scalar euler 2d,euclid,10000,10000,elements,98653572.0,ns,6076
scalar euler 2d,euclid,10000,10000,elements,99325109.0,ns,6138
scalar euler 2d,euclid,10000,10000,elements,100542204.0,ns,6200
