group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 determinant,nalgebra,,,,1061108.0,ns,470444
scalar matrix2 determinant,nalgebra,,,,2037168.0,ns,940888
scalar matrix2 determinant,nalgebra,,,,2959336.0,ns,1411332
scalar matrix2 determinant,nalgebra,,,,4068104.0,ns,1881776
scalar matrix2 determinant,nalgebra,,,,5013021.0,ns,2352220
scalar matrix2 determinant,nalgebra,,,,5892600.0,ns,2822664
scalar matrix2 determinant,nalgebra,,,,6990508.0,ns,3293108
scalar matrix2 determinant,nalgebra,,,,7824796.0,ns,3763552
scalar matrix2 determinant,nalgebra,,,,8973359.0,ns,4233996
scalar matrix2 determinant,nalgebra,,,,9890835.0,ns,4704440
scalar matrix2 determinant,nalgebra,,,,10924358.0,ns,5174884
scalar matrix2 determinant,nalgebra,,,,11775653.0,ns,5645328
scalar matrix2 determinant,nalgebra,,,,12929787.0,ns,6115772
scalar matrix2 determinant,nalgebra,,,,13824873.0,ns,6586216
scalar matrix2 determinant,nalgebra,,,,14708361.0,ns,7056660
scalar matrix2 determinant,nalgebra,,,,15776309.0,ns,7527104
scalar matrix2 determinant,nalgebra,,,,16784625.0,ns,7997548
scalar matrix2 determinant,nalgebra,,,,17816886.0,ns,8467992
scalar matrix2 determinant,nalgebra,,,,18769494.0,ns,8938436
scalar matrix2 determinant,nalgebra,,,,20029914.0,ns,9408880
scalar matrix2 determinant,nalgebra,,,,20973310.0,ns,9879324
scalar matrix2 determinant,nalgebra,,,,21615066.0,ns,10349768
scalar matrix2 determinant,nalgebra,,,,22704164.0,ns,10820212
scalar matrix2 determinant,nalgebra,,,,24391770.0,ns,11290656
scalar matrix2 determinant,nalgebra,,,,25358399.0,ns,11761100
scalar matrix2 determinant,nalgebra,,,,26149450.0,ns,12231544
scalar matrix2 determinant,nalgebra,,,,27104124.0,ns,12701988
scalar matrix2 determinant,nalgebra,,,,28147313.0,ns,13172432
scalar matrix2 determinant,nalgebra,,,,29140329.0,ns,13642876
scalar matrix2 determinant,nalgebra,,,,30078929.0,ns,14113320
scalar matrix2 determinant,nalgebra,,,,30918628.0,ns,14583764
scalar matrix2 determinant,nalgebra,,,,31889523.0,ns,15054208
scalar matrix2 determinant,nalgebra,,,,32579407.0,ns,15524652
scalar matrix2 determinant,nalgebra,,,,33590945.0,ns,15995096
scalar matrix2 determinant,nalgebra,,,,34771751.0,ns,16465540
scalar matrix2 determinant,nalgebra,,,,35662634.0,ns,16935984
scalar matrix2 determinant,nalgebra,,,,36612824.0,ns,17406428
scalar matrix2 determinant,nalgebra,,,,37580736.0,ns,17876872
scalar matrix2 determinant,nalgebra,,,,38382923.0,ns,18347316
scalar matrix2 determinant,nalgebra,,,,39673421.0,ns,18817760
scalar matrix2 determinant,nalgebra,,,,40603249.0,ns,19288204
scalar matrix2 determinant,nalgebra,,,,41438984.0,ns,19758648
scalar matrix2 determinant,nalgebra,,,,42707083.0,ns,20229092
scalar matrix2 determinant,nalgebra,,,,43552089.0,ns,20699536
scalar matrix2 determinant,nalgebra,,,,44403209.0,ns,21169980
scalar matrix2 determinant,nalgebra,,,,45307278.0,ns,21640424
scalar matrix2 determinant,nalgebra,,,,46494440.0,ns,22110868
scalar matrix2 determinant,nalgebra,,,,47514564.0,ns,22581312
scalar matrix2 determinant,nalgebra,,,,48619924.0,ns,23051756
scalar matrix2 determinant,nalgebra,,,,49348534.0,ns,23522200
scalar matrix2 determinant,nalgebra,,,,50322576.0,ns,23992644
scalar matrix2 determinant,nalgebra,,,,51260527.0,ns,24463088
scalar matrix2 determinant,nalgebra,,,,52431769.0,ns,24933532
