group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 determinant,pathfinder,,,,1064388.0,ns,470643
scalar matrix2 determinant,pathfinder,,,,2040314.0,ns,941286
scalar matrix2 determinant,pathfinder,,,,2935090.0,ns,1411929
scalar matrix2 determinant,pathfinder,,,,3925964.0,ns,1882572
scalar matrix2 determinant,pathfinder,,,,5348871.0,ns,2353215
scalar matrix2 determinant,pathfinder,,,,5940459.0,ns,2823858
scalar matrix2 determinant,pathfinder,,,,6868967.0,ns,3294501
scalar matrix2 determinant,pathfinder,,,,7957593.0,ns,3765144
scalar matrix2 determinant,pathfinder,,,,8791200.0,ns,4235787
scalar matrix2 determinant,pathfinder,,,,9903383.0,ns,4706430
scalar matrix2 determinant,pathfinder,,,,11007659.0,ns,5177073
scalar matrix2 determinant,pathfinder,,,,11890189.0,ns,5647716
scalar matrix2 determinant,pathfinder,,,,12817515.0,ns,6118359
scalar matrix2 determinant,pathfinder,,,,13886751.0,ns,6589002
scalar matrix2 determinant,pathfinder,,,,14766777.0,ns,7059645
scalar matrix2 determinant,pathfinder,,,,15934575.0,ns,7530288
scalar matrix2 determinant,pathfinder,,,,16722710.0,ns,8000931
scalar matrix2 determinant,pathfinder,,,,17803333.0,ns,8471574
scalar matrix2 determinant,pathfinder,,,,18655185.0,ns,8942217
scalar matrix2 determinant,pathfinder,,,,19776843.0,ns,9412860
scalar matrix2 determinant,pathfinder,,,,20604840.0,ns,9883503
scalar matrix2 determinant,pathfinder,,,,21689551.0,ns,10354146
scalar matrix2 determinant,pathfinder,,,,22735608.0,ns,10824789
scalar matrix2 determinant,pathfinder,,,,23636746.0,ns,11295432
scalar matrix2 determinant,pathfinder,,,,24645133.0,ns,11766075
scalar matrix2 determinant,pathfinder,,,,25834025.0,ns,12236718
scalar matrix2 determinant,pathfinder,,,,26495734.0,ns,12707361
scalar matrix2 determinant,pathfinder,,,,27460107.0,ns,13178004
scalar matrix2 determinant,pathfinder,,,,28667438.0,ns,13648647
scalar matrix2 determinant,pathfinder,,,,29590242.0,ns,14119290
scalar matrix2 determinant,pathfinder,,,,30580443.0,ns,14589933
scalar matrix2 determinant,pathfinder,,,,31580882.0,ns,15060576
scalar matrix2 determinant,pathfinder,,,,32626806.0,ns,15531219
scalar matrix2 determinant,pathfinder,,,,33566916.0,ns,16001862
scalar matrix2 determinant,pathfinder,,,,34422920.0,ns,16472505
scalar matrix2 determinant,pathfinder,,,,35598591.0,ns,16943148
scalar matrix2 determinant,pathfinder,,,,36344037.0,ns,17413791
scalar matrix2 determinant,pathfinder,,,,37457458.0,ns,17884434
scalar matrix2 determinant,pathfinder,,,,38514243.0,ns,18355077
scalar matrix2 determinant,pathfinder,,,,39477202.0,ns,18825720
scalar matrix2 determinant,pathfinder,,,,40662557.0,ns,19296363
scalar matrix2 determinant,pathfinder,,,,41446271.0,ns,19767006
scalar matrix2 determinant,pathfinder,,,,42484490.0,ns,20237649
scalar matrix2 determinant,pathfinder,,,,43326604.0,ns,20708292
scalar matrix2 determinant,pathfinder,,,,44579992.0,ns,21178935
scalar matrix2 determinant,pathfinder,,,,45268952.0,ns,21649578
scalar matrix2 determinant,pathfinder,,,,46389267.0,ns,22120221
scalar matrix2 determinant,pathfinder,,,,47791845.0,ns,22590864
scalar matrix2 determinant,pathfinder,,,,48407836.0,ns,23061507
scalar matrix2 determinant,pathfinder,,,,49237521.0,ns,23532150
scalar matrix2 determinant,pathfinder,,,,50172890.0,ns,24002793
scalar matrix2 determinant,pathfinder,,,,51198070.0,ns,24473436
scalar matrix2 determinant,pathfinder,,,,52295475.0,ns,24944079
scalar matrix2 determinant,pathfinder,,,,53313172.0,ns,25414722
scalar matrix2 determinant,pathfinder,,,,54250610.0,ns,25885365
scalar matrix2 determinant,pathfinder,,,,55496188.0,ns,26356008
scalar matrix2 determinant,pathfinder,,,,55996997.0,ns,26826651
scalar matrix2 determinant,pathfinder,,,,57373658.0,ns,27297294
scalar matrix2 determinant,pathfinder,,,,58022384.0,ns,27767937
scalar matrix2 determinant,pathfinder,,,,59231982.0,ns,28238580
scalar matrix2 determinant,pathfinder,,,,60138490.0,ns,28709223
scalar matrix2 determinant,pathfinder,,,,61357417.0,ns,29179866
scalar matrix2 determinant,pathfinder,,,,62129677.0,ns,29650509
scalar matrix2 determinant,pathfinder,,,,63150987.0,ns,30121152
scalar matrix2 determinant,pathfinder,,,,64178487.0,ns,30591795
scalar matrix2 determinant,pathfinder,,,,65139179.0,ns,31062438
scalar matrix2 determinant,pathfinder,,,,66510967.0,ns,31533081
scalar matrix2 determinant,pathfinder,,,,67392989.0,ns,32003724
scalar matrix2 determinant,pathfinder,,,,68005934.0,ns,32474367
scalar matrix2 determinant,pathfinder,,,,69112550.0,ns,32945010
scalar matrix2 determinant,pathfinder,,,,70091367.0,ns,33415653
scalar matrix2 determinant,pathfinder,,,,71481344.0,ns,33886296
scalar matrix2 determinant,pathfinder,,,,71801790.0,ns,34356939
scalar matrix2 determinant,pathfinder,,,,73119386.0,ns,34827582
scalar matrix2 determinant,pathfinder,,,,74145498.0,ns,35298225
scalar matrix2 determinant,pathfinder,,,,74972882.0,ns,35768868
scalar matrix2 determinant,pathfinder,,,,75937806.0,ns,36239511
scalar matrix2 determinant,pathfinder,,,,76943024.0,ns,36710154
scalar matrix2 determinant,pathfinder,,,,78552813.0,ns,37180797
scalar matrix2 determinant,pathfinder,,,,79030751.0,ns,37651440
scalar matrix2 determinant,pathfinder,,,,80108225.0,ns,38122083
scalar matrix2 determinant,pathfinder,,,,80895368.0,ns,38592726
scalar matrix2 determinant,pathfinder,,,,81999296.0,ns,39063369
scalar matrix2 determinant,pathfinder,,,,82987860.0,ns,39534012
scalar matrix2 determinant,pathfinder,,,,83724872.0,ns,40004655
scalar matrix2 determinant,pathfinder,,,,85116855.0,ns,40475298
scalar matrix2 determinant,pathfinder,,,,85983934.0,ns,40945941
scalar matrix2 determinant,pathfinder,,,,87110550.0,ns,41416584
scalar matrix2 determinant,pathfinder,,,,88042114.0,ns,41887227
scalar matrix2 determinant,pathfinder,,,,88662766.0,ns,42357870
scalar matrix2 determinant,pathfinder,,,,90200697.0,ns,42828513
scalar matrix2 determinant,pathfinder,,,,90769346.0,ns,43299156
scalar matrix2 determinant,pathfinder,,,,92121314.0,ns,43769799
scalar matrix2 determinant,pathfinder,,,,92531866.0,ns,44240442
scalar matrix2 determinant,pathfinder,,,,93823251.0,ns,44711085
scalar matrix2 determinant,pathfinder,,,,94866545.0,ns,45181728
scalar matrix2 determinant,pathfinder,,,,95695307.0,ns,45652371
scalar matrix2 determinant,pathfinder,,,,96650804.0,ns,46123014
scalar matrix2 determinant,pathfinder,,,,97931036.0,ns,46593657
scalar matrix2 determinant,pathfinder,,,,98902050.0,ns,47064300
