group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 determinant,ultraviolet,,,,1063366.0,ns,470778
scalar matrix2 determinant,ultraviolet,,,,2041228.0,ns,941556
scalar matrix2 determinant,ultraviolet,,,,2978500.0,ns,1412334
scalar matrix2 determinant,ultraviolet,,,,4001291.0,ns,1883112
scalar matrix2 determinant,ultraviolet,,,,5009534.0,ns,2353890
scalar matrix2 determinant,ultraviolet,,,,5909763.0,ns,2824668
scalar matrix2 determinant,ultraviolet,,,,6935965.0,ns,3295446
scalar matrix2 determinant,ultraviolet,,,,7935081.0,ns,3766224
scalar matrix2 determinant,ultraviolet,,,,8832366.0,ns,4237002
scalar matrix2 determinant,ultraviolet,,,,9810076.0,ns,4707780
scalar matrix2 determinant,ultraviolet,,,,11024777.0,ns,5178558
scalar matrix2 determinant,ultraviolet,,,,11855495.0,ns,5649336
scalar matrix2 determinant,ultraviolet,,,,12944544.0,ns,6120114
scalar matrix2 determinant,ultraviolet,,,,13918203.0,ns,6590892
scalar matrix2 determinant,ultraviolet,,,,14904281.0,ns,7061670
scalar matrix2 determinant,ultraviolet,,,,15907633.0,ns,7532448
scalar matrix2 determinant,ultraviolet,,,,16883222.0,ns,8003226
scalar matrix2 determinant,ultraviolet,,,,17826046.0,ns,8474004
scalar matrix2 determinant,ultraviolet,,,,18773164.0,ns,8944782
scalar matrix2 determinant,ultraviolet,,,,19914704.0,ns,9415560
scalar matrix2 determinant,ultraviolet,,,,20761190.0,ns,9886338
scalar matrix2 determinant,ultraviolet,,,,21850649.0,ns,10357116
scalar matrix2 determinant,ultraviolet,,,,22776345.0,ns,10827894
scalar matrix2 determinant,ultraviolet,,,,23878635.0,ns,11298672
scalar matrix2 determinant,ultraviolet,,,,25097985.0,ns,11769450
scalar matrix2 determinant,ultraviolet,,,,25836791.0,ns,12240228
scalar matrix2 determinant,ultraviolet,,,,27017848.0,ns,12711006
scalar matrix2 determinant,ultraviolet,,,,27569959.0,ns,13181784
scalar matrix2 determinant,ultraviolet,,,,28851401.0,ns,13652562
scalar matrix2 determinant,ultraviolet,,,,29681121.0,ns,14123340
scalar matrix2 determinant,ultraviolet,,,,30972520.0,ns,14594118
scalar matrix2 determinant,ultraviolet,,,,31819581.0,ns,15064896
scalar matrix2 determinant,ultraviolet,,,,32705286.0,ns,15535674
scalar matrix2 determinant,ultraviolet,,,,33719287.0,ns,16006452
scalar matrix2 determinant,ultraviolet,,,,34796280.0,ns,16477230
scalar matrix2 determinant,ultraviolet,,,,35699438.0,ns,16948008
scalar matrix2 determinant,ultraviolet,,,,36784576.0,ns,17418786
scalar matrix2 determinant,ultraviolet,,,,37443009.0,ns,17889564
scalar matrix2 determinant,ultraviolet,,,,38660470.0,ns,18360342
scalar matrix2 determinant,ultraviolet,,,,39605064.0,ns,18831120
scalar matrix2 determinant,ultraviolet,,,,40528155.0,ns,19301898
scalar matrix2 determinant,ultraviolet,,,,41869851.0,ns,19772676
scalar matrix2 determinant,ultraviolet,,,,42567246.0,ns,20243454
scalar matrix2 determinant,ultraviolet,,,,43835144.0,ns,20714232
scalar matrix2 determinant,ultraviolet,,,,44636837.0,ns,21185010
scalar matrix2 determinant,ultraviolet,,,,45609374.0,ns,21655788
scalar matrix2 determinant,ultraviolet,,,,46696879.0,ns,22126566
scalar matrix2 determinant,ultraviolet,,,,47536093.0,ns,22597344
scalar matrix2 determinant,ultraviolet,,,,48816758.0,ns,23068122
scalar matrix2 determinant,ultraviolet,,,,49587214.0,ns,23538900
scalar matrix2 determinant,ultraviolet,,,,50587587.0,ns,24009678
scalar matrix2 determinant,ultraviolet,,,,51771066.0,ns,24480456
scalar matrix2 determinant,ultraviolet,,,,53741347.0,ns,24951234
scalar matrix2 determinant,ultraviolet,,,,54260025.0,ns,25422012
scalar matrix2 determinant,ultraviolet,,,,54343342.0,ns,25892790
scalar matrix2 determinant,ultraviolet,,,,55726089.0,ns,26363568
scalar matrix2 determinant,ultraviolet,,,,56530383.0,ns,26834346
scalar matrix2 determinant,ultraviolet,,,,57637018.0,ns,27305124
scalar matrix2 determinant,ultraviolet,,,,58369723.0,ns,27775902
scalar matrix2 determinant,ultraviolet,,,,59530142.0,ns,28246680
scalar matrix2 determinant,ultraviolet,,,,60531818.0,ns,28717458
scalar matrix2 determinant,ultraviolet,,,,61576094.0,ns,29188236
scalar matrix2 determinant,ultraviolet,,,,62519465.0,ns,29659014
scalar matrix2 determinant,ultraviolet,,,,63430142.0,ns,30129792
scalar matrix2 determinant,ultraviolet,,,,64643872.0,ns,30600570
scalar matrix2 determinant,ultraviolet,,,,65556669.0,ns,31071348
scalar matrix2 determinant,ultraviolet,,,,66408605.0,ns,31542126
scalar matrix2 determinant,ultraviolet,,,,67645437.0,ns,32012904
scalar matrix2 determinant,ultraviolet,,,,68368059.0,ns,32483682
scalar matrix2 determinant,ultraviolet,,,,69633144.0,ns,32954460
scalar matrix2 determinant,ultraviolet,,,,70822071.0,ns,33425238
scalar matrix2 determinant,ultraviolet,,,,71280433.0,ns,33896016
scalar matrix2 determinant,ultraviolet,,,,72504695.0,ns,34366794
scalar matrix2 determinant,ultraviolet,,,,73836297.0,ns,34837572
scalar matrix2 determinant,ultraviolet,,,,74421736.0,ns,35308350
scalar matrix2 determinant,ultraviolet,,,,75357063.0,ns,35779128
scalar matrix2 determinant,ultraviolet,,,,76461380.0,ns,36249906
scalar matrix2 determinant,ultraviolet,,,,77497067.0,ns,36720684
scalar matrix2 determinant,ultraviolet,,,,78283682.0,ns,37191462
scalar matrix2 determinant,ultraviolet,,,,79429985.0,ns,37662240
scalar matrix2 determinant,ultraviolet,,,,80234792.0,ns,38133018
scalar matrix2 determinant,ultraviolet,,,,81429065.0,ns,38603796
scalar matrix2 determinant,ultraviolet,,,,82359272.0,ns,39074574
scalar matrix2 determinant,ultraviolet,,,,83276053.0,ns,39545352
scalar matrix2 determinant,ultraviolet,,,,84160440.0,ns,40016130
scalar matrix2 determinant,ultraviolet,,,,85486418.0,ns,40486908
scalar matrix2 determinant,ultraviolet,,,,86233243.0,ns,40957686
scalar matrix2 determinant,ultraviolet,,,,87296163.0,ns,41428464
scalar matrix2 determinant,ultraviolet,,,,87965458.0,ns,41899242
scalar matrix2 determinant,ultraviolet,,,,89015781.0,ns,42370020
scalar matrix2 determinant,ultraviolet,,,,90254096.0,ns,42840798
scalar matrix2 determinant,ultraviolet,,,,91343758.0,ns,43311576
scalar matrix2 determinant,ultraviolet,,,,92428694.0,ns,43782354
scalar matrix2 determinant,ultraviolet,,,,93177472.0,ns,44253132
scalar matrix2 determinant,ultraviolet,,,,94165266.0,ns,44723910
scalar matrix2 determinant,ultraviolet,,,,94959427.0,ns,45194688
scalar matrix2 determinant,ultraviolet,,,,96019089.0,ns,45665466
scalar matrix2 determinant,ultraviolet,,,,97150143.0,ns,46136244
scalar matrix2 determinant,ultraviolet,,,,98022931.0,ns,46607022
scalar matrix2 determinant,ultraviolet,,,,99508032.0,ns,47077800
