group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 mul matrix2,static-math,,,,1017233.0,ns,209757
scalar matrix2 mul matrix2,static-math,,,,2011956.0,ns,419514
scalar matrix2 mul matrix2,static-math,,,,2966795.0,ns,629271
scalar matrix2 mul matrix2,static-math,,,,3974193.0,ns,839028
scalar matrix2 mul matrix2,static-math,,,,4945758.0,ns,1048785
scalar matrix2 mul matrix2,static-math,,,,5931504.0,ns,1258542
scalar matrix2 mul matrix2,static-math,,,,6942461.0,ns,1468299
scalar matrix2 mul matrix2,static-math,,,,7936929.0,ns,1678056
scalar matrix2 mul matrix2,static-math,,,,8906533.0,ns,1887813
scalar matrix2 mul matrix2,static-math,,,,9933600.0,ns,2097570
scalar matrix2 mul matrix2,static-math,,,,10921027.0,ns,2307327
scalar matrix2 mul matrix2,static-math,,,,11909466.0,ns,2517084
scalar matrix2 mul matrix2,static-math,,,,12942082.0,ns,2726841
scalar matrix2 mul matrix2,static-math,,,,13876532.0,ns,2936598
scalar matrix2 mul matrix2,static-math,,,,14861768.0,ns,3146355
scalar matrix2 mul matrix2,static-math,,,,15833264.0,ns,3356112
scalar matrix2 mul matrix2,static-math,,,,16815385.0,ns,3565869
scalar matrix2 mul matrix2,static-math,,,,17872127.0,ns,3775626
scalar matrix2 mul matrix2,static-math,,,,18822498.0,ns,3985383
scalar matrix2 mul matrix2,static-math,,,,19813062.0,ns,4195140
scalar matrix2 mul matrix2,static-math,,,,20800180.0,ns,4404897
scalar matrix2 mul matrix2,static-math,,,,21790773.0,ns,4614654
scalar matrix2 mul matrix2,static-math,,,,22777123.0,ns,4824411
scalar matrix2 mul matrix2,static-math,,,,23788703.0,ns,5034168
scalar matrix2 mul matrix2,static-math,,,,24737738.0,ns,5243925
scalar matrix2 mul matrix2,static-math,,,,25790776.0,ns,5453682
scalar matrix2 mul matrix2,static-math,,,,26753852.0,ns,5663439
scalar matrix2 mul matrix2,static-math,,,,27732294.0,ns,5873196
scalar matrix2 mul matrix2,static-math,,,,28737483.0,ns,6082953
scalar matrix2 mul matrix2,static-math,,,,29724755.0,ns,6292710
scalar matrix2 mul matrix2,static-math,,,,30841480.0,ns,6502467
scalar matrix2 mul matrix2,static-math,,,,31698686.0,ns,6712224
scalar matrix2 mul matrix2,static-math,,,,32694621.0,ns,6921981
scalar matrix2 mul matrix2,static-math,,,,33665311.0,ns,7131738
scalar matrix2 mul matrix2,static-math,,,,34648416.0,ns,7341495
scalar matrix2 mul matrix2,static-math,,,,35664011.0,ns,7551252
scalar matrix2 mul matrix2,static-math,,,,36672844.0,ns,7761009
scalar matrix2 mul matrix2,static-math,,,,37626537.0,ns,7970766
scalar matrix2 mul matrix2,static-math,,,,38649968.0,ns,8180523
scalar matrix2 mul matrix2,static-math,,,,39616176.0,ns,8390280
scalar matrix2 mul matrix2,static-math,,,,40640006.0,ns,8600037
scalar matrix2 mul matrix2,static-math,,,,41601397.0,ns,8809794
scalar matrix2 mul matrix2,static-math,,,,42745022.0,ns,9019551
scalar matrix2 mul matrix2,static-math,,,,43817958.0,ns,9229308
scalar matrix2 mul matrix2,static-math,,,,44545675.0,ns,9439065
scalar matrix2 mul matrix2,static-math,,,,45628950.0,ns,9648822
scalar matrix2 mul matrix2,static-math,,,,46542929.0,ns,9858579
scalar matrix2 mul matrix2,static-math,,,,47548106.0,ns,10068336
scalar matrix2 mul matrix2,static-math,,,,48544155.0,ns,10278093
scalar matrix2 mul matrix2,static-math,,,,49499130.0,ns,10487850
scalar matrix2 mul matrix2,static-math,,,,50567186.0,ns,10697607
scalar matrix2 mul matrix2,static-math,,,,51688295.0,ns,10907364
scalar matrix2 mul matrix2,static-math,,,,52523254.0,ns,11117121
scalar matrix2 mul matrix2,static-math,,,,53520609.0,ns,11326878
scalar matrix2 mul matrix2,static-math,,,,54487333.0,ns,11536635
scalar matrix2 mul matrix2,static-math,,,,55492317.0,ns,11746392
scalar matrix2 mul matrix2,static-math,,,,56529289.0,ns,11956149
scalar matrix2 mul matrix2,static-math,,,,57519628.0,ns,12165906
scalar matrix2 mul matrix2,static-math,,,,58444798.0,ns,12375663
scalar matrix2 mul matrix2,static-math,,,,59520439.0,ns,12585420
scalar matrix2 mul matrix2,static-math,,,,60966163.0,ns,12795177
scalar matrix2 mul matrix2,static-math,,,,61436762.0,ns,13004934
scalar matrix2 mul matrix2,static-math,,,,62466076.0,ns,13214691
scalar matrix2 mul matrix2,static-math,,,,63426062.0,ns,13424448
scalar matrix2 mul matrix2,static-math,,,,64431198.0,ns,13634205
scalar matrix2 mul matrix2,static-math,,,,65404055.0,ns,13843962
scalar matrix2 mul matrix2,static-math,,,,66358070.0,ns,14053719
scalar matrix2 mul matrix2,static-math,,,,67356321.0,ns,14263476
scalar matrix2 mul matrix2,static-math,,,,68361531.0,ns,14473233
scalar matrix2 mul matrix2,static-math,,,,69348487.0,ns,14682990
scalar matrix2 mul matrix2,static-math,,,,70326675.0,ns,14892747
scalar matrix2 mul matrix2,static-math,,,,71356114.0,ns,15102504
scalar matrix2 mul matrix2,static-math,,,,72316347.0,ns,15312261
scalar matrix2 mul matrix2,static-math,,,,73299845.0,ns,15522018
scalar matrix2 mul matrix2,static-math,,,,74300112.0,ns,15731775
scalar matrix2 mul matrix2,static-math,,,,75395974.0,ns,15941532
scalar matrix2 mul matrix2,static-math,,,,76367465.0,ns,16151289
scalar matrix2 mul matrix2,static-math,,,,77280570.0,ns,16361046
scalar matrix2 mul matrix2,static-math,,,,78297619.0,ns,16570803
scalar matrix2 mul matrix2,static-math,,,,79310214.0,ns,16780560
scalar matrix2 mul matrix2,static-math,,,,80282393.0,ns,16990317
scalar matrix2 mul matrix2,static-math,,,,81361296.0,ns,17200074
scalar matrix2 mul matrix2,static-math,,,,82332923.0,ns,17409831
scalar matrix2 mul matrix2,static-math,,,,83243451.0,ns,17619588
scalar matrix2 mul matrix2,static-math,,,,84189690.0,ns,17829345
scalar matrix2 mul matrix2,static-math,,,,85225006.0,ns,18039102
scalar matrix2 mul matrix2,static-math,,,,86272492.0,ns,18248859
scalar matrix2 mul matrix2,static-math,,,,87586034.0,ns,18458616
scalar matrix2 mul matrix2,static-math,,,,88265492.0,ns,18668373
scalar matrix2 mul matrix2,static-math,,,,89229117.0,ns,18878130
scalar matrix2 mul matrix2,static-math,,,,90242181.0,ns,19087887
scalar matrix2 mul matrix2,static-math,,,,91160559.0,ns,19297644
scalar matrix2 mul matrix2,static-math,,,,92101998.0,ns,19507401
scalar matrix2 mul matrix2,static-math,,,,93162114.0,ns,19717158
scalar matrix2 mul matrix2,static-math,,,,94252255.0,ns,19926915
scalar matrix2 mul matrix2,static-math,,,,95100795.0,ns,20136672
scalar matrix2 mul matrix2,static-math,,,,96111483.0,ns,20346429
scalar matrix2 mul matrix2,static-math,,,,97076722.0,ns,20556186
scalar matrix2 mul matrix2,static-math,,,,98069663.0,ns,20765943
scalar matrix2 mul matrix2,static-math,,,,100063253.0,ns,20975700
