group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 mul matrix2,ultraviolet,,,,999967.0,ns,199982
scalar matrix2 mul matrix2,ultraviolet,,,,1986754.0,ns,399964
scalar matrix2 mul matrix2,ultraviolet,,,,2950528.0,ns,599946
scalar matrix2 mul matrix2,ultraviolet,,,,3962975.0,ns,799928
scalar matrix2 mul matrix2,ultraviolet,,,,5021647.0,ns,999910
scalar matrix2 mul matrix2,ultraviolet,,,,5941770.0,ns,1199892
scalar matrix2 mul matrix2,ultraviolet,,,,6903932.0,ns,1399874
scalar matrix2 mul matrix2,ultraviolet,,,,7887021.0,ns,1599856
scalar matrix2 mul matrix2,ultraviolet,,,,8930151.0,ns,1799838
scalar matrix2 mul matrix2,ultraviolet,,,,9869612.0,ns,1999820
scalar matrix2 mul matrix2,ultraviolet,,,,10897620.0,ns,2199802
scalar matrix2 mul matrix2,ultraviolet,,,,11860682.0,ns,2399784
scalar matrix2 mul matrix2,ultraviolet,,,,12846562.0,ns,2599766
scalar matrix2 mul matrix2,ultraviolet,,,,13866901.0,ns,2799748
scalar matrix2 mul matrix2,ultraviolet,,,,14835324.0,ns,2999730
scalar matrix2 mul matrix2,ultraviolet,,,,15807613.0,ns,3199712
scalar matrix2 mul matrix2,ultraviolet,,,,16724364.0,ns,3399694
scalar matrix2 mul matrix2,ultraviolet,,,,17734889.0,ns,3599676
scalar matrix2 mul matrix2,ultraviolet,,,,18719397.0,ns,3799658
scalar matrix2 mul matrix2,ultraviolet,,,,19696966.0,ns,3999640
scalar matrix2 mul matrix2,ultraviolet,,,,20749157.0,ns,4199622
scalar matrix2 mul matrix2,ultraviolet,,,,21662235.0,ns,4399604
scalar matrix2 mul matrix2,ultraviolet,,,,22671419.0,ns,4599586
scalar matrix2 mul matrix2,ultraviolet,,,,23711447.0,ns,4799568
scalar matrix2 mul matrix2,ultraviolet,,,,24761057.0,ns,4999550
scalar matrix2 mul matrix2,ultraviolet,,,,25643300.0,ns,5199532
scalar matrix2 mul matrix2,ultraviolet,,,,26560215.0,ns,5399514
scalar matrix2 mul matrix2,ultraviolet,,,,27626613.0,ns,5599496
scalar matrix2 mul matrix2,ultraviolet,,,,28578230.0,ns,5799478
scalar matrix2 mul matrix2,ultraviolet,,,,29562584.0,ns,5999460
scalar matrix2 mul matrix2,ultraviolet,,,,30571814.0,ns,6199442
