group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 mul vector2,static-math,100,100,elements,1005210.0,ns,3691
scalar matrix2 mul vector2,static-math,100,100,elements,2059216.0,ns,7382
scalar matrix2 mul vector2,static-math,100,100,elements,2978391.0,ns,11073
scalar matrix2 mul vector2,static-math,100,100,elements,3983560.0,ns,14764
scalar matrix2 mul vector2,static-math,100,100,elements,5063172.0,ns,18455
scalar matrix2 mul vector2,static-math,100,100,elements,5995442.0,ns,22146
scalar matrix2 mul vector2,static-math,100,100,elements,6943159.0,ns,25837
scalar matrix2 mul vector2,static-math,100,100,elements,7911853.0,ns,29528
scalar matrix2 mul vector2,static-math,100,100,elements,8890693.0,ns,33219
scalar matrix2 mul vector2,static-math,100,100,elements,10099521.0,ns,36910
scalar matrix2 mul vector2,static-math,100,100,elements,10998001.0,ns,40601
scalar matrix2 mul vector2,static-math,100,100,elements,11839370.0,ns,44292
scalar matrix2 mul vector2,static-math,100,100,elements,12886283.0,ns,47983
scalar matrix2 mul vector2,static-math,100,100,elements,13821872.0,ns,51674
scalar matrix2 mul vector2,static-math,100,100,elements,14857140.0,ns,55365
scalar matrix2 mul vector2,static-math,100,100,elements,15932130.0,ns,59056
scalar matrix2 mul vector2,static-math,100,100,elements,16829608.0,ns,62747
scalar matrix2 mul vector2,static-math,100,100,elements,17758561.0,ns,66438
scalar matrix2 mul vector2,static-math,100,100,elements,18889570.0,ns,70129
scalar matrix2 mul vector2,static-math,100,100,elements,19782031.0,ns,73820
scalar matrix2 mul vector2,static-math,100,100,elements,20736649.0,ns,77511
scalar matrix2 mul vector2,static-math,100,100,elements,21825966.0,ns,81202
scalar matrix2 mul vector2,static-math,100,100,elements,22673953.0,ns,84893
scalar matrix2 mul vector2,static-math,100,100,elements,23698515.0,ns,88584
scalar matrix2 mul vector2,static-math,100,100,elements,24820563.0,ns,92275
scalar matrix2 mul vector2,static-math,100,100,elements,25699703.0,ns,95966
scalar matrix2 mul vector2,static-math,100,100,elements,26637208.0,ns,99657
scalar matrix2 mul vector2,static-math,100,100,elements,27689423.0,ns,103348
scalar matrix2 mul vector2,static-math,100,100,elements,28565298.0,ns,107039
scalar matrix2 mul vector2,static-math,100,100,elements,29640954.0,ns,110730
scalar matrix2 mul vector2,static-math,100,100,elements,30712603.0,ns,114421
scalar matrix2 mul vector2,static-math,100,100,elements,32407643.0,ns,118112
scalar matrix2 mul vector2,static-math,100,100,elements,32549819.0,ns,121803
scalar matrix2 mul vector2,static-math,100,100,elements,33741723.0,ns,125494
scalar matrix2 mul vector2,static-math,100,100,elements,34586708.0,ns,129185
scalar matrix2 mul vector2,static-math,100,100,elements,35390886.0,ns,132876
scalar matrix2 mul vector2,static-math,100,100,elements,36618534.0,ns,136567
