group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 return self,nalgebra,,,,1025708.0,ns,344524
scalar matrix2 return self,nalgebra,,,,2011882.0,ns,689048
scalar matrix2 return self,nalgebra,,,,2982188.0,ns,1033572
scalar matrix2 return self,nalgebra,,,,4009868.0,ns,1378096
scalar matrix2 return self,nalgebra,,,,5194336.0,ns,1722620
scalar matrix2 return self,nalgebra,,,,6159558.0,ns,2067144
scalar matrix2 return self,nalgebra,,,,7060105.0,ns,2411668
scalar matrix2 return self,nalgebra,,,,8189670.0,ns,2756192
scalar matrix2 return self,nalgebra,,,,8961866.0,ns,3100716
scalar matrix2 return self,nalgebra,,,,9945987.0,ns,3445240
scalar matrix2 return self,nalgebra,,,,11003919.0,ns,3789764
scalar matrix2 return self,nalgebra,,,,11844913.0,ns,4134288
scalar matrix2 return self,nalgebra,,,,12860992.0,ns,4478812
scalar matrix2 return self,nalgebra,,,,13861416.0,ns,4823336
scalar matrix2 return self,nalgebra,,,,14828504.0,ns,5167860
scalar matrix2 return self,nalgebra,,,,15817903.0,ns,5512384
scalar matrix2 return self,nalgebra,,,,16955648.0,ns,5856908
scalar matrix2 return self,nalgebra,,,,17792475.0,ns,6201432
scalar matrix2 return self,nalgebra,,,,18772628.0,ns,6545956
scalar matrix2 return self,nalgebra,,,,19854434.0,ns,6890480
scalar matrix2 return self,nalgebra,,,,20834633.0,ns,7235004
scalar matrix2 return self,nalgebra,,,,21839902.0,ns,7579528
scalar matrix2 return self,nalgebra,,,,22861529.0,ns,7924052
scalar matrix2 return self,nalgebra,,,,23711884.0,ns,8268576
scalar matrix2 return self,nalgebra,,,,24740836.0,ns,8613100
scalar matrix2 return self,nalgebra,,,,25703341.0,ns,8957624
scalar matrix2 return self,nalgebra,,,,26686970.0,ns,9302148
scalar matrix2 return self,nalgebra,,,,27683370.0,ns,9646672
scalar matrix2 return self,nalgebra,,,,28780080.0,ns,9991196
scalar matrix2 return self,nalgebra,,,,29746074.0,ns,10335720
scalar matrix2 return self,nalgebra,,,,30700294.0,ns,10680244
scalar matrix2 return self,nalgebra,,,,31629990.0,ns,11024768
scalar matrix2 return self,nalgebra,,,,32826684.0,ns,11369292
scalar matrix2 return self,nalgebra,,,,33695955.0,ns,11713816
scalar matrix2 return self,nalgebra,,,,34724869.0,ns,12058340
scalar matrix2 return self,nalgebra,,,,35666560.0,ns,12402864
