group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 return self,vek,,,,1023511.0,ns,344300
scalar matrix2 return self,vek,,,,2057562.0,ns,688600
scalar matrix2 return self,vek,,,,2958951.0,ns,1032900
scalar matrix2 return self,vek,,,,3943899.0,ns,1377200
scalar matrix2 return self,vek,,,,5217044.0,ns,1721500
scalar matrix2 return self,vek,,,,6610477.0,ns,2065800
scalar matrix2 return self,vek,,,,7013607.0,ns,2410100
scalar matrix2 return self,vek,,,,8734854.0,ns,2754400
scalar matrix2 return self,vek,,,,8894241.0,ns,3098700
scalar matrix2 return self,vek,,,,9968392.0,ns,3443000
scalar matrix2 return self,vek,,,,10889333.0,ns,3787300
scalar matrix2 return self,vek,,,,11831209.0,ns,4131600
scalar matrix2 return self,vek,,,,12840000.0,ns,4475900
scalar matrix2 return self,vek,,,,13950797.0,ns,4820200
scalar matrix2 return self,vek,,,,14809324.0,ns,5164500
scalar matrix2 return self,vek,,,,15794838.0,ns,5508800
scalar matrix2 return self,vek,,,,16800413.0,ns,5853100
scalar matrix2 return self,vek,,,,17872205.0,ns,6197400
scalar matrix2 return self,vek,,,,18754738.0,ns,6541700
scalar matrix2 return self,vek,,,,19780663.0,ns,6886000
scalar matrix2 return self,vek,,,,20905159.0,ns,7230300
scalar matrix2 return self,vek,,,,21714075.0,ns,7574600
scalar matrix2 return self,vek,,,,22771666.0,ns,7918900
scalar matrix2 return self,vek,,,,23683813.0,ns,8263200
scalar matrix2 return self,vek,,,,24735097.0,ns,8607500
scalar matrix2 return self,vek,,,,25655787.0,ns,8951800
scalar matrix2 return self,vek,,,,26805521.0,ns,9296100
scalar matrix2 return self,vek,,,,27676915.0,ns,9640400
scalar matrix2 return self,vek,,,,28691181.0,ns,9984700
scalar matrix2 return self,vek,,,,29599358.0,ns,10329000
scalar matrix2 return self,vek,,,,30611279.0,ns,10673300
scalar matrix2 return self,vek,,,,31835554.0,ns,11017600
scalar matrix2 return self,vek,,,,32643026.0,ns,11361900
scalar matrix2 return self,vek,,,,33658783.0,ns,11706200
scalar matrix2 return self,vek,,,,34718259.0,ns,12050500
scalar matrix2 return self,vek,,,,35539210.0,ns,12394800
scalar matrix2 return self,vek,,,,36524327.0,ns,12739100
scalar matrix2 return self,vek,,,,37550561.0,ns,13083400
scalar matrix2 return self,vek,,,,38639509.0,ns,13427700
scalar matrix2 return self,vek,,,,39626996.0,ns,13772000
scalar matrix2 return self,vek,,,,40488322.0,ns,14116300
scalar matrix2 return self,vek,,,,41452273.0,ns,14460600
scalar matrix2 return self,vek,,,,42555791.0,ns,14804900
scalar matrix2 return self,vek,,,,43569132.0,ns,15149200
scalar matrix2 return self,vek,,,,44597761.0,ns,15493500
scalar matrix2 return self,vek,,,,45490431.0,ns,15837800
scalar matrix2 return self,vek,,,,46446421.0,ns,16182100
scalar matrix2 return self,vek,,,,47552628.0,ns,16526400
scalar matrix2 return self,vek,,,,48530114.0,ns,16870700
scalar matrix2 return self,vek,,,,49366015.0,ns,17215000
scalar matrix2 return self,vek,,,,50720904.0,ns,17559300
scalar matrix2 return self,vek,,,,51482309.0,ns,17903600
scalar matrix2 return self,vek,,,,52678398.0,ns,18247900
scalar matrix2 return self,vek,,,,53729484.0,ns,18592200
scalar matrix2 return self,vek,,,,54540045.0,ns,18936500
scalar matrix2 return self,vek,,,,55449970.0,ns,19280800
scalar matrix2 return self,vek,,,,56377280.0,ns,19625100
scalar matrix2 return self,vek,,,,57273485.0,ns,19969400
scalar matrix2 return self,vek,,,,58532957.0,ns,20313700
scalar matrix2 return self,vek,,,,59585729.0,ns,20658000
scalar matrix2 return self,vek,,,,60228025.0,ns,21002300
scalar matrix2 return self,vek,,,,61335247.0,ns,21346600
scalar matrix2 return self,vek,,,,62414176.0,ns,21690900
scalar matrix2 return self,vek,,,,63379839.0,ns,22035200
scalar matrix2 return self,vek,,,,64471384.0,ns,22379500
scalar matrix2 return self,vek,,,,65304591.0,ns,22723800
scalar matrix2 return self,vek,,,,66408793.0,ns,23068100
scalar matrix2 return self,vek,,,,67191632.0,ns,23412400
scalar matrix2 return self,vek,,,,68618073.0,ns,23756700
scalar matrix2 return self,vek,,,,69278397.0,ns,24101000
scalar matrix2 return self,vek,,,,70116657.0,ns,24445300
scalar matrix2 return self,vek,,,,71421835.0,ns,24789600
scalar matrix2 return self,vek,,,,72238634.0,ns,25133900
scalar matrix2 return self,vek,,,,73089369.0,ns,25478200
scalar matrix2 return self,vek,,,,74311930.0,ns,25822500
scalar matrix2 return self,vek,,,,75196672.0,ns,26166800
scalar matrix2 return self,vek,,,,76372401.0,ns,26511100
scalar matrix2 return self,vek,,,,77106515.0,ns,26855400
scalar matrix2 return self,vek,,,,78139802.0,ns,27199700
scalar matrix2 return self,vek,,,,79219537.0,ns,27544000
scalar matrix2 return self,vek,,,,80007974.0,ns,27888300
scalar matrix2 return self,vek,,,,81111042.0,ns,28232600
scalar matrix2 return self,vek,,,,82312664.0,ns,28576900
scalar matrix2 return self,vek,,,,83132577.0,ns,28921200
scalar matrix2 return self,vek,,,,84259454.0,ns,29265500
scalar matrix2 return self,vek,,,,85157233.0,ns,29609800
scalar matrix2 return self,vek,,,,86081806.0,ns,29954100
scalar matrix2 return self,vek,,,,87064522.0,ns,30298400
scalar matrix2 return self,vek,,,,88214110.0,ns,30642700
scalar matrix2 return self,vek,,,,89028298.0,ns,30987000
scalar matrix2 return self,vek,,,,89939870.0,ns,31331300
scalar matrix2 return self,vek,,,,91075217.0,ns,31675600
scalar matrix2 return self,vek,,,,91902566.0,ns,32019900
scalar matrix2 return self,vek,,,,93092577.0,ns,32364200
scalar matrix2 return self,vek,,,,94326569.0,ns,32708500
scalar matrix2 return self,vek,,,,95142196.0,ns,33052800
scalar matrix2 return self,vek,,,,95870649.0,ns,33397100
scalar matrix2 return self,vek,,,,96901377.0,ns,33741400
scalar matrix2 return self,vek,,,,97833479.0,ns,34085700
scalar matrix2 return self,vek,,,,99073583.0,ns,34430000
