group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 transpose,glam,,,,1022437.0,ns,434249
scalar matrix2 transpose,glam,,,,2006359.0,ns,868498
scalar matrix2 transpose,glam,,,,2950405.0,ns,1302747
scalar matrix2 transpose,glam,,,,3959964.0,ns,1736996
scalar matrix2 transpose,glam,,,,5112985.0,ns,2171245
scalar matrix2 transpose,glam,,,,5985986.0,ns,2605494
scalar matrix2 transpose,glam,,,,7257481.0,ns,3039743
scalar matrix2 transpose,glam,,,,8186314.0,ns,3473992
scalar matrix2 transpose,glam,,,,9260481.0,ns,3908241
scalar matrix2 transpose,glam,,,,10053248.0,ns,4342490
scalar matrix2 transpose,glam,,,,11036827.0,ns,4776739
scalar matrix2 transpose,glam,,,,11852374.0,ns,5210988
scalar matrix2 transpose,glam,,,,13014173.0,ns,5645237
scalar matrix2 transpose,glam,,,,13790987.0,ns,6079486
scalar matrix2 transpose,glam,,,,14776634.0,ns,6513735
scalar matrix2 transpose,glam,,,,15783679.0,ns,6947984
scalar matrix2 transpose,glam,,,,17025885.0,ns,7382233
scalar matrix2 transpose,glam,,,,17848123.0,ns,7816482
scalar matrix2 transpose,glam,,,,18781170.0,ns,8250731
scalar matrix2 transpose,glam,,,,19778944.0,ns,8684980
scalar matrix2 transpose,glam,,,,20693981.0,ns,9119229
scalar matrix2 transpose,glam,,,,21705413.0,ns,9553478
scalar matrix2 transpose,glam,,,,22949934.0,ns,9987727
scalar matrix2 transpose,glam,,,,23801552.0,ns,10421976
scalar matrix2 transpose,glam,,,,24672456.0,ns,10856225
scalar matrix2 transpose,glam,,,,25678093.0,ns,11290474
scalar matrix2 transpose,glam,,,,26716068.0,ns,11724723
scalar matrix2 transpose,glam,,,,27753857.0,ns,12158972
scalar matrix2 transpose,glam,,,,28644134.0,ns,12593221
scalar matrix2 transpose,glam,,,,29767181.0,ns,13027470
scalar matrix2 transpose,glam,,,,30759270.0,ns,13461719
scalar matrix2 transpose,glam,,,,31702808.0,ns,13895968
scalar matrix2 transpose,glam,,,,32623020.0,ns,14330217
scalar matrix2 transpose,glam,,,,33647812.0,ns,14764466
scalar matrix2 transpose,glam,,,,34661516.0,ns,15198715
scalar matrix2 transpose,glam,,,,35652117.0,ns,15632964
scalar matrix2 transpose,glam,,,,36716271.0,ns,16067213
scalar matrix2 transpose,glam,,,,37487718.0,ns,16501462
scalar matrix2 transpose,glam,,,,38615235.0,ns,16935711
scalar matrix2 transpose,glam,,,,39502012.0,ns,17369960
scalar matrix2 transpose,glam,,,,40762901.0,ns,17804209
scalar matrix2 transpose,glam,,,,41630275.0,ns,18238458
scalar matrix2 transpose,glam,,,,42604287.0,ns,18672707
scalar matrix2 transpose,glam,,,,43448116.0,ns,19106956
scalar matrix2 transpose,glam,,,,44570256.0,ns,19541205
