group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 transpose,ultraviolet,,,,1040205.0,ns,323705
scalar matrix2 transpose,ultraviolet,,,,2055366.0,ns,647410
scalar matrix2 transpose,ultraviolet,,,,2968238.0,ns,971115
scalar matrix2 transpose,ultraviolet,,,,3957980.0,ns,1294820
scalar matrix2 transpose,ultraviolet,,,,5216080.0,ns,1618525
scalar matrix2 transpose,ultraviolet,,,,5935306.0,ns,1942230
scalar matrix2 transpose,ultraviolet,,,,6956819.0,ns,2265935
scalar matrix2 transpose,ultraviolet,,,,7911790.0,ns,2589640
scalar matrix2 transpose,ultraviolet,,,,8963248.0,ns,2913345
scalar matrix2 transpose,ultraviolet,,,,9886736.0,ns,3237050
scalar matrix2 transpose,ultraviolet,,,,10906124.0,ns,3560755
scalar matrix2 transpose,ultraviolet,,,,11866703.0,ns,3884460
scalar matrix2 transpose,ultraviolet,,,,12855169.0,ns,4208165
scalar matrix2 transpose,ultraviolet,,,,13916501.0,ns,4531870
scalar matrix2 transpose,ultraviolet,,,,14857100.0,ns,4855575
scalar matrix2 transpose,ultraviolet,,,,15841697.0,ns,5179280
scalar matrix2 transpose,ultraviolet,,,,16812015.0,ns,5502985
scalar matrix2 transpose,ultraviolet,,,,17888674.0,ns,5826690
scalar matrix2 transpose,ultraviolet,,,,18864561.0,ns,6150395
scalar matrix2 transpose,ultraviolet,,,,19806491.0,ns,6474100
scalar matrix2 transpose,ultraviolet,,,,20768641.0,ns,6797805
scalar matrix2 transpose,ultraviolet,,,,21832908.0,ns,7121510
scalar matrix2 transpose,ultraviolet,,,,22765349.0,ns,7445215
scalar matrix2 transpose,ultraviolet,,,,23751006.0,ns,7768920
scalar matrix2 transpose,ultraviolet,,,,24750046.0,ns,8092625
scalar matrix2 transpose,ultraviolet,,,,25734949.0,ns,8416330
scalar matrix2 transpose,ultraviolet,,,,26774700.0,ns,8740035
scalar matrix2 transpose,ultraviolet,,,,27771917.0,ns,9063740
scalar matrix2 transpose,ultraviolet,,,,28702974.0,ns,9387445
scalar matrix2 transpose,ultraviolet,,,,29746286.0,ns,9711150
scalar matrix2 transpose,ultraviolet,,,,30766502.0,ns,10034855
