group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix2 transpose,vek,,,,1053571.0,ns,334814
scalar matrix2 transpose,vek,,,,1976055.0,ns,669628
scalar matrix2 transpose,vek,,,,2987635.0,ns,1004442
scalar matrix2 transpose,vek,,,,3987670.0,ns,1339256
scalar matrix2 transpose,vek,,,,4955613.0,ns,1674070
scalar matrix2 transpose,vek,,,,5954566.0,ns,2008884
scalar matrix2 transpose,vek,,,,6941281.0,ns,2343698
scalar matrix2 transpose,vek,,,,7910067.0,ns,2678512
scalar matrix2 transpose,vek,,,,8923272.0,ns,3013326
scalar matrix2 transpose,vek,,,,9960501.0,ns,3348140
scalar matrix2 transpose,vek,,,,10898474.0,ns,3682954
scalar matrix2 transpose,vek,,,,11867472.0,ns,4017768
scalar matrix2 transpose,vek,,,,12874090.0,ns,4352582
scalar matrix2 transpose,vek,,,,13964305.0,ns,4687396
scalar matrix2 transpose,vek,,,,14830709.0,ns,5022210
scalar matrix2 transpose,vek,,,,15842051.0,ns,5357024
scalar matrix2 transpose,vek,,,,16834911.0,ns,5691838
scalar matrix2 transpose,vek,,,,17817044.0,ns,6026652
scalar matrix2 transpose,vek,,,,18910574.0,ns,6361466
scalar matrix2 transpose,vek,,,,19799525.0,ns,6696280
scalar matrix2 transpose,vek,,,,20765154.0,ns,7031094
scalar matrix2 transpose,vek,,,,21793848.0,ns,7365908
scalar matrix2 transpose,vek,,,,22930835.0,ns,7700722
scalar matrix2 transpose,vek,,,,23762112.0,ns,8035536
scalar matrix2 transpose,vek,,,,24778263.0,ns,8370350
scalar matrix2 transpose,vek,,,,25764461.0,ns,8705164
scalar matrix2 transpose,vek,,,,26718499.0,ns,9039978
scalar matrix2 transpose,vek,,,,27816067.0,ns,9374792
scalar matrix2 transpose,vek,,,,28870464.0,ns,9709606
scalar matrix2 transpose,vek,,,,29913593.0,ns,10044420
scalar matrix2 transpose,vek,,,,30769529.0,ns,10379234
scalar matrix2 transpose,vek,,,,31687296.0,ns,10714048
scalar matrix2 transpose,vek,,,,32668438.0,ns,11048862
scalar matrix2 transpose,vek,,,,33789754.0,ns,11383676
scalar matrix2 transpose,vek,,,,34676639.0,ns,11718490
scalar matrix2 transpose,vek,,,,35755187.0,ns,12053304
scalar matrix2 transpose,vek,,,,36619393.0,ns,12388118
scalar matrix2 transpose,vek,,,,37659430.0,ns,12722932
scalar matrix2 transpose,vek,,,,38627707.0,ns,13057746
scalar matrix2 transpose,vek,,,,39713605.0,ns,13392560
scalar matrix2 transpose,vek,,,,40680332.0,ns,13727374
scalar matrix2 transpose,vek,,,,41550603.0,ns,14062188
scalar matrix2 transpose,vek,,,,42597443.0,ns,14397002
scalar matrix2 transpose,vek,,,,43751327.0,ns,14731816
scalar matrix2 transpose,vek,,,,44543524.0,ns,15066630
scalar matrix2 transpose,vek,,,,45609607.0,ns,15401444
scalar matrix2 transpose,vek,,,,46509497.0,ns,15736258
scalar matrix2 transpose,vek,,,,47569170.0,ns,16071072
scalar matrix2 transpose,vek,,,,48725524.0,ns,16405886
scalar matrix2 transpose,vek,,,,49709589.0,ns,16740700
scalar matrix2 transpose,vek,,,,50529782.0,ns,17075514
scalar matrix2 transpose,vek,,,,51543382.0,ns,17410328
scalar matrix2 transpose,vek,,,,52605402.0,ns,17745142
scalar matrix2 transpose,vek,,,,53650514.0,ns,18079956
scalar matrix2 transpose,vek,,,,54422239.0,ns,18414770
scalar matrix2 transpose,vek,,,,55562235.0,ns,18749584
scalar matrix2 transpose,vek,,,,56517079.0,ns,19084398
scalar matrix2 transpose,vek,,,,57475317.0,ns,19419212
scalar matrix2 transpose,vek,,,,58446055.0,ns,19754026
scalar matrix2 transpose,vek,,,,59503488.0,ns,20088840
scalar matrix2 transpose,vek,,,,60446639.0,ns,20423654
scalar matrix2 transpose,vek,,,,61348859.0,ns,20758468
scalar matrix2 transpose,vek,,,,62731830.0,ns,21093282
scalar matrix2 transpose,vek,,,,63403423.0,ns,21428096
scalar matrix2 transpose,vek,,,,64364808.0,ns,21762910
scalar matrix2 transpose,vek,,,,65471851.0,ns,22097724
scalar matrix2 transpose,vek,,,,66465637.0,ns,22432538
scalar matrix2 transpose,vek,,,,67360852.0,ns,22767352
scalar matrix2 transpose,vek,,,,68507123.0,ns,23102166
scalar matrix2 transpose,vek,,,,69402212.0,ns,23436980
scalar matrix2 transpose,vek,,,,70270438.0,ns,23771794
scalar matrix2 transpose,vek,,,,71404043.0,ns,24106608
scalar matrix2 transpose,vek,,,,72486943.0,ns,24441422
scalar matrix2 transpose,vek,,,,73253681.0,ns,24776236
scalar matrix2 transpose,vek,,,,74333678.0,ns,25111050
scalar matrix2 transpose,vek,,,,75270102.0,ns,25445864
scalar matrix2 transpose,vek,,,,76481048.0,ns,25780678
scalar matrix2 transpose,vek,,,,77389590.0,ns,26115492
scalar matrix2 transpose,vek,,,,78183615.0,ns,26450306
scalar matrix2 transpose,vek,,,,79411820.0,ns,26785120
scalar matrix2 transpose,vek,,,,80267488.0,ns,27119934
scalar matrix2 transpose,vek,,,,81169199.0,ns,27454748
scalar matrix2 transpose,vek,,,,82744645.0,ns,27789562
scalar matrix2 transpose,vek,,,,83139756.0,ns,28124376
scalar matrix2 transpose,vek,,,,84357683.0,ns,28459190
scalar matrix2 transpose,vek,,,,85181113.0,ns,28794004
scalar matrix2 transpose,vek,,,,86306839.0,ns,29128818
scalar matrix2 transpose,vek,,,,87296198.0,ns,29463632
scalar matrix2 transpose,vek,,,,88238035.0,ns,29798446
scalar matrix2 transpose,vek,,,,89345471.0,ns,30133260
scalar matrix2 transpose,vek,,,,90084534.0,ns,30468074
scalar matrix2 transpose,vek,,,,91182832.0,ns,30802888
scalar matrix2 transpose,vek,,,,92136953.0,ns,31137702
scalar matrix2 transpose,vek,,,,94556442.0,ns,31472516
scalar matrix2 transpose,vek,,,,95196093.0,ns,31807330
scalar matrix2 transpose,vek,,,,95285376.0,ns,32142144
scalar matrix2 transpose,vek,,,,96125071.0,ns,32476958
scalar matrix2 transpose,vek,,,,97258210.0,ns,32811772
scalar matrix2 transpose,vek,,,,98014546.0,ns,33146586
scalar matrix2 transpose,vek,,,,99273270.0,ns,33481400
