group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 determinant,cgmath,,,,1115916.0,ns,262394
scalar matrix3 determinant,cgmath,,,,2098631.0,ns,524788
scalar matrix3 determinant,cgmath,,,,3085157.0,ns,787182
scalar matrix3 determinant,cgmath,,,,4109257.0,ns,1049576
scalar matrix3 determinant,cgmath,,,,5061057.0,ns,1311970
scalar matrix3 determinant,cgmath,,,,6045629.0,ns,1574364
scalar matrix3 determinant,cgmath,,,,7054196.0,ns,1836758
scalar matrix3 determinant,cgmath,,,,8039649.0,ns,2099152
scalar matrix3 determinant,cgmath,,,,9057447.0,ns,2361546
scalar matrix3 determinant,cgmath,,,,10057199.0,ns,2623940
scalar matrix3 determinant,cgmath,,,,11023494.0,ns,2886334
scalar matrix3 determinant,cgmath,,,,11989456.0,ns,3148728
scalar matrix3 determinant,cgmath,,,,12977722.0,ns,3411122
scalar matrix3 determinant,cgmath,,,,13963781.0,ns,3673516
scalar matrix3 determinant,cgmath,,,,14930600.0,ns,3935910
scalar matrix3 determinant,cgmath,,,,15935195.0,ns,4198304
scalar matrix3 determinant,cgmath,,,,16945980.0,ns,4460698
scalar matrix3 determinant,cgmath,,,,17954053.0,ns,4723092
scalar matrix3 determinant,cgmath,,,,18952789.0,ns,4985486
scalar matrix3 determinant,cgmath,,,,19930693.0,ns,5247880
scalar matrix3 determinant,cgmath,,,,20847059.0,ns,5510274
scalar matrix3 determinant,cgmath,,,,21838375.0,ns,5772668
scalar matrix3 determinant,cgmath,,,,22884480.0,ns,6035062
scalar matrix3 determinant,cgmath,,,,23830310.0,ns,6297456
scalar matrix3 determinant,cgmath,,,,24815549.0,ns,6559850
scalar matrix3 determinant,cgmath,,,,25802636.0,ns,6822244
scalar matrix3 determinant,cgmath,,,,26891874.0,ns,7084638
scalar matrix3 determinant,cgmath,,,,27927438.0,ns,7347032
scalar matrix3 determinant,cgmath,,,,28745748.0,ns,7609426
scalar matrix3 determinant,cgmath,,,,29771429.0,ns,7871820
scalar matrix3 determinant,cgmath,,,,30739719.0,ns,8134214
scalar matrix3 determinant,cgmath,,,,31816701.0,ns,8396608
scalar matrix3 determinant,cgmath,,,,32731382.0,ns,8659002
scalar matrix3 determinant,cgmath,,,,33820089.0,ns,8921396
scalar matrix3 determinant,cgmath,,,,34711946.0,ns,9183790
scalar matrix3 determinant,cgmath,,,,35695250.0,ns,9446184
