group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 determinant,vek,,,,1117546.0,ns,259485
scalar matrix3 determinant,vek,,,,2098276.0,ns,518970
scalar matrix3 determinant,vek,,,,3089409.0,ns,778455
scalar matrix3 determinant,vek,,,,4109104.0,ns,1037940
scalar matrix3 determinant,vek,,,,5064853.0,ns,1297425
scalar matrix3 determinant,vek,,,,6067390.0,ns,1556910
scalar matrix3 determinant,vek,,,,7056572.0,ns,1816395
scalar matrix3 determinant,vek,,,,8021286.0,ns,2075880
scalar matrix3 determinant,vek,,,,9014973.0,ns,2335365
scalar matrix3 determinant,vek,,,,10017056.0,ns,2594850
scalar matrix3 determinant,vek,,,,10983908.0,ns,2854335
scalar matrix3 determinant,vek,,,,11978999.0,ns,3113820
scalar matrix3 determinant,vek,,,,12977401.0,ns,3373305
scalar matrix3 determinant,vek,,,,13988092.0,ns,3632790
scalar matrix3 determinant,vek,,,,14956281.0,ns,3892275
scalar matrix3 determinant,vek,,,,15921889.0,ns,4151760
scalar matrix3 determinant,vek,,,,16906742.0,ns,4411245
scalar matrix3 determinant,vek,,,,17943050.0,ns,4670730
scalar matrix3 determinant,vek,,,,18899714.0,ns,4930215
scalar matrix3 determinant,vek,,,,19889194.0,ns,5189700
scalar matrix3 determinant,vek,,,,20893605.0,ns,5449185
scalar matrix3 determinant,vek,,,,21844486.0,ns,5708670
scalar matrix3 determinant,vek,,,,22849685.0,ns,5968155
scalar matrix3 determinant,vek,,,,23859781.0,ns,6227640
scalar matrix3 determinant,vek,,,,24802777.0,ns,6487125
scalar matrix3 determinant,vek,,,,25810674.0,ns,6746610
scalar matrix3 determinant,vek,,,,26860656.0,ns,7006095
scalar matrix3 determinant,vek,,,,27897974.0,ns,7265580
scalar matrix3 determinant,vek,,,,28851071.0,ns,7525065
scalar matrix3 determinant,vek,,,,29759048.0,ns,7784550
scalar matrix3 determinant,vek,,,,30791184.0,ns,8044035
scalar matrix3 determinant,vek,,,,31756290.0,ns,8303520
scalar matrix3 determinant,vek,,,,32764722.0,ns,8563005
scalar matrix3 determinant,vek,,,,33929673.0,ns,8822490
scalar matrix3 determinant,vek,,,,34740242.0,ns,9081975
scalar matrix3 determinant,vek,,,,35660342.0,ns,9341460
scalar matrix3 determinant,vek,,,,36729879.0,ns,9600945
scalar matrix3 determinant,vek,,,,37681394.0,ns,9860430
scalar matrix3 determinant,vek,,,,38689852.0,ns,10119915
scalar matrix3 determinant,vek,,,,39672944.0,ns,10379400
scalar matrix3 determinant,vek,,,,40654846.0,ns,10638885
scalar matrix3 determinant,vek,,,,41625690.0,ns,10898370
scalar matrix3 determinant,vek,,,,42707236.0,ns,11157855
scalar matrix3 determinant,vek,,,,43689507.0,ns,11417340
scalar matrix3 determinant,vek,,,,44605643.0,ns,11676825
scalar matrix3 determinant,vek,,,,45552360.0,ns,11936310
scalar matrix3 determinant,vek,,,,46654146.0,ns,12195795
scalar matrix3 determinant,vek,,,,47569012.0,ns,12455280
scalar matrix3 determinant,vek,,,,48515301.0,ns,12714765
scalar matrix3 determinant,vek,,,,49519282.0,ns,12974250
scalar matrix3 determinant,vek,,,,50557081.0,ns,13233735
scalar matrix3 determinant,vek,,,,51554170.0,ns,13493220
scalar matrix3 determinant,vek,,,,52534564.0,ns,13752705
scalar matrix3 determinant,vek,,,,53795888.0,ns,14012190
scalar matrix3 determinant,vek,,,,54483474.0,ns,14271675
scalar matrix3 determinant,vek,,,,55549669.0,ns,14531160
scalar matrix3 determinant,vek,,,,56408960.0,ns,14790645
scalar matrix3 determinant,vek,,,,57466823.0,ns,15050130
scalar matrix3 determinant,vek,,,,58446575.0,ns,15309615
scalar matrix3 determinant,vek,,,,59417389.0,ns,15569100
scalar matrix3 determinant,vek,,,,60399272.0,ns,15828585
scalar matrix3 determinant,vek,,,,61411551.0,ns,16088070
scalar matrix3 determinant,vek,,,,62499149.0,ns,16347555
scalar matrix3 determinant,vek,,,,63323015.0,ns,16607040
scalar matrix3 determinant,vek,,,,64350825.0,ns,16866525
scalar matrix3 determinant,vek,,,,65360761.0,ns,17126010
scalar matrix3 determinant,vek,,,,66321906.0,ns,17385495
scalar matrix3 determinant,vek,,,,67311917.0,ns,17644980
scalar matrix3 determinant,vek,,,,68380833.0,ns,17904465
scalar matrix3 determinant,vek,,,,69263386.0,ns,18163950
scalar matrix3 determinant,vek,,,,70314978.0,ns,18423435
scalar matrix3 determinant,vek,,,,71281498.0,ns,18682920
scalar matrix3 determinant,vek,,,,72328180.0,ns,18942405
scalar matrix3 determinant,vek,,,,73231732.0,ns,19201890
scalar matrix3 determinant,vek,,,,74229625.0,ns,19461375
scalar matrix3 determinant,vek,,,,75227871.0,ns,19720860
scalar matrix3 determinant,vek,,,,76354369.0,ns,19980345
scalar matrix3 determinant,vek,,,,77175537.0,ns,20239830
scalar matrix3 determinant,vek,,,,78236391.0,ns,20499315
scalar matrix3 determinant,vek,,,,79153675.0,ns,20758800
scalar matrix3 determinant,vek,,,,80209427.0,ns,21018285
scalar matrix3 determinant,vek,,,,81222334.0,ns,21277770
scalar matrix3 determinant,vek,,,,82437614.0,ns,21537255
scalar matrix3 determinant,vek,,,,83159903.0,ns,21796740
scalar matrix3 determinant,vek,,,,84112764.0,ns,22056225
scalar matrix3 determinant,vek,,,,85304217.0,ns,22315710
scalar matrix3 determinant,vek,,,,86125101.0,ns,22575195
scalar matrix3 determinant,vek,,,,87088637.0,ns,22834680
scalar matrix3 determinant,vek,,,,88127093.0,ns,23094165
scalar matrix3 determinant,vek,,,,89148931.0,ns,23353650
scalar matrix3 determinant,vek,,,,90122160.0,ns,23613135
scalar matrix3 determinant,vek,,,,91090495.0,ns,23872620
scalar matrix3 determinant,vek,,,,92155036.0,ns,24132105
scalar matrix3 determinant,vek,,,,93155757.0,ns,24391590
scalar matrix3 determinant,vek,,,,94021266.0,ns,24651075
scalar matrix3 determinant,vek,,,,95153081.0,ns,24910560
scalar matrix3 determinant,vek,,,,95956170.0,ns,25170045
scalar matrix3 determinant,vek,,,,97089227.0,ns,25429530
scalar matrix3 determinant,vek,,,,97966610.0,ns,25689015
scalar matrix3 determinant,vek,,,,99073422.0,ns,25948500
