group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 inverse,cgmath,,,,1112214.0,ns,53008
scalar matrix3 inverse,cgmath,,,,2100740.0,ns,106016
scalar matrix3 inverse,cgmath,,,,3084735.0,ns,159024
scalar matrix3 inverse,cgmath,,,,4106026.0,ns,212032
scalar matrix3 inverse,cgmath,,,,5061011.0,ns,265040
scalar matrix3 inverse,cgmath,,,,6128763.0,ns,318048
scalar matrix3 inverse,cgmath,,,,7094981.0,ns,371056
scalar matrix3 inverse,cgmath,,,,8021380.0,ns,424064
scalar matrix3 inverse,cgmath,,,,9004505.0,ns,477072
scalar matrix3 inverse,cgmath,,,,10036053.0,ns,530080
scalar matrix3 inverse,cgmath,,,,10982393.0,ns,583088
scalar matrix3 inverse,cgmath,,,,11985396.0,ns,636096
scalar matrix3 inverse,cgmath,,,,12977797.0,ns,689104
scalar matrix3 inverse,cgmath,,,,14086391.0,ns,742112
scalar matrix3 inverse,cgmath,,,,14948444.0,ns,795120
scalar matrix3 inverse,cgmath,,,,15936229.0,ns,848128
scalar matrix3 inverse,cgmath,,,,16920502.0,ns,901136
scalar matrix3 inverse,cgmath,,,,17886349.0,ns,954144
scalar matrix3 inverse,cgmath,,,,18915457.0,ns,1007152
scalar matrix3 inverse,cgmath,,,,19879557.0,ns,1060160
scalar matrix3 inverse,cgmath,,,,20994478.0,ns,1113168
scalar matrix3 inverse,cgmath,,,,21837552.0,ns,1166176
scalar matrix3 inverse,cgmath,,,,22847688.0,ns,1219184
scalar matrix3 inverse,cgmath,,,,23856478.0,ns,1272192
scalar matrix3 inverse,cgmath,,,,24818399.0,ns,1325200
scalar matrix3 inverse,cgmath,,,,25802671.0,ns,1378208
scalar matrix3 inverse,cgmath,,,,26790813.0,ns,1431216
scalar matrix3 inverse,cgmath,,,,27800872.0,ns,1484224
scalar matrix3 inverse,cgmath,,,,28847683.0,ns,1537232
scalar matrix3 inverse,cgmath,,,,29779290.0,ns,1590240
scalar matrix3 inverse,cgmath,,,,31020135.0,ns,1643248
scalar matrix3 inverse,cgmath,,,,31768970.0,ns,1696256
scalar matrix3 inverse,cgmath,,,,32744173.0,ns,1749264
scalar matrix3 inverse,cgmath,,,,33727536.0,ns,1802272
scalar matrix3 inverse,cgmath,,,,34822937.0,ns,1855280
scalar matrix3 inverse,cgmath,,,,35707097.0,ns,1908288
scalar matrix3 inverse,cgmath,,,,36672896.0,ns,1961296
scalar matrix3 inverse,cgmath,,,,37714054.0,ns,2014304
scalar matrix3 inverse,cgmath,,,,38736732.0,ns,2067312
scalar matrix3 inverse,cgmath,,,,39734454.0,ns,2120320
scalar matrix3 inverse,cgmath,,,,40629469.0,ns,2173328
scalar matrix3 inverse,cgmath,,,,41625912.0,ns,2226336
scalar matrix3 inverse,cgmath,,,,42609475.0,ns,2279344
scalar matrix3 inverse,cgmath,,,,43598623.0,ns,2332352
scalar matrix3 inverse,cgmath,,,,44714784.0,ns,2385360
scalar matrix3 inverse,cgmath,,,,45561926.0,ns,2438368
scalar matrix3 inverse,cgmath,,,,46555563.0,ns,2491376
scalar matrix3 inverse,cgmath,,,,47535653.0,ns,2544384
scalar matrix3 inverse,cgmath,,,,48569652.0,ns,2597392
scalar matrix3 inverse,cgmath,,,,49518220.0,ns,2650400
scalar matrix3 inverse,cgmath,,,,50499989.0,ns,2703408
scalar matrix3 inverse,cgmath,,,,51506049.0,ns,2756416
scalar matrix3 inverse,cgmath,,,,52623395.0,ns,2809424
scalar matrix3 inverse,cgmath,,,,53649084.0,ns,2862432
scalar matrix3 inverse,cgmath,,,,54548130.0,ns,2915440
scalar matrix3 inverse,cgmath,,,,55494711.0,ns,2968448
scalar matrix3 inverse,cgmath,,,,56590312.0,ns,3021456
scalar matrix3 inverse,cgmath,,,,57486847.0,ns,3074464
scalar matrix3 inverse,cgmath,,,,58432876.0,ns,3127472
scalar matrix3 inverse,cgmath,,,,59477947.0,ns,3180480
scalar matrix3 inverse,cgmath,,,,60428111.0,ns,3233488
scalar matrix3 inverse,cgmath,,,,61389694.0,ns,3286496
scalar matrix3 inverse,cgmath,,,,62468836.0,ns,3339504
scalar matrix3 inverse,cgmath,,,,63367534.0,ns,3392512
