group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 mul matrix3,cgmath,,,,1123953.0,ns,74141
scalar matrix3 mul matrix3,cgmath,,,,2105869.0,ns,148282
scalar matrix3 mul matrix3,cgmath,,,,3087073.0,ns,222423
scalar matrix3 mul matrix3,cgmath,,,,4109934.0,ns,296564
scalar matrix3 mul matrix3,cgmath,,,,5061810.0,ns,370705
scalar matrix3 mul matrix3,cgmath,,,,6108014.0,ns,444846
scalar matrix3 mul matrix3,cgmath,,,,7062810.0,ns,518987
scalar matrix3 mul matrix3,cgmath,,,,8022331.0,ns,593128
scalar matrix3 mul matrix3,cgmath,,,,9011029.0,ns,667269
scalar matrix3 mul matrix3,cgmath,,,,10019326.0,ns,741410
scalar matrix3 mul matrix3,cgmath,,,,11005480.0,ns,815551
scalar matrix3 mul matrix3,cgmath,,,,11972355.0,ns,889692
scalar matrix3 mul matrix3,cgmath,,,,12981117.0,ns,963833
scalar matrix3 mul matrix3,cgmath,,,,13948711.0,ns,1037974
scalar matrix3 mul matrix3,cgmath,,,,14970945.0,ns,1112115
scalar matrix3 mul matrix3,cgmath,,,,15958749.0,ns,1186256
scalar matrix3 mul matrix3,cgmath,,,,16928764.0,ns,1260397
scalar matrix3 mul matrix3,cgmath,,,,17913130.0,ns,1334538
scalar matrix3 mul matrix3,cgmath,,,,18902349.0,ns,1408679
scalar matrix3 mul matrix3,cgmath,,,,19973961.0,ns,1482820
scalar matrix3 mul matrix3,cgmath,,,,20901751.0,ns,1556961
scalar matrix3 mul matrix3,cgmath,,,,21863068.0,ns,1631102
scalar matrix3 mul matrix3,cgmath,,,,22849079.0,ns,1705243
scalar matrix3 mul matrix3,cgmath,,,,23838201.0,ns,1779384
scalar matrix3 mul matrix3,cgmath,,,,24831926.0,ns,1853525
scalar matrix3 mul matrix3,cgmath,,,,25832389.0,ns,1927666
scalar matrix3 mul matrix3,cgmath,,,,26801285.0,ns,2001807
scalar matrix3 mul matrix3,cgmath,,,,27896855.0,ns,2075948
scalar matrix3 mul matrix3,cgmath,,,,28798162.0,ns,2150089
scalar matrix3 mul matrix3,cgmath,,,,29740189.0,ns,2224230
scalar matrix3 mul matrix3,cgmath,,,,30755534.0,ns,2298371
scalar matrix3 mul matrix3,cgmath,,,,31798367.0,ns,2372512
scalar matrix3 mul matrix3,cgmath,,,,32761983.0,ns,2446653
scalar matrix3 mul matrix3,cgmath,,,,33750182.0,ns,2520794
scalar matrix3 mul matrix3,cgmath,,,,34736602.0,ns,2594935
scalar matrix3 mul matrix3,cgmath,,,,35685132.0,ns,2669076
scalar matrix3 mul matrix3,cgmath,,,,36671532.0,ns,2743217
scalar matrix3 mul matrix3,cgmath,,,,37700769.0,ns,2817358
scalar matrix3 mul matrix3,cgmath,,,,38663750.0,ns,2891499
scalar matrix3 mul matrix3,cgmath,,,,39716831.0,ns,2965640
scalar matrix3 mul matrix3,cgmath,,,,40666112.0,ns,3039781
scalar matrix3 mul matrix3,cgmath,,,,41688885.0,ns,3113922
scalar matrix3 mul matrix3,cgmath,,,,42675883.0,ns,3188063
scalar matrix3 mul matrix3,cgmath,,,,43630672.0,ns,3262204
scalar matrix3 mul matrix3,cgmath,,,,44716586.0,ns,3336345
scalar matrix3 mul matrix3,cgmath,,,,45557479.0,ns,3410486
scalar matrix3 mul matrix3,cgmath,,,,46608014.0,ns,3484627
scalar matrix3 mul matrix3,cgmath,,,,47550842.0,ns,3558768
scalar matrix3 mul matrix3,cgmath,,,,48636453.0,ns,3632909
scalar matrix3 mul matrix3,cgmath,,,,49504200.0,ns,3707050
scalar matrix3 mul matrix3,cgmath,,,,50550159.0,ns,3781191
scalar matrix3 mul matrix3,cgmath,,,,51524130.0,ns,3855332
scalar matrix3 mul matrix3,cgmath,,,,52637715.0,ns,3929473
scalar matrix3 mul matrix3,cgmath,,,,53454221.0,ns,4003614
scalar matrix3 mul matrix3,cgmath,,,,54525440.0,ns,4077755
scalar matrix3 mul matrix3,cgmath,,,,55509372.0,ns,4151896
scalar matrix3 mul matrix3,cgmath,,,,56416156.0,ns,4226037
scalar matrix3 mul matrix3,cgmath,,,,57439231.0,ns,4300178
scalar matrix3 mul matrix3,cgmath,,,,58449094.0,ns,4374319
scalar matrix3 mul matrix3,cgmath,,,,59722921.0,ns,4448460
scalar matrix3 mul matrix3,cgmath,,,,61050785.0,ns,4522601
scalar matrix3 mul matrix3,cgmath,,,,61503758.0,ns,4596742
scalar matrix3 mul matrix3,cgmath,,,,62491405.0,ns,4670883
scalar matrix3 mul matrix3,cgmath,,,,63353911.0,ns,4745024
scalar matrix3 mul matrix3,cgmath,,,,64377148.0,ns,4819165
scalar matrix3 mul matrix3,cgmath,,,,65422158.0,ns,4893306
scalar matrix3 mul matrix3,cgmath,,,,66326303.0,ns,4967447
scalar matrix3 mul matrix3,cgmath,,,,67315265.0,ns,5041588
scalar matrix3 mul matrix3,cgmath,,,,68406221.0,ns,5115729
scalar matrix3 mul matrix3,cgmath,,,,69315573.0,ns,5189870
scalar matrix3 mul matrix3,cgmath,,,,70317618.0,ns,5264011
scalar matrix3 mul matrix3,cgmath,,,,71327785.0,ns,5338152
scalar matrix3 mul matrix3,cgmath,,,,72230249.0,ns,5412293
scalar matrix3 mul matrix3,cgmath,,,,73267168.0,ns,5486434
scalar matrix3 mul matrix3,cgmath,,,,74523025.0,ns,5560575
scalar matrix3 mul matrix3,cgmath,,,,75230799.0,ns,5634716
scalar matrix3 mul matrix3,cgmath,,,,76247870.0,ns,5708857
scalar matrix3 mul matrix3,cgmath,,,,77325689.0,ns,5782998
scalar matrix3 mul matrix3,cgmath,,,,78195686.0,ns,5857139
scalar matrix3 mul matrix3,cgmath,,,,79262046.0,ns,5931280
scalar matrix3 mul matrix3,cgmath,,,,80143088.0,ns,6005421
scalar matrix3 mul matrix3,cgmath,,,,81301901.0,ns,6079562
scalar matrix3 mul matrix3,cgmath,,,,82110333.0,ns,6153703
scalar matrix3 mul matrix3,cgmath,,,,83198612.0,ns,6227844
scalar matrix3 mul matrix3,cgmath,,,,84225483.0,ns,6301985
scalar matrix3 mul matrix3,cgmath,,,,85129948.0,ns,6376126
scalar matrix3 mul matrix3,cgmath,,,,86175097.0,ns,6450267
scalar matrix3 mul matrix3,cgmath,,,,87339499.0,ns,6524408
scalar matrix3 mul matrix3,cgmath,,,,88195033.0,ns,6598549
scalar matrix3 mul matrix3,cgmath,,,,89056539.0,ns,6672690
scalar matrix3 mul matrix3,cgmath,,,,90089070.0,ns,6746831
scalar matrix3 mul matrix3,cgmath,,,,91091550.0,ns,6820972
scalar matrix3 mul matrix3,cgmath,,,,92017161.0,ns,6895113
scalar matrix3 mul matrix3,cgmath,,,,93115935.0,ns,6969254
scalar matrix3 mul matrix3,cgmath,,,,94031785.0,ns,7043395
scalar matrix3 mul matrix3,cgmath,,,,95043701.0,ns,7117536
scalar matrix3 mul matrix3,cgmath,,,,95985506.0,ns,7191677
scalar matrix3 mul matrix3,cgmath,,,,97063177.0,ns,7265818
scalar matrix3 mul matrix3,cgmath,,,,97946019.0,ns,7339959
scalar matrix3 mul matrix3,cgmath,,,,99079419.0,ns,7414100
