group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 mul vector3,glam,100,100,elements,1124842.0,ns,2045
scalar matrix3 mul vector3,glam,100,100,elements,2055164.0,ns,4090
scalar matrix3 mul vector3,glam,100,100,elements,3027573.0,ns,6135
scalar matrix3 mul vector3,glam,100,100,elements,4026241.0,ns,8180
scalar matrix3 mul vector3,glam,100,100,elements,5020995.0,ns,10225
scalar matrix3 mul vector3,glam,100,100,elements,6221409.0,ns,12270
scalar matrix3 mul vector3,glam,100,100,elements,6916976.0,ns,14315
scalar matrix3 mul vector3,glam,100,100,elements,7916674.0,ns,16360
scalar matrix3 mul vector3,glam,100,100,elements,8958949.0,ns,18405
scalar matrix3 mul vector3,glam,100,100,elements,9834507.0,ns,20450
scalar matrix3 mul vector3,glam,100,100,elements,10865165.0,ns,22495
scalar matrix3 mul vector3,glam,100,100,elements,11805849.0,ns,24540
scalar matrix3 mul vector3,glam,100,100,elements,12749948.0,ns,26585
scalar matrix3 mul vector3,glam,100,100,elements,14109653.0,ns,28630
scalar matrix3 mul vector3,glam,100,100,elements,14988501.0,ns,30675
scalar matrix3 mul vector3,glam,100,100,elements,15887340.0,ns,32720
scalar matrix3 mul vector3,glam,100,100,elements,16872698.0,ns,34765
scalar matrix3 mul vector3,glam,100,100,elements,17596989.0,ns,36810
scalar matrix3 mul vector3,glam,100,100,elements,18669845.0,ns,38855
scalar matrix3 mul vector3,glam,100,100,elements,19743165.0,ns,40900
scalar matrix3 mul vector3,glam,100,100,elements,20570089.0,ns,42945
scalar matrix3 mul vector3,glam,100,100,elements,21518971.0,ns,44990
scalar matrix3 mul vector3,glam,100,100,elements,22914506.0,ns,47035
scalar matrix3 mul vector3,glam,100,100,elements,23739822.0,ns,49080
scalar matrix3 mul vector3,glam,100,100,elements,24596457.0,ns,51125
scalar matrix3 mul vector3,glam,100,100,elements,25449660.0,ns,53170
scalar matrix3 mul vector3,glam,100,100,elements,26560919.0,ns,55215
scalar matrix3 mul vector3,glam,100,100,elements,27782520.0,ns,57260
scalar matrix3 mul vector3,glam,100,100,elements,28458630.0,ns,59305
scalar matrix3 mul vector3,glam,100,100,elements,29776192.0,ns,61350
scalar matrix3 mul vector3,glam,100,100,elements,30514465.0,ns,63395
scalar matrix3 mul vector3,glam,100,100,elements,31647423.0,ns,65440
scalar matrix3 mul vector3,glam,100,100,elements,32478599.0,ns,67485
scalar matrix3 mul vector3,glam,100,100,elements,33772992.0,ns,69530
scalar matrix3 mul vector3,glam,100,100,elements,34701290.0,ns,71575
scalar matrix3 mul vector3,glam,100,100,elements,35764803.0,ns,73620
scalar matrix3 mul vector3,glam,100,100,elements,36583312.0,ns,75665
scalar matrix3 mul vector3,glam,100,100,elements,37425647.0,ns,77710
scalar matrix3 mul vector3,glam,100,100,elements,38901124.0,ns,79755
scalar matrix3 mul vector3,glam,100,100,elements,39943444.0,ns,81800
scalar matrix3 mul vector3,glam,100,100,elements,40497635.0,ns,83845
scalar matrix3 mul vector3,glam,100,100,elements,41352461.0,ns,85890
scalar matrix3 mul vector3,glam,100,100,elements,42521885.0,ns,87935
scalar matrix3 mul vector3,glam,100,100,elements,43879064.0,ns,89980
scalar matrix3 mul vector3,glam,100,100,elements,44481211.0,ns,92025
scalar matrix3 mul vector3,glam,100,100,elements,45381870.0,ns,94070
scalar matrix3 mul vector3,glam,100,100,elements,46922814.0,ns,96115
scalar matrix3 mul vector3,glam,100,100,elements,47774987.0,ns,98160
scalar matrix3 mul vector3,glam,100,100,elements,48531929.0,ns,100205
scalar matrix3 mul vector3,glam,100,100,elements,49256715.0,ns,102250
scalar matrix3 mul vector3,glam,100,100,elements,50545516.0,ns,104295
scalar matrix3 mul vector3,glam,100,100,elements,51243190.0,ns,106340
scalar matrix3 mul vector3,glam,100,100,elements,52486751.0,ns,108385
scalar matrix3 mul vector3,glam,100,100,elements,53238931.0,ns,110430
scalar matrix3 mul vector3,glam,100,100,elements,54843536.0,ns,112475
scalar matrix3 mul vector3,glam,100,100,elements,55111375.0,ns,114520
scalar matrix3 mul vector3,glam,100,100,elements,56121424.0,ns,116565
scalar matrix3 mul vector3,glam,100,100,elements,57072324.0,ns,118610
scalar matrix3 mul vector3,glam,100,100,elements,59905080.0,ns,120655
scalar matrix3 mul vector3,glam,100,100,elements,59259768.0,ns,122700
scalar matrix3 mul vector3,glam,100,100,elements,60131530.0,ns,124745
scalar matrix3 mul vector3,glam,100,100,elements,61296127.0,ns,126790
scalar matrix3 mul vector3,glam,100,100,elements,62261766.0,ns,128835
scalar matrix3 mul vector3,glam,100,100,elements,63439424.0,ns,130880
scalar matrix3 mul vector3,glam,100,100,elements,63899887.0,ns,132925
scalar matrix3 mul vector3,glam,100,100,elements,65105767.0,ns,134970
scalar matrix3 mul vector3,glam,100,100,elements,66055489.0,ns,137015
scalar matrix3 mul vector3,glam,100,100,elements,67031988.0,ns,139060
scalar matrix3 mul vector3,glam,100,100,elements,68197599.0,ns,141105
scalar matrix3 mul vector3,glam,100,100,elements,68875475.0,ns,143150
scalar matrix3 mul vector3,glam,100,100,elements,70409060.0,ns,145195
scalar matrix3 mul vector3,glam,100,100,elements,71133969.0,ns,147240
scalar matrix3 mul vector3,glam,100,100,elements,72516948.0,ns,149285
scalar matrix3 mul vector3,glam,100,100,elements,73140872.0,ns,151330
scalar matrix3 mul vector3,glam,100,100,elements,73794662.0,ns,153375
scalar matrix3 mul vector3,glam,100,100,elements,75203088.0,ns,155420
scalar matrix3 mul vector3,glam,100,100,elements,75885185.0,ns,157465
scalar matrix3 mul vector3,glam,100,100,elements,76778268.0,ns,159510
scalar matrix3 mul vector3,glam,100,100,elements,79171911.0,ns,161555
scalar matrix3 mul vector3,glam,100,100,elements,79210771.0,ns,163600
scalar matrix3 mul vector3,glam,100,100,elements,79756601.0,ns,165645
scalar matrix3 mul vector3,glam,100,100,elements,81951861.0,ns,167690
scalar matrix3 mul vector3,glam,100,100,elements,81891670.0,ns,169735
scalar matrix3 mul vector3,glam,100,100,elements,82559677.0,ns,171780
scalar matrix3 mul vector3,glam,100,100,elements,83906918.0,ns,173825
scalar matrix3 mul vector3,glam,100,100,elements,84817929.0,ns,175870
scalar matrix3 mul vector3,glam,100,100,elements,85914944.0,ns,177915
scalar matrix3 mul vector3,glam,100,100,elements,86780749.0,ns,179960
scalar matrix3 mul vector3,glam,100,100,elements,87723671.0,ns,182005
scalar matrix3 mul vector3,glam,100,100,elements,88849765.0,ns,184050
scalar matrix3 mul vector3,glam,100,100,elements,90409750.0,ns,186095
scalar matrix3 mul vector3,glam,100,100,elements,91334082.0,ns,188140
scalar matrix3 mul vector3,glam,100,100,elements,91685748.0,ns,190185
scalar matrix3 mul vector3,glam,100,100,elements,93902745.0,ns,192230
scalar matrix3 mul vector3,glam,100,100,elements,93688305.0,ns,194275
scalar matrix3 mul vector3,glam,100,100,elements,94873261.0,ns,196320
scalar matrix3 mul vector3,glam,100,100,elements,95734766.0,ns,198365
scalar matrix3 mul vector3,glam,100,100,elements,96813460.0,ns,200410
scalar matrix3 mul vector3,glam,100,100,elements,98254519.0,ns,202455
scalar matrix3 mul vector3,glam,100,100,elements,98830035.0,ns,204500
