group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 mul vector3,ultraviolet,100,100,elements,1109901.0,ns,2087
scalar matrix3 mul vector3,ultraviolet,100,100,elements,2094557.0,ns,4174
scalar matrix3 mul vector3,ultraviolet,100,100,elements,3086836.0,ns,6261
scalar matrix3 mul vector3,ultraviolet,100,100,elements,4102941.0,ns,8348
scalar matrix3 mul vector3,ultraviolet,100,100,elements,5061958.0,ns,10435
scalar matrix3 mul vector3,ultraviolet,100,100,elements,6070184.0,ns,12522
scalar matrix3 mul vector3,ultraviolet,100,100,elements,7046612.0,ns,14609
scalar matrix3 mul vector3,ultraviolet,100,100,elements,8049070.0,ns,16696
scalar matrix3 mul vector3,ultraviolet,100,100,elements,9030212.0,ns,18783
scalar matrix3 mul vector3,ultraviolet,100,100,elements,10007301.0,ns,20870
scalar matrix3 mul vector3,ultraviolet,100,100,elements,11033045.0,ns,22957
scalar matrix3 mul vector3,ultraviolet,100,100,elements,12004160.0,ns,25044
scalar matrix3 mul vector3,ultraviolet,100,100,elements,12994598.0,ns,27131
scalar matrix3 mul vector3,ultraviolet,100,100,elements,14019872.0,ns,29218
scalar matrix3 mul vector3,ultraviolet,100,100,elements,14982305.0,ns,31305
scalar matrix3 mul vector3,ultraviolet,100,100,elements,15954772.0,ns,33392
scalar matrix3 mul vector3,ultraviolet,100,100,elements,16951847.0,ns,35479
scalar matrix3 mul vector3,ultraviolet,100,100,elements,18022259.0,ns,37566
scalar matrix3 mul vector3,ultraviolet,100,100,elements,18937416.0,ns,39653
scalar matrix3 mul vector3,ultraviolet,100,100,elements,19929829.0,ns,41740
scalar matrix3 mul vector3,ultraviolet,100,100,elements,20950960.0,ns,43827
scalar matrix3 mul vector3,ultraviolet,100,100,elements,21888229.0,ns,45914
scalar matrix3 mul vector3,ultraviolet,100,100,elements,22896821.0,ns,48001
scalar matrix3 mul vector3,ultraviolet,100,100,elements,23911253.0,ns,50088
scalar matrix3 mul vector3,ultraviolet,100,100,elements,24867703.0,ns,52175
scalar matrix3 mul vector3,ultraviolet,100,100,elements,25847051.0,ns,54262
scalar matrix3 mul vector3,ultraviolet,100,100,elements,26865762.0,ns,56349
scalar matrix3 mul vector3,ultraviolet,100,100,elements,27809722.0,ns,58436
scalar matrix3 mul vector3,ultraviolet,100,100,elements,30324303.0,ns,60523
scalar matrix3 mul vector3,ultraviolet,100,100,elements,29781140.0,ns,62610
scalar matrix3 mul vector3,ultraviolet,100,100,elements,30804243.0,ns,64697
scalar matrix3 mul vector3,ultraviolet,100,100,elements,31758783.0,ns,66784
scalar matrix3 mul vector3,ultraviolet,100,100,elements,32764870.0,ns,68871
scalar matrix3 mul vector3,ultraviolet,100,100,elements,33750978.0,ns,70958
scalar matrix3 mul vector3,ultraviolet,100,100,elements,34756576.0,ns,73045
scalar matrix3 mul vector3,ultraviolet,100,100,elements,35730217.0,ns,75132
scalar matrix3 mul vector3,ultraviolet,100,100,elements,36683811.0,ns,77219
scalar matrix3 mul vector3,ultraviolet,100,100,elements,37792320.0,ns,79306
scalar matrix3 mul vector3,ultraviolet,100,100,elements,38705762.0,ns,81393
scalar matrix3 mul vector3,ultraviolet,100,100,elements,39710281.0,ns,83480
scalar matrix3 mul vector3,ultraviolet,100,100,elements,40714960.0,ns,85567
scalar matrix3 mul vector3,ultraviolet,100,100,elements,41659125.0,ns,87654
scalar matrix3 mul vector3,ultraviolet,100,100,elements,42620359.0,ns,89741
scalar matrix3 mul vector3,ultraviolet,100,100,elements,43626344.0,ns,91828
scalar matrix3 mul vector3,ultraviolet,100,100,elements,44641547.0,ns,93915
scalar matrix3 mul vector3,ultraviolet,100,100,elements,45704047.0,ns,96002
scalar matrix3 mul vector3,ultraviolet,100,100,elements,46574191.0,ns,98089
scalar matrix3 mul vector3,ultraviolet,100,100,elements,47627274.0,ns,100176
scalar matrix3 mul vector3,ultraviolet,100,100,elements,48771089.0,ns,102263
scalar matrix3 mul vector3,ultraviolet,100,100,elements,49585449.0,ns,104350
scalar matrix3 mul vector3,ultraviolet,100,100,elements,50611501.0,ns,106437
scalar matrix3 mul vector3,ultraviolet,100,100,elements,51563419.0,ns,108524
scalar matrix3 mul vector3,ultraviolet,100,100,elements,52711583.0,ns,110611
scalar matrix3 mul vector3,ultraviolet,100,100,elements,53595087.0,ns,112698
scalar matrix3 mul vector3,ultraviolet,100,100,elements,54550829.0,ns,114785
scalar matrix3 mul vector3,ultraviolet,100,100,elements,56099855.0,ns,116872
scalar matrix3 mul vector3,ultraviolet,100,100,elements,56680734.0,ns,118959
scalar matrix3 mul vector3,ultraviolet,100,100,elements,57606949.0,ns,121046
scalar matrix3 mul vector3,ultraviolet,100,100,elements,58740244.0,ns,123133
scalar matrix3 mul vector3,ultraviolet,100,100,elements,60356862.0,ns,125220
scalar matrix3 mul vector3,ultraviolet,100,100,elements,60550797.0,ns,127307
scalar matrix3 mul vector3,ultraviolet,100,100,elements,61487378.0,ns,129394
scalar matrix3 mul vector3,ultraviolet,100,100,elements,62546150.0,ns,131481
scalar matrix3 mul vector3,ultraviolet,100,100,elements,63490769.0,ns,133568
scalar matrix3 mul vector3,ultraviolet,100,100,elements,64420337.0,ns,135655
scalar matrix3 mul vector3,ultraviolet,100,100,elements,65493982.0,ns,137742
scalar matrix3 mul vector3,ultraviolet,100,100,elements,66766339.0,ns,139829
scalar matrix3 mul vector3,ultraviolet,100,100,elements,67428312.0,ns,141916
scalar matrix3 mul vector3,ultraviolet,100,100,elements,68428708.0,ns,144003
scalar matrix3 mul vector3,ultraviolet,100,100,elements,69431719.0,ns,146090
scalar matrix3 mul vector3,ultraviolet,100,100,elements,70317161.0,ns,148177
scalar matrix3 mul vector3,ultraviolet,100,100,elements,71370222.0,ns,150264
scalar matrix3 mul vector3,ultraviolet,100,100,elements,72387731.0,ns,152351
scalar matrix3 mul vector3,ultraviolet,100,100,elements,73526992.0,ns,154438
scalar matrix3 mul vector3,ultraviolet,100,100,elements,74308458.0,ns,156525
scalar matrix3 mul vector3,ultraviolet,100,100,elements,75368266.0,ns,158612
scalar matrix3 mul vector3,ultraviolet,100,100,elements,76347142.0,ns,160699
scalar matrix3 mul vector3,ultraviolet,100,100,elements,77338162.0,ns,162786
scalar matrix3 mul vector3,ultraviolet,100,100,elements,78284240.0,ns,164873
scalar matrix3 mul vector3,ultraviolet,100,100,elements,79354697.0,ns,166960
scalar matrix3 mul vector3,ultraviolet,100,100,elements,80384468.0,ns,169047
scalar matrix3 mul vector3,ultraviolet,100,100,elements,81351538.0,ns,171134
scalar matrix3 mul vector3,ultraviolet,100,100,elements,82317019.0,ns,173221
scalar matrix3 mul vector3,ultraviolet,100,100,elements,83326896.0,ns,175308
scalar matrix3 mul vector3,ultraviolet,100,100,elements,84177097.0,ns,177395
scalar matrix3 mul vector3,ultraviolet,100,100,elements,85332144.0,ns,179482
scalar matrix3 mul vector3,ultraviolet,100,100,elements,86197590.0,ns,181569
scalar matrix3 mul vector3,ultraviolet,100,100,elements,87175615.0,ns,183656
scalar matrix3 mul vector3,ultraviolet,100,100,elements,88146990.0,ns,185743
scalar matrix3 mul vector3,ultraviolet,100,100,elements,89361651.0,ns,187830
scalar matrix3 mul vector3,ultraviolet,100,100,elements,90169336.0,ns,189917
scalar matrix3 mul vector3,ultraviolet,100,100,elements,91341428.0,ns,192004
scalar matrix3 mul vector3,ultraviolet,100,100,elements,92148093.0,ns,194091
scalar matrix3 mul vector3,ultraviolet,100,100,elements,93141446.0,ns,196178
scalar matrix3 mul vector3,ultraviolet,100,100,elements,94282731.0,ns,198265
scalar matrix3 mul vector3,ultraviolet,100,100,elements,95120834.0,ns,200352
scalar matrix3 mul vector3,ultraviolet,100,100,elements,96236561.0,ns,202439
scalar matrix3 mul vector3,ultraviolet,100,100,elements,97104286.0,ns,204526
scalar matrix3 mul vector3,ultraviolet,100,100,elements,98479701.0,ns,206613
scalar matrix3 mul vector3,ultraviolet,100,100,elements,99190937.0,ns,208700
