group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix3 mul vector3,vek,1,1,elements,1114215.0,ns,79043
scalar matrix3 mul vector3,vek,1,1,elements,2102559.0,ns,158086
scalar matrix3 mul vector3,vek,1,1,elements,3088793.0,ns,237129
scalar matrix3 mul vector3,vek,1,1,elements,4111763.0,ns,316172
scalar matrix3 mul vector3,vek,1,1,elements,5059672.0,ns,395215
scalar matrix3 mul vector3,vek,1,1,elements,6054283.0,ns,474258
scalar matrix3 mul vector3,vek,1,1,elements,7062692.0,ns,553301
scalar matrix3 mul vector3,vek,1,1,elements,8047386.0,ns,632344
scalar matrix3 mul vector3,vek,1,1,elements,9034614.0,ns,711387
scalar matrix3 mul vector3,vek,1,1,elements,10017434.0,ns,790430
scalar matrix3 mul vector3,vek,1,1,elements,10989122.0,ns,869473
scalar matrix3 mul vector3,vek,1,1,elements,11995010.0,ns,948516
scalar matrix3 mul vector3,vek,1,1,elements,12960663.0,ns,1027559
scalar matrix3 mul vector3,vek,1,1,elements,13978138.0,ns,1106602
scalar matrix3 mul vector3,vek,1,1,elements,14960700.0,ns,1185645
scalar matrix3 mul vector3,vek,1,1,elements,15969399.0,ns,1264688
scalar matrix3 mul vector3,vek,1,1,elements,16928786.0,ns,1343731
scalar matrix3 mul vector3,vek,1,1,elements,17926994.0,ns,1422774
scalar matrix3 mul vector3,vek,1,1,elements,18928752.0,ns,1501817
scalar matrix3 mul vector3,vek,1,1,elements,19880998.0,ns,1580860
scalar matrix3 mul vector3,vek,1,1,elements,20902544.0,ns,1659903
scalar matrix3 mul vector3,vek,1,1,elements,21869132.0,ns,1738946
scalar matrix3 mul vector3,vek,1,1,elements,22876335.0,ns,1817989
scalar matrix3 mul vector3,vek,1,1,elements,23837830.0,ns,1897032
scalar matrix3 mul vector3,vek,1,1,elements,24829419.0,ns,1976075
scalar matrix3 mul vector3,vek,1,1,elements,25861249.0,ns,2055118
scalar matrix3 mul vector3,vek,1,1,elements,26822201.0,ns,2134161
scalar matrix3 mul vector3,vek,1,1,elements,27791558.0,ns,2213204
scalar matrix3 mul vector3,vek,1,1,elements,28783763.0,ns,2292247
scalar matrix3 mul vector3,vek,1,1,elements,29773368.0,ns,2371290
scalar matrix3 mul vector3,vek,1,1,elements,30742798.0,ns,2450333
scalar matrix3 mul vector3,vek,1,1,elements,31769396.0,ns,2529376
scalar matrix3 mul vector3,vek,1,1,elements,32795046.0,ns,2608419
scalar matrix3 mul vector3,vek,1,1,elements,33718037.0,ns,2687462
scalar matrix3 mul vector3,vek,1,1,elements,34701859.0,ns,2766505
scalar matrix3 mul vector3,vek,1,1,elements,35704312.0,ns,2845548
scalar matrix3 mul vector3,vek,1,1,elements,36677435.0,ns,2924591
scalar matrix3 mul vector3,vek,1,1,elements,37727523.0,ns,3003634
scalar matrix3 mul vector3,vek,1,1,elements,38721299.0,ns,3082677
scalar matrix3 mul vector3,vek,1,1,elements,39642126.0,ns,3161720
scalar matrix3 mul vector3,vek,1,1,elements,40647021.0,ns,3240763
scalar matrix3 mul vector3,vek,1,1,elements,41651875.0,ns,3319806
scalar matrix3 mul vector3,vek,1,1,elements,42733405.0,ns,3398849
scalar matrix3 mul vector3,vek,1,1,elements,43739744.0,ns,3477892
scalar matrix3 mul vector3,vek,1,1,elements,44591832.0,ns,3556935
scalar matrix3 mul vector3,vek,1,1,elements,45740889.0,ns,3635978
scalar matrix3 mul vector3,vek,1,1,elements,46590019.0,ns,3715021
scalar matrix3 mul vector3,vek,1,1,elements,47578916.0,ns,3794064
scalar matrix3 mul vector3,vek,1,1,elements,48555671.0,ns,3873107
scalar matrix3 mul vector3,vek,1,1,elements,49590499.0,ns,3952150
scalar matrix3 mul vector3,vek,1,1,elements,50528317.0,ns,4031193
scalar matrix3 mul vector3,vek,1,1,elements,51508294.0,ns,4110236
scalar matrix3 mul vector3,vek,1,1,elements,52497171.0,ns,4189279
scalar matrix3 mul vector3,vek,1,1,elements,53484627.0,ns,4268322
scalar matrix3 mul vector3,vek,1,1,elements,55979298.0,ns,4347365
scalar matrix3 mul vector3,vek,1,1,elements,57509308.0,ns,4426408
scalar matrix3 mul vector3,vek,1,1,elements,58641131.0,ns,4505451
scalar matrix3 mul vector3,vek,1,1,elements,59492002.0,ns,4584494
scalar matrix3 mul vector3,vek,1,1,elements,58461691.0,ns,4663537
scalar matrix3 mul vector3,vek,1,1,elements,59441286.0,ns,4742580
scalar matrix3 mul vector3,vek,1,1,elements,60421241.0,ns,4821623
scalar matrix3 mul vector3,vek,1,1,elements,61409101.0,ns,4900666
scalar matrix3 mul vector3,vek,1,1,elements,62585542.0,ns,4979709
scalar matrix3 mul vector3,vek,1,1,elements,63591598.0,ns,5058752
scalar matrix3 mul vector3,vek,1,1,elements,64390395.0,ns,5137795
scalar matrix3 mul vector3,vek,1,1,elements,65641959.0,ns,5216838
scalar matrix3 mul vector3,vek,1,1,elements,66362024.0,ns,5295881
scalar matrix3 mul vector3,vek,1,1,elements,67387530.0,ns,5374924
scalar matrix3 mul vector3,vek,1,1,elements,68350275.0,ns,5453967
scalar matrix3 mul vector3,vek,1,1,elements,69280920.0,ns,5533010
scalar matrix3 mul vector3,vek,1,1,elements,70355619.0,ns,5612053
scalar matrix3 mul vector3,vek,1,1,elements,71309879.0,ns,5691096
scalar matrix3 mul vector3,vek,1,1,elements,72253082.0,ns,5770139
scalar matrix3 mul vector3,vek,1,1,elements,73363953.0,ns,5849182
scalar matrix3 mul vector3,vek,1,1,elements,74311103.0,ns,5928225
scalar matrix3 mul vector3,vek,1,1,elements,75256811.0,ns,6007268
scalar matrix3 mul vector3,vek,1,1,elements,76352172.0,ns,6086311
scalar matrix3 mul vector3,vek,1,1,elements,77357487.0,ns,6165354
scalar matrix3 mul vector3,vek,1,1,elements,78252801.0,ns,6244397
scalar matrix3 mul vector3,vek,1,1,elements,79220236.0,ns,6323440
scalar matrix3 mul vector3,vek,1,1,elements,80243601.0,ns,6402483
scalar matrix3 mul vector3,vek,1,1,elements,81209520.0,ns,6481526
scalar matrix3 mul vector3,vek,1,1,elements,82157093.0,ns,6560569
scalar matrix3 mul vector3,vek,1,1,elements,83262998.0,ns,6639612
scalar matrix3 mul vector3,vek,1,1,elements,84158460.0,ns,6718655
scalar matrix3 mul vector3,vek,1,1,elements,85152044.0,ns,6797698
scalar matrix3 mul vector3,vek,1,1,elements,86177504.0,ns,6876741
scalar matrix3 mul vector3,vek,1,1,elements,87114490.0,ns,6955784
scalar matrix3 mul vector3,vek,1,1,elements,88152403.0,ns,7034827
scalar matrix3 mul vector3,vek,1,1,elements,89083271.0,ns,7113870
scalar matrix3 mul vector3,vek,1,1,elements,90145717.0,ns,7192913
scalar matrix3 mul vector3,vek,1,1,elements,91073927.0,ns,7271956
scalar matrix3 mul vector3,vek,1,1,elements,92119429.0,ns,7350999
scalar matrix3 mul vector3,vek,1,1,elements,93013538.0,ns,7430042
scalar matrix3 mul vector3,vek,1,1,elements,94043852.0,ns,7509085
scalar matrix3 mul vector3,vek,1,1,elements,95045547.0,ns,7588128
scalar matrix3 mul vector3,vek,1,1,elements,95998476.0,ns,7667171
scalar matrix3 mul vector3,vek,1,1,elements,97014422.0,ns,7746214
scalar matrix3 mul vector3,vek,1,1,elements,98110613.0,ns,7825257
scalar matrix3 mul vector3,vek,1,1,elements,99080335.0,ns,7904300
