group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 mul vector4,static-math,100,100,elements,1094157.0,ns,1256
scalar matrix4 mul vector4,static-math,100,100,elements,2091438.0,ns,2512
scalar matrix4 mul vector4,static-math,100,100,elements,3073839.0,ns,3768
scalar matrix4 mul vector4,static-math,100,100,elements,4040721.0,ns,5024
scalar matrix4 mul vector4,static-math,100,100,elements,5071618.0,ns,6280
scalar matrix4 mul vector4,static-math,100,100,elements,6057077.0,ns,7536
scalar matrix4 mul vector4,static-math,100,100,elements,7039163.0,ns,8792
scalar matrix4 mul vector4,static-math,100,100,elements,8032608.0,ns,10048
scalar matrix4 mul vector4,static-math,100,100,elements,8994581.0,ns,11304
scalar matrix4 mul vector4,static-math,100,100,elements,9982608.0,ns,12560
scalar matrix4 mul vector4,static-math,100,100,elements,11009100.0,ns,13816
scalar matrix4 mul vector4,static-math,100,100,elements,11965360.0,ns,15072
scalar matrix4 mul vector4,static-math,100,100,elements,13023287.0,ns,16328
scalar matrix4 mul vector4,static-math,100,100,elements,13960047.0,ns,17584
scalar matrix4 mul vector4,static-math,100,100,elements,14925444.0,ns,18840
scalar matrix4 mul vector4,static-math,100,100,elements,15991843.0,ns,20096
scalar matrix4 mul vector4,static-math,100,100,elements,16898228.0,ns,21352
scalar matrix4 mul vector4,static-math,100,100,elements,17964236.0,ns,22608
scalar matrix4 mul vector4,static-math,100,100,elements,18873458.0,ns,23864
scalar matrix4 mul vector4,static-math,100,100,elements,20549133.0,ns,25120
scalar matrix4 mul vector4,static-math,100,100,elements,20839014.0,ns,26376
scalar matrix4 mul vector4,static-math,100,100,elements,21867018.0,ns,27632
scalar matrix4 mul vector4,static-math,100,100,elements,23442518.0,ns,28888
scalar matrix4 mul vector4,static-math,100,100,elements,24364669.0,ns,30144
scalar matrix4 mul vector4,static-math,100,100,elements,25552507.0,ns,31400
scalar matrix4 mul vector4,static-math,100,100,elements,26535732.0,ns,32656
scalar matrix4 mul vector4,static-math,100,100,elements,26876893.0,ns,33912
scalar matrix4 mul vector4,static-math,100,100,elements,27843901.0,ns,35168
scalar matrix4 mul vector4,static-math,100,100,elements,28929508.0,ns,36424
scalar matrix4 mul vector4,static-math,100,100,elements,29932729.0,ns,37680
scalar matrix4 mul vector4,static-math,100,100,elements,30715870.0,ns,38936
scalar matrix4 mul vector4,static-math,100,100,elements,31852418.0,ns,40192
scalar matrix4 mul vector4,static-math,100,100,elements,32718702.0,ns,41448
scalar matrix4 mul vector4,static-math,100,100,elements,33725190.0,ns,42704
scalar matrix4 mul vector4,static-math,100,100,elements,34839610.0,ns,43960
scalar matrix4 mul vector4,static-math,100,100,elements,35705906.0,ns,45216
scalar matrix4 mul vector4,static-math,100,100,elements,36697514.0,ns,46472
scalar matrix4 mul vector4,static-math,100,100,elements,37812661.0,ns,47728
scalar matrix4 mul vector4,static-math,100,100,elements,38699107.0,ns,48984
scalar matrix4 mul vector4,static-math,100,100,elements,39658009.0,ns,50240
scalar matrix4 mul vector4,static-math,100,100,elements,40823941.0,ns,51496
scalar matrix4 mul vector4,static-math,100,100,elements,42903992.0,ns,52752
scalar matrix4 mul vector4,static-math,100,100,elements,43018882.0,ns,54008
scalar matrix4 mul vector4,static-math,100,100,elements,43683663.0,ns,55264
scalar matrix4 mul vector4,static-math,100,100,elements,44670339.0,ns,56520
scalar matrix4 mul vector4,static-math,100,100,elements,45821970.0,ns,57776
