group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar matrix4 transpose,cgmath,,,,1112339.0,ns,79396
scalar matrix4 transpose,cgmath,,,,2100302.0,ns,158792
scalar matrix4 transpose,cgmath,,,,3090173.0,ns,238188
scalar matrix4 transpose,cgmath,,,,4118043.0,ns,317584
scalar matrix4 transpose,cgmath,,,,5086576.0,ns,396980
scalar matrix4 transpose,cgmath,,,,6111147.0,ns,476376
scalar matrix4 transpose,cgmath,,,,7042644.0,ns,555772
scalar matrix4 transpose,cgmath,,,,8030348.0,ns,635168
scalar matrix4 transpose,cgmath,,,,9038119.0,ns,714564
scalar matrix4 transpose,cgmath,,,,10024172.0,ns,793960
scalar matrix4 transpose,cgmath,,,,10997800.0,ns,873356
scalar matrix4 transpose,cgmath,,,,12019830.0,ns,952752
scalar matrix4 transpose,cgmath,,,,13003129.0,ns,1032148
scalar matrix4 transpose,cgmath,,,,14039728.0,ns,1111544
scalar matrix4 transpose,cgmath,,,,14954217.0,ns,1190940
scalar matrix4 transpose,cgmath,,,,16161523.0,ns,1270336
scalar matrix4 transpose,cgmath,,,,17317483.0,ns,1349732
scalar matrix4 transpose,cgmath,,,,18030639.0,ns,1429128
scalar matrix4 transpose,cgmath,,,,19006643.0,ns,1508524
scalar matrix4 transpose,cgmath,,,,20034766.0,ns,1587920
scalar matrix4 transpose,cgmath,,,,20927397.0,ns,1667316
scalar matrix4 transpose,cgmath,,,,21902238.0,ns,1746712
scalar matrix4 transpose,cgmath,,,,22881562.0,ns,1826108
scalar matrix4 transpose,cgmath,,,,23926266.0,ns,1905504
scalar matrix4 transpose,cgmath,,,,24843858.0,ns,1984900
scalar matrix4 transpose,cgmath,,,,25902263.0,ns,2064296
scalar matrix4 transpose,cgmath,,,,26828993.0,ns,2143692
scalar matrix4 transpose,cgmath,,,,27862453.0,ns,2223088
scalar matrix4 transpose,cgmath,,,,28820712.0,ns,2302484
scalar matrix4 transpose,cgmath,,,,29806130.0,ns,2381880
scalar matrix4 transpose,cgmath,,,,30860183.0,ns,2461276
scalar matrix4 transpose,cgmath,,,,31813548.0,ns,2540672
scalar matrix4 transpose,cgmath,,,,32775508.0,ns,2620068
scalar matrix4 transpose,cgmath,,,,33773884.0,ns,2699464
scalar matrix4 transpose,cgmath,,,,34857494.0,ns,2778860
scalar matrix4 transpose,cgmath,,,,35854963.0,ns,2858256
scalar matrix4 transpose,cgmath,,,,36804744.0,ns,2937652
scalar matrix4 transpose,cgmath,,,,37710767.0,ns,3017048
scalar matrix4 transpose,cgmath,,,,38722935.0,ns,3096444
scalar matrix4 transpose,cgmath,,,,39748007.0,ns,3175840
scalar matrix4 transpose,cgmath,,,,40832194.0,ns,3255236
scalar matrix4 transpose,cgmath,,,,41746180.0,ns,3334632
scalar matrix4 transpose,cgmath,,,,42659417.0,ns,3414028
scalar matrix4 transpose,cgmath,,,,43691159.0,ns,3493424
scalar matrix4 transpose,cgmath,,,,44640563.0,ns,3572820
scalar matrix4 transpose,cgmath,,,,45891796.0,ns,3652216
scalar matrix4 transpose,cgmath,,,,46614512.0,ns,3731612
scalar matrix4 transpose,cgmath,,,,47649255.0,ns,3811008
scalar matrix4 transpose,cgmath,,,,48692797.0,ns,3890404
scalar matrix4 transpose,cgmath,,,,49781235.0,ns,3969800
scalar matrix4 transpose,cgmath,,,,50569415.0,ns,4049196
scalar matrix4 transpose,cgmath,,,,51610739.0,ns,4128592
scalar matrix4 transpose,cgmath,,,,52612835.0,ns,4207988
scalar matrix4 transpose,cgmath,,,,53619133.0,ns,4287384
scalar matrix4 transpose,cgmath,,,,54567740.0,ns,4366780
scalar matrix4 transpose,cgmath,,,,55570988.0,ns,4446176
scalar matrix4 transpose,cgmath,,,,56534512.0,ns,4525572
scalar matrix4 transpose,cgmath,,,,57560999.0,ns,4604968
scalar matrix4 transpose,cgmath,,,,58498937.0,ns,4684364
scalar matrix4 transpose,cgmath,,,,59529295.0,ns,4763760
scalar matrix4 transpose,cgmath,,,,60479657.0,ns,4843156
scalar matrix4 transpose,cgmath,,,,61499787.0,ns,4922552
scalar matrix4 transpose,cgmath,,,,62720082.0,ns,5001948
scalar matrix4 transpose,cgmath,,,,63510011.0,ns,5081344
scalar matrix4 transpose,cgmath,,,,64679541.0,ns,5160740
scalar matrix4 transpose,cgmath,,,,65491664.0,ns,5240136
scalar matrix4 transpose,cgmath,,,,66442933.0,ns,5319532
scalar matrix4 transpose,cgmath,,,,67434554.0,ns,5398928
scalar matrix4 transpose,cgmath,,,,68495599.0,ns,5478324
scalar matrix4 transpose,cgmath,,,,69496552.0,ns,5557720
scalar matrix4 transpose,cgmath,,,,70404832.0,ns,5637116
scalar matrix4 transpose,cgmath,,,,71459480.0,ns,5716512
scalar matrix4 transpose,cgmath,,,,72383260.0,ns,5795908
scalar matrix4 transpose,cgmath,,,,73390097.0,ns,5875304
scalar matrix4 transpose,cgmath,,,,74330444.0,ns,5954700
scalar matrix4 transpose,cgmath,,,,75376064.0,ns,6034096
scalar matrix4 transpose,cgmath,,,,76342511.0,ns,6113492
scalar matrix4 transpose,cgmath,,,,77378008.0,ns,6192888
scalar matrix4 transpose,cgmath,,,,78250762.0,ns,6272284
scalar matrix4 transpose,cgmath,,,,79332957.0,ns,6351680
scalar matrix4 transpose,cgmath,,,,80318987.0,ns,6431076
scalar matrix4 transpose,cgmath,,,,81315021.0,ns,6510472
scalar matrix4 transpose,cgmath,,,,82299309.0,ns,6589868
scalar matrix4 transpose,cgmath,,,,83239130.0,ns,6669264
scalar matrix4 transpose,cgmath,,,,84257104.0,ns,6748660
scalar matrix4 transpose,cgmath,,,,85172911.0,ns,6828056
scalar matrix4 transpose,cgmath,,,,86219866.0,ns,6907452
scalar matrix4 transpose,cgmath,,,,87232432.0,ns,6986848
scalar matrix4 transpose,cgmath,,,,88226341.0,ns,7066244
scalar matrix4 transpose,cgmath,,,,89216851.0,ns,7145640
scalar matrix4 transpose,cgmath,,,,90382865.0,ns,7225036
scalar matrix4 transpose,cgmath,,,,91196096.0,ns,7304432
scalar matrix4 transpose,cgmath,,,,92228071.0,ns,7383828
scalar matrix4 transpose,cgmath,,,,93131915.0,ns,7463224
scalar matrix4 transpose,cgmath,,,,94181895.0,ns,7542620
scalar matrix4 transpose,cgmath,,,,95471204.0,ns,7622016
scalar matrix4 transpose,cgmath,,,,96102488.0,ns,7701412
scalar matrix4 transpose,cgmath,,,,97099805.0,ns,7780808
scalar matrix4 transpose,cgmath,,,,98153152.0,ns,7860204
scalar matrix4 transpose,cgmath,,,,99243220.0,ns,7939600
