group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar ray-sphere intersection,nalgebra,10000,10000,elements,1022426.0,ns,65
scalar ray-sphere intersection,nalgebra,10000,10000,elements,2007336.0,ns,130
scalar ray-sphere intersection,nalgebra,10000,10000,elements,2982086.0,ns,195
scalar ray-sphere intersection,nalgebra,10000,10000,elements,3987760.0,ns,260
scalar ray-sphere intersection,nalgebra,10000,10000,elements,4985367.0,ns,325
scalar ray-sphere intersection,nalgebra,10000,10000,elements,5961320.0,ns,390
scalar ray-sphere intersection,nalgebra,10000,10000,elements,6994383.0,ns,455
scalar ray-sphere intersection,nalgebra,10000,10000,elements,7949553.0,ns,520
scalar ray-sphere intersection,nalgebra,10000,10000,elements,8966045.0,ns,585
scalar ray-sphere intersection,nalgebra,10000,10000,elements,9955435.0,ns,650
scalar ray-sphere intersection,nalgebra,10000,10000,elements,10955505.0,ns,715
scalar ray-sphere intersection,nalgebra,10000,10000,elements,11927148.0,ns,780
scalar ray-sphere intersection,nalgebra,10000,10000,elements,12938492.0,ns,845
scalar ray-sphere intersection,nalgebra,10000,10000,elements,13934944.0,ns,910
scalar ray-sphere intersection,nalgebra,10000,10000,elements,14924380.0,ns,975
scalar ray-sphere intersection,nalgebra,10000,10000,elements,15949626.0,ns,1040
scalar ray-sphere intersection,nalgebra,10000,10000,elements,16945794.0,ns,1105
scalar ray-sphere intersection,nalgebra,10000,10000,elements,17904770.0,ns,1170
scalar ray-sphere intersection,nalgebra,10000,10000,elements,18903992.0,ns,1235
scalar ray-sphere intersection,nalgebra,10000,10000,elements,19871991.0,ns,1300
scalar ray-sphere intersection,nalgebra,10000,10000,elements,20891586.0,ns,1365
scalar ray-sphere intersection,nalgebra,10000,10000,elements,21860485.0,ns,1430
scalar ray-sphere intersection,nalgebra,10000,10000,elements,22871344.0,ns,1495
scalar ray-sphere intersection,nalgebra,10000,10000,elements,23869517.0,ns,1560
scalar ray-sphere intersection,nalgebra,10000,10000,elements,24872549.0,ns,1625
scalar ray-sphere intersection,nalgebra,10000,10000,elements,25886552.0,ns,1690
scalar ray-sphere intersection,nalgebra,10000,10000,elements,26854218.0,ns,1755
scalar ray-sphere intersection,nalgebra,10000,10000,elements,27846561.0,ns,1820
