group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar rotation3 mul rotation3,ultraviolet,,,,1119334.0,ns,128057
scalar rotation3 mul rotation3,ultraviolet,,,,2080073.0,ns,256114
scalar rotation3 mul rotation3,ultraviolet,,,,3067451.0,ns,384171
scalar rotation3 mul rotation3,ultraviolet,,,,4321070.0,ns,512228
scalar rotation3 mul rotation3,ultraviolet,,,,5012596.0,ns,640285
scalar rotation3 mul rotation3,ultraviolet,,,,5993755.0,ns,768342
scalar rotation3 mul rotation3,ultraviolet,,,,7025689.0,ns,896399
scalar rotation3 mul rotation3,ultraviolet,,,,7934605.0,ns,1024456
scalar rotation3 mul rotation3,ultraviolet,,,,8901389.0,ns,1152513
scalar rotation3 mul rotation3,ultraviolet,,,,9914657.0,ns,1280570
scalar rotation3 mul rotation3,ultraviolet,,,,10862534.0,ns,1408627
scalar rotation3 mul rotation3,ultraviolet,,,,11840743.0,ns,1536684
scalar rotation3 mul rotation3,ultraviolet,,,,12810206.0,ns,1664741
scalar rotation3 mul rotation3,ultraviolet,,,,13789413.0,ns,1792798
scalar rotation3 mul rotation3,ultraviolet,,,,14744551.0,ns,1920855
scalar rotation3 mul rotation3,ultraviolet,,,,15746995.0,ns,2048912
scalar rotation3 mul rotation3,ultraviolet,,,,16689223.0,ns,2176969
scalar rotation3 mul rotation3,ultraviolet,,,,17699102.0,ns,2305026
scalar rotation3 mul rotation3,ultraviolet,,,,18681352.0,ns,2433083
scalar rotation3 mul rotation3,ultraviolet,,,,19633595.0,ns,2561140
scalar rotation3 mul rotation3,ultraviolet,,,,20606197.0,ns,2689197
scalar rotation3 mul rotation3,ultraviolet,,,,21583588.0,ns,2817254
scalar rotation3 mul rotation3,ultraviolet,,,,22574904.0,ns,2945311
scalar rotation3 mul rotation3,ultraviolet,,,,23513125.0,ns,3073368
scalar rotation3 mul rotation3,ultraviolet,,,,24541836.0,ns,3201425
scalar rotation3 mul rotation3,ultraviolet,,,,25476158.0,ns,3329482
scalar rotation3 mul rotation3,ultraviolet,,,,26509681.0,ns,3457539
scalar rotation3 mul rotation3,ultraviolet,,,,27483837.0,ns,3585596
scalar rotation3 mul rotation3,ultraviolet,,,,28531650.0,ns,3713653
scalar rotation3 mul rotation3,ultraviolet,,,,29405395.0,ns,3841710
scalar rotation3 mul rotation3,ultraviolet,,,,30354121.0,ns,3969767
scalar rotation3 mul rotation3,ultraviolet,,,,31315130.0,ns,4097824
scalar rotation3 mul rotation3,ultraviolet,,,,32328892.0,ns,4225881
scalar rotation3 mul rotation3,ultraviolet,,,,33329345.0,ns,4353938
scalar rotation3 mul rotation3,ultraviolet,,,,34349221.0,ns,4481995
scalar rotation3 mul rotation3,ultraviolet,,,,35230347.0,ns,4610052
scalar rotation3 mul rotation3,ultraviolet,,,,36192581.0,ns,4738109
scalar rotation3 mul rotation3,ultraviolet,,,,37287426.0,ns,4866166
scalar rotation3 mul rotation3,ultraviolet,,,,38206888.0,ns,4994223
scalar rotation3 mul rotation3,ultraviolet,,,,39207728.0,ns,5122280
scalar rotation3 mul rotation3,ultraviolet,,,,40201871.0,ns,5250337
scalar rotation3 mul rotation3,ultraviolet,,,,41082651.0,ns,5378394
scalar rotation3 mul rotation3,ultraviolet,,,,42158266.0,ns,5506451
scalar rotation3 mul rotation3,ultraviolet,,,,43108794.0,ns,5634508
scalar rotation3 mul rotation3,ultraviolet,,,,44075079.0,ns,5762565
scalar rotation3 mul rotation3,ultraviolet,,,,45021343.0,ns,5890622
scalar rotation3 mul rotation3,ultraviolet,,,,45972980.0,ns,6018679
scalar rotation3 mul rotation3,ultraviolet,,,,46967551.0,ns,6146736
scalar rotation3 mul rotation3,ultraviolet,,,,47959776.0,ns,6274793
scalar rotation3 mul rotation3,ultraviolet,,,,48880514.0,ns,6402850
scalar rotation3 mul rotation3,ultraviolet,,,,49859241.0,ns,6530907
scalar rotation3 mul rotation3,ultraviolet,,,,50916483.0,ns,6658964
scalar rotation3 mul rotation3,ultraviolet,,,,51970006.0,ns,6787021
scalar rotation3 mul rotation3,ultraviolet,,,,52794465.0,ns,6915078
scalar rotation3 mul rotation3,ultraviolet,,,,53862096.0,ns,7043135
scalar rotation3 mul rotation3,ultraviolet,,,,54813885.0,ns,7171192
scalar rotation3 mul rotation3,ultraviolet,,,,55721367.0,ns,7299249
scalar rotation3 mul rotation3,ultraviolet,,,,56689254.0,ns,7427306
scalar rotation3 mul rotation3,ultraviolet,,,,57812249.0,ns,7555363
scalar rotation3 mul rotation3,ultraviolet,,,,58688843.0,ns,7683420
scalar rotation3 mul rotation3,ultraviolet,,,,59651164.0,ns,7811477
scalar rotation3 mul rotation3,ultraviolet,,,,61025145.0,ns,7939534
scalar rotation3 mul rotation3,ultraviolet,,,,61849836.0,ns,8067591
scalar rotation3 mul rotation3,ultraviolet,,,,62537350.0,ns,8195648
scalar rotation3 mul rotation3,ultraviolet,,,,63531046.0,ns,8323705
scalar rotation3 mul rotation3,ultraviolet,,,,64588625.0,ns,8451762
scalar rotation3 mul rotation3,ultraviolet,,,,65503944.0,ns,8579819
scalar rotation3 mul rotation3,ultraviolet,,,,66442731.0,ns,8707876
scalar rotation3 mul rotation3,ultraviolet,,,,67537246.0,ns,8835933
scalar rotation3 mul rotation3,ultraviolet,,,,68479962.0,ns,8963990
scalar rotation3 mul rotation3,ultraviolet,,,,69403049.0,ns,9092047
scalar rotation3 mul rotation3,ultraviolet,,,,70490847.0,ns,9220104
scalar rotation3 mul rotation3,ultraviolet,,,,71308746.0,ns,9348161
scalar rotation3 mul rotation3,ultraviolet,,,,72343572.0,ns,9476218
scalar rotation3 mul rotation3,ultraviolet,,,,73399929.0,ns,9604275
scalar rotation3 mul rotation3,ultraviolet,,,,74415559.0,ns,9732332
scalar rotation3 mul rotation3,ultraviolet,,,,75259348.0,ns,9860389
scalar rotation3 mul rotation3,ultraviolet,,,,76279778.0,ns,9988446
scalar rotation3 mul rotation3,ultraviolet,,,,77159571.0,ns,10116503
scalar rotation3 mul rotation3,ultraviolet,,,,78230954.0,ns,10244560
scalar rotation3 mul rotation3,ultraviolet,,,,79075489.0,ns,10372617
scalar rotation3 mul rotation3,ultraviolet,,,,80186278.0,ns,10500674
scalar rotation3 mul rotation3,ultraviolet,,,,81211435.0,ns,10628731
scalar rotation3 mul rotation3,ultraviolet,,,,82149253.0,ns,10756788
scalar rotation3 mul rotation3,ultraviolet,,,,83235647.0,ns,10884845
scalar rotation3 mul rotation3,ultraviolet,,,,84027622.0,ns,11012902
scalar rotation3 mul rotation3,ultraviolet,,,,85179479.0,ns,11140959
scalar rotation3 mul rotation3,ultraviolet,,,,85980401.0,ns,11269016
scalar rotation3 mul rotation3,ultraviolet,,,,87158691.0,ns,11397073
scalar rotation3 mul rotation3,ultraviolet,,,,87938234.0,ns,11525130
scalar rotation3 mul rotation3,ultraviolet,,,,88901420.0,ns,11653187
scalar rotation3 mul rotation3,ultraviolet,,,,89875584.0,ns,11781244
scalar rotation3 mul rotation3,ultraviolet,,,,90829548.0,ns,11909301
scalar rotation3 mul rotation3,ultraviolet,,,,91990607.0,ns,12037358
scalar rotation3 mul rotation3,ultraviolet,,,,92755673.0,ns,12165415
scalar rotation3 mul rotation3,ultraviolet,,,,93854337.0,ns,12293472
scalar rotation3 mul rotation3,ultraviolet,,,,94708244.0,ns,12421529
scalar rotation3 mul rotation3,ultraviolet,,,,95904438.0,ns,12549586
scalar rotation3 mul rotation3,ultraviolet,,,,96707609.0,ns,12677643
scalar rotation3 mul rotation3,ultraviolet,,,,97756791.0,ns,12805700
