group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point2,euclid,100,100,elements,1104204.0,ns,3299
scalar transform point2,euclid,100,100,elements,2108935.0,ns,6598
scalar transform point2,euclid,100,100,elements,3096177.0,ns,9897
scalar transform point2,euclid,100,100,elements,4076901.0,ns,13196
scalar transform point2,euclid,100,100,elements,5078718.0,ns,16495
scalar transform point2,euclid,100,100,elements,6040956.0,ns,19794
scalar transform point2,euclid,100,100,elements,7132563.0,ns,23093
scalar transform point2,euclid,100,100,elements,8053656.0,ns,26392
scalar transform point2,euclid,100,100,elements,9048118.0,ns,29691
scalar transform point2,euclid,100,100,elements,9984879.0,ns,32990
scalar transform point2,euclid,100,100,elements,11020188.0,ns,36289
scalar transform point2,euclid,100,100,elements,12022325.0,ns,39588
scalar transform point2,euclid,100,100,elements,12994868.0,ns,42887
scalar transform point2,euclid,100,100,elements,14067864.0,ns,46186
scalar transform point2,euclid,100,100,elements,14972220.0,ns,49485
scalar transform point2,euclid,100,100,elements,15971309.0,ns,52784
scalar transform point2,euclid,100,100,elements,17043844.0,ns,56083
scalar transform point2,euclid,100,100,elements,17920371.0,ns,59382
scalar transform point2,euclid,100,100,elements,18902770.0,ns,62681
scalar transform point2,euclid,100,100,elements,19969342.0,ns,65980
scalar transform point2,euclid,100,100,elements,20891843.0,ns,69279
scalar transform point2,euclid,100,100,elements,21852836.0,ns,72578
scalar transform point2,euclid,100,100,elements,22848805.0,ns,75877
scalar transform point2,euclid,100,100,elements,23818770.0,ns,79176
scalar transform point2,euclid,100,100,elements,24912371.0,ns,82475
scalar transform point2,euclid,100,100,elements,25969024.0,ns,85774
scalar transform point2,euclid,100,100,elements,26863054.0,ns,89073
scalar transform point2,euclid,100,100,elements,27880198.0,ns,92372
scalar transform point2,euclid,100,100,elements,28866721.0,ns,95671
scalar transform point2,euclid,100,100,elements,29802975.0,ns,98970
scalar transform point2,euclid,100,100,elements,30842860.0,ns,102269
scalar transform point2,euclid,100,100,elements,31773069.0,ns,105568
scalar transform point2,euclid,100,100,elements,32809995.0,ns,108867
scalar transform point2,euclid,100,100,elements,33809459.0,ns,112166
scalar transform point2,euclid,100,100,elements,34762868.0,ns,115465
scalar transform point2,euclid,100,100,elements,35748142.0,ns,118764
scalar transform point2,euclid,100,100,elements,36888028.0,ns,122063
scalar transform point2,euclid,100,100,elements,37790103.0,ns,125362
scalar transform point2,euclid,100,100,elements,38938624.0,ns,128661
scalar transform point2,euclid,100,100,elements,39681718.0,ns,131960
scalar transform point2,euclid,100,100,elements,40780380.0,ns,135259
scalar transform point2,euclid,100,100,elements,41797011.0,ns,138558
scalar transform point2,euclid,100,100,elements,42650414.0,ns,141857
scalar transform point2,euclid,100,100,elements,43618927.0,ns,145156
scalar transform point2,euclid,100,100,elements,44640415.0,ns,148455
scalar transform point2,euclid,100,100,elements,45652085.0,ns,151754
scalar transform point2,euclid,100,100,elements,46700169.0,ns,155053
scalar transform point2,euclid,100,100,elements,47537417.0,ns,158352
scalar transform point2,euclid,100,100,elements,48691642.0,ns,161651
scalar transform point2,euclid,100,100,elements,49534836.0,ns,164950
scalar transform point2,euclid,100,100,elements,51264151.0,ns,168249
scalar transform point2,euclid,100,100,elements,51869009.0,ns,171548
scalar transform point2,euclid,100,100,elements,52716402.0,ns,174847
scalar transform point2,euclid,100,100,elements,53662342.0,ns,178146
scalar transform point2,euclid,100,100,elements,54438264.0,ns,181445
scalar transform point2,euclid,100,100,elements,55525324.0,ns,184744
scalar transform point2,euclid,100,100,elements,56591168.0,ns,188043
scalar transform point2,euclid,100,100,elements,57529855.0,ns,191342
scalar transform point2,euclid,100,100,elements,58471871.0,ns,194641
scalar transform point2,euclid,100,100,elements,59530547.0,ns,197940
scalar transform point2,euclid,100,100,elements,60563910.0,ns,201239
scalar transform point2,euclid,100,100,elements,61455531.0,ns,204538
scalar transform point2,euclid,100,100,elements,62496114.0,ns,207837
scalar transform point2,euclid,100,100,elements,63471404.0,ns,211136
scalar transform point2,euclid,100,100,elements,64385993.0,ns,214435
scalar transform point2,euclid,100,100,elements,65437414.0,ns,217734
scalar transform point2,euclid,100,100,elements,66442031.0,ns,221033
scalar transform point2,euclid,100,100,elements,67417849.0,ns,224332
scalar transform point2,euclid,100,100,elements,68425178.0,ns,227631
scalar transform point2,euclid,100,100,elements,69727895.0,ns,230930
scalar transform point2,euclid,100,100,elements,70741992.0,ns,234229
scalar transform point2,euclid,100,100,elements,71331143.0,ns,237528
scalar transform point2,euclid,100,100,elements,72391511.0,ns,240827
scalar transform point2,euclid,100,100,elements,73274570.0,ns,244126
scalar transform point2,euclid,100,100,elements,74376730.0,ns,247425
scalar transform point2,euclid,100,100,elements,75352977.0,ns,250724
scalar transform point2,euclid,100,100,elements,76440095.0,ns,254023
scalar transform point2,euclid,100,100,elements,77597342.0,ns,257322
scalar transform point2,euclid,100,100,elements,78676787.0,ns,260621
scalar transform point2,euclid,100,100,elements,79562823.0,ns,263920
scalar transform point2,euclid,100,100,elements,80483134.0,ns,267219
scalar transform point2,euclid,100,100,elements,81257973.0,ns,270518
scalar transform point2,euclid,100,100,elements,82208795.0,ns,273817
scalar transform point2,euclid,100,100,elements,83384896.0,ns,277116
scalar transform point2,euclid,100,100,elements,84207416.0,ns,280415
scalar transform point2,euclid,100,100,elements,85189004.0,ns,283714
scalar transform point2,euclid,100,100,elements,86253080.0,ns,287013
scalar transform point2,euclid,100,100,elements,87665126.0,ns,290312
scalar transform point2,euclid,100,100,elements,88163435.0,ns,293611
scalar transform point2,euclid,100,100,elements,89172584.0,ns,296910
scalar transform point2,euclid,100,100,elements,90217819.0,ns,300209
scalar transform point2,euclid,100,100,elements,91098185.0,ns,303508
scalar transform point2,euclid,100,100,elements,92047168.0,ns,306807
