group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform point3,vek,1,1,elements,1116528.0,ns,74916
scalar transform point3,vek,1,1,elements,2103465.0,ns,149832
scalar transform point3,vek,1,1,elements,3088231.0,ns,224748
scalar transform point3,vek,1,1,elements,4089798.0,ns,299664
scalar transform point3,vek,1,1,elements,5061704.0,ns,374580
scalar transform point3,vek,1,1,elements,6128537.0,ns,449496
scalar transform point3,vek,1,1,elements,7040954.0,ns,524412
scalar transform point3,vek,1,1,elements,8029648.0,ns,599328
scalar transform point3,vek,1,1,elements,9018856.0,ns,674244
scalar transform point3,vek,1,1,elements,10042962.0,ns,749160
scalar transform point3,vek,1,1,elements,10988316.0,ns,824076
scalar transform point3,vek,1,1,elements,11980929.0,ns,898992
scalar transform point3,vek,1,1,elements,13002963.0,ns,973908
scalar transform point3,vek,1,1,elements,13969905.0,ns,1048824
scalar transform point3,vek,1,1,elements,15002992.0,ns,1123740
scalar transform point3,vek,1,1,elements,15926838.0,ns,1198656
scalar transform point3,vek,1,1,elements,16953879.0,ns,1273572
scalar transform point3,vek,1,1,elements,17899528.0,ns,1348488
scalar transform point3,vek,1,1,elements,18909785.0,ns,1423404
scalar transform point3,vek,1,1,elements,19917582.0,ns,1498320
scalar transform point3,vek,1,1,elements,20880303.0,ns,1573236
scalar transform point3,vek,1,1,elements,21891349.0,ns,1648152
scalar transform point3,vek,1,1,elements,22836102.0,ns,1723068
scalar transform point3,vek,1,1,elements,23959838.0,ns,1797984
scalar transform point3,vek,1,1,elements,24833767.0,ns,1872900
scalar transform point3,vek,1,1,elements,25817788.0,ns,1947816
scalar transform point3,vek,1,1,elements,26788769.0,ns,2022732
scalar transform point3,vek,1,1,elements,27909335.0,ns,2097648
scalar transform point3,vek,1,1,elements,28843559.0,ns,2172564
scalar transform point3,vek,1,1,elements,29769682.0,ns,2247480
scalar transform point3,vek,1,1,elements,30917310.0,ns,2322396
scalar transform point3,vek,1,1,elements,31836545.0,ns,2397312
scalar transform point3,vek,1,1,elements,32750398.0,ns,2472228
scalar transform point3,vek,1,1,elements,33745473.0,ns,2547144
scalar transform point3,vek,1,1,elements,34736869.0,ns,2622060
scalar transform point3,vek,1,1,elements,35711727.0,ns,2696976
scalar transform point3,vek,1,1,elements,36801766.0,ns,2771892
scalar transform point3,vek,1,1,elements,37772682.0,ns,2846808
scalar transform point3,vek,1,1,elements,38656757.0,ns,2921724
scalar transform point3,vek,1,1,elements,39856849.0,ns,2996640
scalar transform point3,vek,1,1,elements,40672434.0,ns,3071556
scalar transform point3,vek,1,1,elements,41733187.0,ns,3146472
scalar transform point3,vek,1,1,elements,42695814.0,ns,3221388
scalar transform point3,vek,1,1,elements,44092474.0,ns,3296304
scalar transform point3,vek,1,1,elements,44852806.0,ns,3371220
scalar transform point3,vek,1,1,elements,45628368.0,ns,3446136
scalar transform point3,vek,1,1,elements,46613930.0,ns,3521052
scalar transform point3,vek,1,1,elements,47562987.0,ns,3595968
scalar transform point3,vek,1,1,elements,48632895.0,ns,3670884
scalar transform point3,vek,1,1,elements,49537955.0,ns,3745800
scalar transform point3,vek,1,1,elements,50692999.0,ns,3820716
scalar transform point3,vek,1,1,elements,51512282.0,ns,3895632
scalar transform point3,vek,1,1,elements,52641046.0,ns,3970548
scalar transform point3,vek,1,1,elements,53602936.0,ns,4045464
scalar transform point3,vek,1,1,elements,54631148.0,ns,4120380
scalar transform point3,vek,1,1,elements,55513506.0,ns,4195296
scalar transform point3,vek,1,1,elements,56471664.0,ns,4270212
scalar transform point3,vek,1,1,elements,57555419.0,ns,4345128
scalar transform point3,vek,1,1,elements,58423634.0,ns,4420044
scalar transform point3,vek,1,1,elements,59695524.0,ns,4494960
scalar transform point3,vek,1,1,elements,60519145.0,ns,4569876
scalar transform point3,vek,1,1,elements,61394615.0,ns,4644792
scalar transform point3,vek,1,1,elements,62708027.0,ns,4719708
scalar transform point3,vek,1,1,elements,63459013.0,ns,4794624
scalar transform point3,vek,1,1,elements,64408886.0,ns,4869540
scalar transform point3,vek,1,1,elements,65420359.0,ns,4944456
scalar transform point3,vek,1,1,elements,66468281.0,ns,5019372
scalar transform point3,vek,1,1,elements,67347396.0,ns,5094288
scalar transform point3,vek,1,1,elements,68475489.0,ns,5169204
scalar transform point3,vek,1,1,elements,69351352.0,ns,5244120
scalar transform point3,vek,1,1,elements,70364812.0,ns,5319036
scalar transform point3,vek,1,1,elements,71396501.0,ns,5393952
