group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector2,glam,1,1,elements,1115447.0,ns,398051
scalar transform vector2,glam,1,1,elements,2132704.0,ns,796102
scalar transform vector2,glam,1,1,elements,3170767.0,ns,1194153
scalar transform vector2,glam,1,1,elements,4233194.0,ns,1592204
scalar transform vector2,glam,1,1,elements,5268991.0,ns,1990255
scalar transform vector2,glam,1,1,elements,6219920.0,ns,2388306
scalar transform vector2,glam,1,1,elements,7237394.0,ns,2786357
scalar transform vector2,glam,1,1,elements,8054455.0,ns,3184408
scalar transform vector2,glam,1,1,elements,9015484.0,ns,3582459
scalar transform vector2,glam,1,1,elements,10029122.0,ns,3980510
scalar transform vector2,glam,1,1,elements,11059663.0,ns,4378561
scalar transform vector2,glam,1,1,elements,12057220.0,ns,4776612
scalar transform vector2,glam,1,1,elements,13034954.0,ns,5174663
scalar transform vector2,glam,1,1,elements,14035391.0,ns,5572714
scalar transform vector2,glam,1,1,elements,14987241.0,ns,5970765
scalar transform vector2,glam,1,1,elements,15954261.0,ns,6368816
scalar transform vector2,glam,1,1,elements,16943497.0,ns,6766867
scalar transform vector2,glam,1,1,elements,18033576.0,ns,7164918
scalar transform vector2,glam,1,1,elements,18928550.0,ns,7562969
scalar transform vector2,glam,1,1,elements,19925441.0,ns,7961020
scalar transform vector2,glam,1,1,elements,20894644.0,ns,8359071
scalar transform vector2,glam,1,1,elements,21949910.0,ns,8757122
scalar transform vector2,glam,1,1,elements,22980065.0,ns,9155173
scalar transform vector2,glam,1,1,elements,23966572.0,ns,9553224
scalar transform vector2,glam,1,1,elements,24949843.0,ns,9951275
scalar transform vector2,glam,1,1,elements,25875622.0,ns,10349326
scalar transform vector2,glam,1,1,elements,26887092.0,ns,10747377
scalar transform vector2,glam,1,1,elements,27810872.0,ns,11145428
scalar transform vector2,glam,1,1,elements,28837460.0,ns,11543479
scalar transform vector2,glam,1,1,elements,29828694.0,ns,11941530
scalar transform vector2,glam,1,1,elements,30797931.0,ns,12339581
scalar transform vector2,glam,1,1,elements,31866231.0,ns,12737632
scalar transform vector2,glam,1,1,elements,32814087.0,ns,13135683
scalar transform vector2,glam,1,1,elements,33758030.0,ns,13533734
scalar transform vector2,glam,1,1,elements,34750187.0,ns,13931785
scalar transform vector2,glam,1,1,elements,36066289.0,ns,14329836
scalar transform vector2,glam,1,1,elements,36807370.0,ns,14727887
scalar transform vector2,glam,1,1,elements,37710282.0,ns,15125938
scalar transform vector2,glam,1,1,elements,38812530.0,ns,15523989
scalar transform vector2,glam,1,1,elements,39710503.0,ns,15922040
scalar transform vector2,glam,1,1,elements,40695778.0,ns,16320091
scalar transform vector2,glam,1,1,elements,41746725.0,ns,16718142
scalar transform vector2,glam,1,1,elements,42670005.0,ns,17116193
scalar transform vector2,glam,1,1,elements,43764582.0,ns,17514244
scalar transform vector2,glam,1,1,elements,44651002.0,ns,17912295
scalar transform vector2,glam,1,1,elements,45707774.0,ns,18310346
scalar transform vector2,glam,1,1,elements,46998988.0,ns,18708397
scalar transform vector2,glam,1,1,elements,47779672.0,ns,19106448
scalar transform vector2,glam,1,1,elements,48631696.0,ns,19504499
scalar transform vector2,glam,1,1,elements,49656081.0,ns,19902550
scalar transform vector2,glam,1,1,elements,50676311.0,ns,20300601
scalar transform vector2,glam,1,1,elements,51647912.0,ns,20698652
scalar transform vector2,glam,1,1,elements,52555803.0,ns,21096703
scalar transform vector2,glam,1,1,elements,53562813.0,ns,21494754
scalar transform vector2,glam,1,1,elements,54591817.0,ns,21892805
scalar transform vector2,glam,1,1,elements,55581605.0,ns,22290856
scalar transform vector2,glam,1,1,elements,56571376.0,ns,22688907
scalar transform vector2,glam,1,1,elements,57575968.0,ns,23086958
scalar transform vector2,glam,1,1,elements,58816879.0,ns,23485009
scalar transform vector2,glam,1,1,elements,59559503.0,ns,23883060
scalar transform vector2,glam,1,1,elements,60498984.0,ns,24281111
scalar transform vector2,glam,1,1,elements,61742403.0,ns,24679162
scalar transform vector2,glam,1,1,elements,62497055.0,ns,25077213
scalar transform vector2,glam,1,1,elements,63533120.0,ns,25475264
scalar transform vector2,glam,1,1,elements,64473360.0,ns,25873315
scalar transform vector2,glam,1,1,elements,65503986.0,ns,26271366
scalar transform vector2,glam,1,1,elements,66455202.0,ns,26669417
scalar transform vector2,glam,1,1,elements,67459258.0,ns,27067468
scalar transform vector2,glam,1,1,elements,68443607.0,ns,27465519
scalar transform vector2,glam,1,1,elements,69410860.0,ns,27863570
scalar transform vector2,glam,1,1,elements,70461525.0,ns,28261621
scalar transform vector2,glam,1,1,elements,71373201.0,ns,28659672
scalar transform vector2,glam,1,1,elements,72422861.0,ns,29057723
scalar transform vector2,glam,1,1,elements,73689553.0,ns,29455774
scalar transform vector2,glam,1,1,elements,74335688.0,ns,29853825
scalar transform vector2,glam,1,1,elements,75378243.0,ns,30251876
scalar transform vector2,glam,1,1,elements,76393419.0,ns,30649927
