group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector2,vek,1,1,elements,1120889.0,ns,83032
scalar transform vector2,vek,1,1,elements,2098968.0,ns,166064
scalar transform vector2,vek,1,1,elements,3089841.0,ns,249096
scalar transform vector2,vek,1,1,elements,4109818.0,ns,332128
scalar transform vector2,vek,1,1,elements,5067144.0,ns,415160
scalar transform vector2,vek,1,1,elements,6053248.0,ns,498192
scalar transform vector2,vek,1,1,elements,7063141.0,ns,581224
scalar transform vector2,vek,1,1,elements,8050530.0,ns,664256
scalar transform vector2,vek,1,1,elements,9022618.0,ns,747288
scalar transform vector2,vek,1,1,elements,10046792.0,ns,830320
scalar transform vector2,vek,1,1,elements,11017521.0,ns,913352
scalar transform vector2,vek,1,1,elements,11978888.0,ns,996384
scalar transform vector2,vek,1,1,elements,12967382.0,ns,1079416
scalar transform vector2,vek,1,1,elements,13997481.0,ns,1162448
scalar transform vector2,vek,1,1,elements,14942589.0,ns,1245480
scalar transform vector2,vek,1,1,elements,15937470.0,ns,1328512
scalar transform vector2,vek,1,1,elements,16920337.0,ns,1411544
scalar transform vector2,vek,1,1,elements,17925874.0,ns,1494576
scalar transform vector2,vek,1,1,elements,18915145.0,ns,1577608
scalar transform vector2,vek,1,1,elements,19889334.0,ns,1660640
scalar transform vector2,vek,1,1,elements,20868553.0,ns,1743672
scalar transform vector2,vek,1,1,elements,21905746.0,ns,1826704
scalar transform vector2,vek,1,1,elements,22868378.0,ns,1909736
scalar transform vector2,vek,1,1,elements,23880887.0,ns,1992768
scalar transform vector2,vek,1,1,elements,24858188.0,ns,2075800
scalar transform vector2,vek,1,1,elements,25817461.0,ns,2158832
scalar transform vector2,vek,1,1,elements,26820789.0,ns,2241864
scalar transform vector2,vek,1,1,elements,27782582.0,ns,2324896
scalar transform vector2,vek,1,1,elements,28777395.0,ns,2407928
scalar transform vector2,vek,1,1,elements,29801109.0,ns,2490960
scalar transform vector2,vek,1,1,elements,30775792.0,ns,2573992
scalar transform vector2,vek,1,1,elements,31761771.0,ns,2657024
scalar transform vector2,vek,1,1,elements,32765693.0,ns,2740056
scalar transform vector2,vek,1,1,elements,33716644.0,ns,2823088
scalar transform vector2,vek,1,1,elements,34727265.0,ns,2906120
scalar transform vector2,vek,1,1,elements,35902309.0,ns,2989152
scalar transform vector2,vek,1,1,elements,37556281.0,ns,3072184
scalar transform vector2,vek,1,1,elements,37962063.0,ns,3155216
scalar transform vector2,vek,1,1,elements,38710819.0,ns,3238248
scalar transform vector2,vek,1,1,elements,39692946.0,ns,3321280
scalar transform vector2,vek,1,1,elements,40671152.0,ns,3404312
scalar transform vector2,vek,1,1,elements,41698623.0,ns,3487344
scalar transform vector2,vek,1,1,elements,42637816.0,ns,3570376
scalar transform vector2,vek,1,1,elements,43663278.0,ns,3653408
scalar transform vector2,vek,1,1,elements,44601000.0,ns,3736440
scalar transform vector2,vek,1,1,elements,45633267.0,ns,3819472
scalar transform vector2,vek,1,1,elements,46618321.0,ns,3902504
scalar transform vector2,vek,1,1,elements,47564680.0,ns,3985536
