group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform vector3,glam,100,100,elements,1218935.0,ns,1645
scalar transform vector3,glam,100,100,elements,2156335.0,ns,3290
scalar transform vector3,glam,100,100,elements,3161081.0,ns,4935
scalar transform vector3,glam,100,100,elements,4145750.0,ns,6580
scalar transform vector3,glam,100,100,elements,5116927.0,ns,8225
scalar transform vector3,glam,100,100,elements,6106774.0,ns,9870
scalar transform vector3,glam,100,100,elements,7127497.0,ns,11515
scalar transform vector3,glam,100,100,elements,8114700.0,ns,13160
scalar transform vector3,glam,100,100,elements,9072047.0,ns,14805
scalar transform vector3,glam,100,100,elements,10075034.0,ns,16450
scalar transform vector3,glam,100,100,elements,11102073.0,ns,18095
scalar transform vector3,glam,100,100,elements,12075537.0,ns,19740
scalar transform vector3,glam,100,100,elements,13049656.0,ns,21385
scalar transform vector3,glam,100,100,elements,14002586.0,ns,23030
scalar transform vector3,glam,100,100,elements,15018758.0,ns,24675
scalar transform vector3,glam,100,100,elements,16026779.0,ns,26320
scalar transform vector3,glam,100,100,elements,16918356.0,ns,27965
scalar transform vector3,glam,100,100,elements,18025411.0,ns,29610
scalar transform vector3,glam,100,100,elements,19040218.0,ns,31255
scalar transform vector3,glam,100,100,elements,19879434.0,ns,32900
scalar transform vector3,glam,100,100,elements,20960287.0,ns,34545
scalar transform vector3,glam,100,100,elements,21895541.0,ns,36190
scalar transform vector3,glam,100,100,elements,22949657.0,ns,37835
scalar transform vector3,glam,100,100,elements,23921324.0,ns,39480
scalar transform vector3,glam,100,100,elements,24866078.0,ns,41125
scalar transform vector3,glam,100,100,elements,25861695.0,ns,42770
scalar transform vector3,glam,100,100,elements,26890053.0,ns,44415
scalar transform vector3,glam,100,100,elements,27871588.0,ns,46060
scalar transform vector3,glam,100,100,elements,28776813.0,ns,47705
scalar transform vector3,glam,100,100,elements,29957547.0,ns,49350
scalar transform vector3,glam,100,100,elements,30939023.0,ns,50995
scalar transform vector3,glam,100,100,elements,31720698.0,ns,52640
scalar transform vector3,glam,100,100,elements,32998894.0,ns,54285
scalar transform vector3,glam,100,100,elements,33964253.0,ns,55930
scalar transform vector3,glam,100,100,elements,34939949.0,ns,57575
scalar transform vector3,glam,100,100,elements,35946002.0,ns,59220
scalar transform vector3,glam,100,100,elements,36847892.0,ns,60865
scalar transform vector3,glam,100,100,elements,37983688.0,ns,62510
scalar transform vector3,glam,100,100,elements,38985215.0,ns,64155
scalar transform vector3,glam,100,100,elements,40275605.0,ns,65800
scalar transform vector3,glam,100,100,elements,40898078.0,ns,67445
scalar transform vector3,glam,100,100,elements,41848635.0,ns,69090
scalar transform vector3,glam,100,100,elements,42944371.0,ns,70735
scalar transform vector3,glam,100,100,elements,43855846.0,ns,72380
scalar transform vector3,glam,100,100,elements,44858536.0,ns,74025
scalar transform vector3,glam,100,100,elements,45887837.0,ns,75670
scalar transform vector3,glam,100,100,elements,46875788.0,ns,77315
scalar transform vector3,glam,100,100,elements,47792218.0,ns,78960
scalar transform vector3,glam,100,100,elements,48799276.0,ns,80605
scalar transform vector3,glam,100,100,elements,49889736.0,ns,82250
scalar transform vector3,glam,100,100,elements,50762412.0,ns,83895
scalar transform vector3,glam,100,100,elements,51844968.0,ns,85540
scalar transform vector3,glam,100,100,elements,53168017.0,ns,87185
scalar transform vector3,glam,100,100,elements,53495432.0,ns,88830
scalar transform vector3,glam,100,100,elements,54559905.0,ns,90475
scalar transform vector3,glam,100,100,elements,55591376.0,ns,92120
scalar transform vector3,glam,100,100,elements,56541864.0,ns,93765
scalar transform vector3,glam,100,100,elements,57524176.0,ns,95410
scalar transform vector3,glam,100,100,elements,58593292.0,ns,97055
scalar transform vector3,glam,100,100,elements,59664410.0,ns,98700
scalar transform vector3,glam,100,100,elements,60440928.0,ns,100345
scalar transform vector3,glam,100,100,elements,61482988.0,ns,101990
scalar transform vector3,glam,100,100,elements,62383182.0,ns,103635
scalar transform vector3,glam,100,100,elements,63484990.0,ns,105280
scalar transform vector3,glam,100,100,elements,64404785.0,ns,106925
scalar transform vector3,glam,100,100,elements,65944080.0,ns,108570
scalar transform vector3,glam,100,100,elements,66498732.0,ns,110215
scalar transform vector3,glam,100,100,elements,67490211.0,ns,111860
scalar transform vector3,glam,100,100,elements,68400973.0,ns,113505
scalar transform vector3,glam,100,100,elements,69281963.0,ns,115150
scalar transform vector3,glam,100,100,elements,70405390.0,ns,116795
scalar transform vector3,glam,100,100,elements,71516480.0,ns,118440
scalar transform vector3,glam,100,100,elements,72410201.0,ns,120085
scalar transform vector3,glam,100,100,elements,73493593.0,ns,121730
scalar transform vector3,glam,100,100,elements,74272706.0,ns,123375
scalar transform vector3,glam,100,100,elements,75258267.0,ns,125020
scalar transform vector3,glam,100,100,elements,76240967.0,ns,126665
scalar transform vector3,glam,100,100,elements,77386414.0,ns,128310
scalar transform vector3,glam,100,100,elements,78264301.0,ns,129955
scalar transform vector3,glam,100,100,elements,79486674.0,ns,131600
scalar transform vector3,glam,100,100,elements,80354565.0,ns,133245
scalar transform vector3,glam,100,100,elements,81336710.0,ns,134890
scalar transform vector3,glam,100,100,elements,82292552.0,ns,136535
scalar transform vector3,glam,100,100,elements,83430555.0,ns,138180
scalar transform vector3,glam,100,100,elements,84170137.0,ns,139825
scalar transform vector3,glam,100,100,elements,85411805.0,ns,141470
scalar transform vector3,glam,100,100,elements,86112068.0,ns,143115
scalar transform vector3,glam,100,100,elements,87339554.0,ns,144760
scalar transform vector3,glam,100,100,elements,88223672.0,ns,146405
scalar transform vector3,glam,100,100,elements,89201580.0,ns,148050
scalar transform vector3,glam,100,100,elements,90224032.0,ns,149695
scalar transform vector3,glam,100,100,elements,91238744.0,ns,151340
scalar transform vector3,glam,100,100,elements,92249246.0,ns,152985
scalar transform vector3,glam,100,100,elements,92982611.0,ns,154630
scalar transform vector3,glam,100,100,elements,94161727.0,ns,156275
