group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform2 inverse,nalgebra,,,,1136377.0,ns,82629
scalar transform2 inverse,nalgebra,,,,2143878.0,ns,165258
scalar transform2 inverse,nalgebra,,,,3172893.0,ns,247887
scalar transform2 inverse,nalgebra,,,,4196075.0,ns,330516
scalar transform2 inverse,nalgebra,,,,5172976.0,ns,413145
scalar transform2 inverse,nalgebra,,,,6177661.0,ns,495774
scalar transform2 inverse,nalgebra,,,,7211405.0,ns,578403
scalar transform2 inverse,nalgebra,,,,8196954.0,ns,661032
scalar transform2 inverse,nalgebra,,,,9207468.0,ns,743661
scalar transform2 inverse,nalgebra,,,,10238039.0,ns,826290
scalar transform2 inverse,nalgebra,,,,11228476.0,ns,908919
scalar transform2 inverse,nalgebra,,,,12258051.0,ns,991548
scalar transform2 inverse,nalgebra,,,,13268339.0,ns,1074177
scalar transform2 inverse,nalgebra,,,,14316980.0,ns,1156806
scalar transform2 inverse,nalgebra,,,,15265570.0,ns,1239435
scalar transform2 inverse,nalgebra,,,,16294462.0,ns,1322064
scalar transform2 inverse,nalgebra,,,,17279127.0,ns,1404693
scalar transform2 inverse,nalgebra,,,,18316001.0,ns,1487322
scalar transform2 inverse,nalgebra,,,,19343967.0,ns,1569951
scalar transform2 inverse,nalgebra,,,,20347927.0,ns,1652580
scalar transform2 inverse,nalgebra,,,,21315113.0,ns,1735209
scalar transform2 inverse,nalgebra,,,,22369623.0,ns,1817838
scalar transform2 inverse,nalgebra,,,,23359023.0,ns,1900467
scalar transform2 inverse,nalgebra,,,,24372203.0,ns,1983096
scalar transform2 inverse,nalgebra,,,,25372747.0,ns,2065725
scalar transform2 inverse,nalgebra,,,,26476485.0,ns,2148354
scalar transform2 inverse,nalgebra,,,,27390327.0,ns,2230983
scalar transform2 inverse,nalgebra,,,,28472410.0,ns,2313612
scalar transform2 inverse,nalgebra,,,,29407538.0,ns,2396241
scalar transform2 inverse,nalgebra,,,,30424279.0,ns,2478870
scalar transform2 inverse,nalgebra,,,,31494394.0,ns,2561499
scalar transform2 inverse,nalgebra,,,,32471681.0,ns,2644128
scalar transform2 inverse,nalgebra,,,,33495262.0,ns,2726757
scalar transform2 inverse,nalgebra,,,,34485944.0,ns,2809386
scalar transform2 inverse,nalgebra,,,,35467101.0,ns,2892015
scalar transform2 inverse,nalgebra,,,,36515928.0,ns,2974644
scalar transform2 inverse,nalgebra,,,,37506098.0,ns,3057273
scalar transform2 inverse,nalgebra,,,,38579572.0,ns,3139902
scalar transform2 inverse,nalgebra,,,,39572749.0,ns,3222531
scalar transform2 inverse,nalgebra,,,,40555860.0,ns,3305160
scalar transform2 inverse,nalgebra,,,,41618931.0,ns,3387789
scalar transform2 inverse,nalgebra,,,,42686032.0,ns,3470418
scalar transform2 inverse,nalgebra,,,,43603057.0,ns,3553047
scalar transform2 inverse,nalgebra,,,,44584302.0,ns,3635676
scalar transform2 inverse,nalgebra,,,,45560751.0,ns,3718305
scalar transform2 inverse,nalgebra,,,,46633326.0,ns,3800934
scalar transform2 inverse,nalgebra,,,,47590959.0,ns,3883563
scalar transform2 inverse,nalgebra,,,,48645484.0,ns,3966192
scalar transform2 inverse,nalgebra,,,,49660566.0,ns,4048821
scalar transform2 inverse,nalgebra,,,,50671267.0,ns,4131450
scalar transform2 inverse,nalgebra,,,,51645849.0,ns,4214079
scalar transform2 inverse,nalgebra,,,,52705889.0,ns,4296708
scalar transform2 inverse,nalgebra,,,,53729841.0,ns,4379337
scalar transform2 inverse,nalgebra,,,,54715645.0,ns,4461966
scalar transform2 inverse,nalgebra,,,,55731776.0,ns,4544595
scalar transform2 inverse,nalgebra,,,,56683432.0,ns,4627224
scalar transform2 inverse,nalgebra,,,,57845455.0,ns,4709853
scalar transform2 inverse,nalgebra,,,,58776745.0,ns,4792482
scalar transform2 inverse,nalgebra,,,,59811258.0,ns,4875111
scalar transform2 inverse,nalgebra,,,,60772381.0,ns,4957740
scalar transform2 inverse,nalgebra,,,,61938021.0,ns,5040369
scalar transform2 inverse,nalgebra,,,,62800978.0,ns,5122998
scalar transform2 inverse,nalgebra,,,,63747644.0,ns,5205627
scalar transform2 inverse,nalgebra,,,,64972742.0,ns,5288256
scalar transform2 inverse,nalgebra,,,,65809664.0,ns,5370885
scalar transform2 inverse,nalgebra,,,,66814370.0,ns,5453514
scalar transform2 inverse,nalgebra,,,,67837150.0,ns,5536143
scalar transform2 inverse,nalgebra,,,,68854326.0,ns,5618772
scalar transform2 inverse,nalgebra,,,,69808282.0,ns,5701401
scalar transform2 inverse,nalgebra,,,,70960145.0,ns,5784030
scalar transform2 inverse,nalgebra,,,,71900015.0,ns,5866659
scalar transform2 inverse,nalgebra,,,,72858222.0,ns,5949288
scalar transform2 inverse,nalgebra,,,,74544119.0,ns,6031917
scalar transform2 inverse,nalgebra,,,,75080390.0,ns,6114546
scalar transform2 inverse,nalgebra,,,,75969166.0,ns,6197175
scalar transform2 inverse,nalgebra,,,,77063484.0,ns,6279804
scalar transform2 inverse,nalgebra,,,,77988313.0,ns,6362433
scalar transform2 inverse,nalgebra,,,,78951107.0,ns,6445062
scalar transform2 inverse,nalgebra,,,,79910827.0,ns,6527691
scalar transform2 inverse,nalgebra,,,,81096750.0,ns,6610320
scalar transform2 inverse,nalgebra,,,,81966359.0,ns,6692949
scalar transform2 inverse,nalgebra,,,,82946346.0,ns,6775578
scalar transform2 inverse,nalgebra,,,,84023484.0,ns,6858207
scalar transform2 inverse,nalgebra,,,,85001326.0,ns,6940836
scalar transform2 inverse,nalgebra,,,,86004410.0,ns,7023465
scalar transform2 inverse,nalgebra,,,,87049059.0,ns,7106094
scalar transform2 inverse,nalgebra,,,,88030952.0,ns,7188723
scalar transform2 inverse,nalgebra,,,,89144397.0,ns,7271352
scalar transform2 inverse,nalgebra,,,,90006777.0,ns,7353981
scalar transform2 inverse,nalgebra,,,,91067372.0,ns,7436610
scalar transform2 inverse,nalgebra,,,,92037885.0,ns,7519239
scalar transform2 inverse,nalgebra,,,,93281505.0,ns,7601868
scalar transform2 inverse,nalgebra,,,,94076930.0,ns,7684497
scalar transform2 inverse,nalgebra,,,,95110413.0,ns,7767126
scalar transform2 inverse,nalgebra,,,,96138921.0,ns,7849755
scalar transform2 inverse,nalgebra,,,,98100718.0,ns,7932384
scalar transform2 inverse,nalgebra,,,,98185527.0,ns,8015013
scalar transform2 inverse,nalgebra,,,,99180195.0,ns,8097642
