group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform2 return self,euclid,,,,1397842.0,ns,232588
scalar transform2 return self,euclid,,,,2181741.0,ns,465176
scalar transform2 return self,euclid,,,,3116631.0,ns,697764
scalar transform2 return self,euclid,,,,4122997.0,ns,930352
scalar transform2 return self,euclid,,,,5082113.0,ns,1162940
scalar transform2 return self,euclid,,,,6067477.0,ns,1395528
scalar transform2 return self,euclid,,,,7082714.0,ns,1628116
scalar transform2 return self,euclid,,,,8073019.0,ns,1860704
scalar transform2 return self,euclid,,,,9044980.0,ns,2093292
scalar transform2 return self,euclid,,,,10055697.0,ns,2325880
scalar transform2 return self,euclid,,,,11022307.0,ns,2558468
scalar transform2 return self,euclid,,,,12011503.0,ns,2791056
scalar transform2 return self,euclid,,,,13005620.0,ns,3023644
scalar transform2 return self,euclid,,,,14102533.0,ns,3256232
scalar transform2 return self,euclid,,,,15046809.0,ns,3488820
scalar transform2 return self,euclid,,,,16098871.0,ns,3721408
scalar transform2 return self,euclid,,,,16967356.0,ns,3953996
scalar transform2 return self,euclid,,,,17978469.0,ns,4186584
scalar transform2 return self,euclid,,,,18970726.0,ns,4419172
scalar transform2 return self,euclid,,,,20010357.0,ns,4651760
scalar transform2 return self,euclid,,,,20971029.0,ns,4884348
scalar transform2 return self,euclid,,,,21941112.0,ns,5116936
scalar transform2 return self,euclid,,,,22934136.0,ns,5349524
scalar transform2 return self,euclid,,,,23932358.0,ns,5582112
scalar transform2 return self,euclid,,,,24959398.0,ns,5814700
scalar transform2 return self,euclid,,,,25908039.0,ns,6047288
scalar transform2 return self,euclid,,,,26893455.0,ns,6279876
scalar transform2 return self,euclid,,,,27902061.0,ns,6512464
scalar transform2 return self,euclid,,,,28916108.0,ns,6745052
scalar transform2 return self,euclid,,,,29863978.0,ns,6977640
scalar transform2 return self,euclid,,,,30872173.0,ns,7210228
scalar transform2 return self,euclid,,,,31908449.0,ns,7442816
scalar transform2 return self,euclid,,,,32839164.0,ns,7675404
scalar transform2 return self,euclid,,,,33834168.0,ns,7907992
scalar transform2 return self,euclid,,,,34885195.0,ns,8140580
scalar transform2 return self,euclid,,,,35831422.0,ns,8373168
scalar transform2 return self,euclid,,,,36807572.0,ns,8605756
scalar transform2 return self,euclid,,,,37857169.0,ns,8838344
scalar transform2 return self,euclid,,,,38804382.0,ns,9070932
scalar transform2 return self,euclid,,,,39926029.0,ns,9303520
scalar transform2 return self,euclid,,,,40806463.0,ns,9536108
scalar transform2 return self,euclid,,,,41826620.0,ns,9768696
scalar transform2 return self,euclid,,,,42858999.0,ns,10001284
scalar transform2 return self,euclid,,,,43773261.0,ns,10233872
scalar transform2 return self,euclid,,,,44788941.0,ns,10466460
scalar transform2 return self,euclid,,,,45721218.0,ns,10699048
scalar transform2 return self,euclid,,,,46816130.0,ns,10931636
scalar transform2 return self,euclid,,,,47707627.0,ns,11164224
scalar transform2 return self,euclid,,,,48774216.0,ns,11396812
scalar transform2 return self,euclid,,,,49706372.0,ns,11629400
scalar transform2 return self,euclid,,,,50844496.0,ns,11861988
scalar transform2 return self,euclid,,,,51691839.0,ns,12094576
scalar transform2 return self,euclid,,,,52715327.0,ns,12327164
scalar transform2 return self,euclid,,,,53668374.0,ns,12559752
scalar transform2 return self,euclid,,,,54748983.0,ns,12792340
scalar transform2 return self,euclid,,,,55654001.0,ns,13024928
scalar transform2 return self,euclid,,,,56695101.0,ns,13257516
scalar transform2 return self,euclid,,,,57614663.0,ns,13490104
scalar transform2 return self,euclid,,,,58694346.0,ns,13722692
scalar transform2 return self,euclid,,,,59682625.0,ns,13955280
scalar transform2 return self,euclid,,,,60594924.0,ns,14187868
scalar transform2 return self,euclid,,,,61846284.0,ns,14420456
scalar transform2 return self,euclid,,,,62657216.0,ns,14653044
scalar transform2 return self,euclid,,,,63611371.0,ns,14885632
scalar transform2 return self,euclid,,,,64727268.0,ns,15118220
scalar transform2 return self,euclid,,,,65577966.0,ns,15350808
scalar transform2 return self,euclid,,,,66605855.0,ns,15583396
scalar transform2 return self,euclid,,,,67559968.0,ns,15815984
scalar transform2 return self,euclid,,,,68531142.0,ns,16048572
scalar transform2 return self,euclid,,,,69568089.0,ns,16281160
scalar transform2 return self,euclid,,,,70607229.0,ns,16513748
scalar transform2 return self,euclid,,,,71533146.0,ns,16746336
scalar transform2 return self,euclid,,,,72509400.0,ns,16978924
scalar transform2 return self,euclid,,,,73525989.0,ns,17211512
scalar transform2 return self,euclid,,,,74543913.0,ns,17444100
scalar transform2 return self,euclid,,,,75513718.0,ns,17676688
scalar transform2 return self,euclid,,,,76660557.0,ns,17909276
scalar transform2 return self,euclid,,,,77484703.0,ns,18141864
scalar transform2 return self,euclid,,,,78502528.0,ns,18374452
scalar transform2 return self,euclid,,,,79502810.0,ns,18607040
scalar transform2 return self,euclid,,,,80444115.0,ns,18839628
scalar transform2 return self,euclid,,,,81456501.0,ns,19072216
scalar transform2 return self,euclid,,,,82446454.0,ns,19304804
scalar transform2 return self,euclid,,,,83493039.0,ns,19537392
scalar transform2 return self,euclid,,,,84464480.0,ns,19769980
scalar transform2 return self,euclid,,,,85418143.0,ns,20002568
scalar transform2 return self,euclid,,,,86470075.0,ns,20235156
scalar transform2 return self,euclid,,,,87389805.0,ns,20467744
scalar transform2 return self,euclid,,,,88406316.0,ns,20700332
scalar transform2 return self,euclid,,,,89385773.0,ns,20932920
scalar transform2 return self,euclid,,,,90393596.0,ns,21165508
scalar transform2 return self,euclid,,,,91382171.0,ns,21398096
scalar transform2 return self,euclid,,,,92393145.0,ns,21630684
scalar transform2 return self,euclid,,,,93343635.0,ns,21863272
scalar transform2 return self,euclid,,,,94363727.0,ns,22095860
scalar transform2 return self,euclid,,,,95337027.0,ns,22328448
scalar transform2 return self,euclid,,,,96311306.0,ns,22561036
scalar transform2 return self,euclid,,,,97395864.0,ns,22793624
scalar transform2 return self,euclid,,,,98388425.0,ns,23026212
scalar transform2 return self,euclid,,,,102243304.0,ns,23258800
