group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform2 return self,nalgebra,,,,1113899.0,ns,182524
scalar transform2 return self,nalgebra,,,,2101760.0,ns,365048
scalar transform2 return self,nalgebra,,,,3089860.0,ns,547572
scalar transform2 return self,nalgebra,,,,4133978.0,ns,730096
scalar transform2 return self,nalgebra,,,,5065514.0,ns,912620
scalar transform2 return self,nalgebra,,,,6054656.0,ns,1095144
scalar transform2 return self,nalgebra,,,,7064089.0,ns,1277668
scalar transform2 return self,nalgebra,,,,8050051.0,ns,1460192
scalar transform2 return self,nalgebra,,,,9019165.0,ns,1642716
scalar transform2 return self,nalgebra,,,,10029426.0,ns,1825240
scalar transform2 return self,nalgebra,,,,11020135.0,ns,2007764
scalar transform2 return self,nalgebra,,,,11984583.0,ns,2190288
scalar transform2 return self,nalgebra,,,,12974275.0,ns,2372812
scalar transform2 return self,nalgebra,,,,14048786.0,ns,2555336
scalar transform2 return self,nalgebra,,,,14969594.0,ns,2737860
scalar transform2 return self,nalgebra,,,,15979201.0,ns,2920384
scalar transform2 return self,nalgebra,,,,16927118.0,ns,3102908
scalar transform2 return self,nalgebra,,,,18029005.0,ns,3285432
scalar transform2 return self,nalgebra,,,,18972860.0,ns,3467956
scalar transform2 return self,nalgebra,,,,19960182.0,ns,3650480
scalar transform2 return self,nalgebra,,,,20902570.0,ns,3833004
scalar transform2 return self,nalgebra,,,,21866763.0,ns,4015528
scalar transform2 return self,nalgebra,,,,22893665.0,ns,4198052
scalar transform2 return self,nalgebra,,,,23909495.0,ns,4380576
scalar transform2 return self,nalgebra,,,,24852575.0,ns,4563100
scalar transform2 return self,nalgebra,,,,25821141.0,ns,4745624
scalar transform2 return self,nalgebra,,,,26829903.0,ns,4928148
scalar transform2 return self,nalgebra,,,,27861504.0,ns,5110672
scalar transform2 return self,nalgebra,,,,28804911.0,ns,5293196
scalar transform2 return self,nalgebra,,,,29955918.0,ns,5475720
scalar transform2 return self,nalgebra,,,,30787658.0,ns,5658244
scalar transform2 return self,nalgebra,,,,31770842.0,ns,5840768
scalar transform2 return self,nalgebra,,,,32854358.0,ns,6023292
scalar transform2 return self,nalgebra,,,,33751269.0,ns,6205816
scalar transform2 return self,nalgebra,,,,34773455.0,ns,6388340
scalar transform2 return self,nalgebra,,,,35747759.0,ns,6570864
scalar transform2 return self,nalgebra,,,,36756593.0,ns,6753388
scalar transform2 return self,nalgebra,,,,37719579.0,ns,6935912
scalar transform2 return self,nalgebra,,,,38710816.0,ns,7118436
scalar transform2 return self,nalgebra,,,,39722897.0,ns,7300960
scalar transform2 return self,nalgebra,,,,40690298.0,ns,7483484
scalar transform2 return self,nalgebra,,,,41766601.0,ns,7666008
scalar transform2 return self,nalgebra,,,,42645429.0,ns,7848532
scalar transform2 return self,nalgebra,,,,43680622.0,ns,8031056
scalar transform2 return self,nalgebra,,,,44738705.0,ns,8213580
scalar transform2 return self,nalgebra,,,,45610771.0,ns,8396104
scalar transform2 return self,nalgebra,,,,46828010.0,ns,8578628
scalar transform2 return self,nalgebra,,,,47603526.0,ns,8761152
scalar transform2 return self,nalgebra,,,,48595712.0,ns,8943676
scalar transform2 return self,nalgebra,,,,49677001.0,ns,9126200
scalar transform2 return self,nalgebra,,,,50827776.0,ns,9308724
scalar transform2 return self,nalgebra,,,,51601626.0,ns,9491248
scalar transform2 return self,nalgebra,,,,52552382.0,ns,9673772
scalar transform2 return self,nalgebra,,,,53558593.0,ns,9856296
scalar transform2 return self,nalgebra,,,,54532638.0,ns,10038820
scalar transform2 return self,nalgebra,,,,55534307.0,ns,10221344
scalar transform2 return self,nalgebra,,,,56505810.0,ns,10403868
scalar transform2 return self,nalgebra,,,,57553839.0,ns,10586392
scalar transform2 return self,nalgebra,,,,58508687.0,ns,10768916
scalar transform2 return self,nalgebra,,,,59590409.0,ns,10951440
scalar transform2 return self,nalgebra,,,,60481440.0,ns,11133964
scalar transform2 return self,nalgebra,,,,61583248.0,ns,11316488
scalar transform2 return self,nalgebra,,,,62475198.0,ns,11499012
scalar transform2 return self,nalgebra,,,,63646486.0,ns,11681536
scalar transform2 return self,nalgebra,,,,64474885.0,ns,11864060
scalar transform2 return self,nalgebra,,,,66158526.0,ns,12046584
scalar transform2 return self,nalgebra,,,,66444267.0,ns,12229108
scalar transform2 return self,nalgebra,,,,67469341.0,ns,12411632
scalar transform2 return self,nalgebra,,,,68443403.0,ns,12594156
scalar transform2 return self,nalgebra,,,,69566464.0,ns,12776680
scalar transform2 return self,nalgebra,,,,70361392.0,ns,12959204
scalar transform2 return self,nalgebra,,,,71387552.0,ns,13141728
scalar transform2 return self,nalgebra,,,,72404344.0,ns,13324252
scalar transform2 return self,nalgebra,,,,73303774.0,ns,13506776
scalar transform2 return self,nalgebra,,,,74335932.0,ns,13689300
scalar transform2 return self,nalgebra,,,,75340783.0,ns,13871824
scalar transform2 return self,nalgebra,,,,76444255.0,ns,14054348
scalar transform2 return self,nalgebra,,,,77354000.0,ns,14236872
scalar transform2 return self,nalgebra,,,,78321339.0,ns,14419396
scalar transform2 return self,nalgebra,,,,79304138.0,ns,14601920
scalar transform2 return self,nalgebra,,,,80271181.0,ns,14784444
scalar transform2 return self,nalgebra,,,,81348004.0,ns,14966968
scalar transform2 return self,nalgebra,,,,82223131.0,ns,15149492
scalar transform2 return self,nalgebra,,,,83233949.0,ns,15332016
scalar transform2 return self,nalgebra,,,,84219054.0,ns,15514540
scalar transform2 return self,nalgebra,,,,85228603.0,ns,15697064
scalar transform2 return self,nalgebra,,,,86315717.0,ns,15879588
scalar transform2 return self,nalgebra,,,,87275303.0,ns,16062112
scalar transform2 return self,nalgebra,,,,88246616.0,ns,16244636
scalar transform2 return self,nalgebra,,,,89120940.0,ns,16427160
scalar transform2 return self,nalgebra,,,,90266244.0,ns,16609684
scalar transform2 return self,nalgebra,,,,91139046.0,ns,16792208
scalar transform2 return self,nalgebra,,,,92147706.0,ns,16974732
scalar transform2 return self,nalgebra,,,,93288471.0,ns,17157256
scalar transform2 return self,nalgebra,,,,94187777.0,ns,17339780
scalar transform2 return self,nalgebra,,,,95227365.0,ns,17522304
scalar transform2 return self,nalgebra,,,,96310568.0,ns,17704828
scalar transform2 return self,nalgebra,,,,97196849.0,ns,17887352
scalar transform2 return self,nalgebra,,,,98091388.0,ns,18069876
scalar transform2 return self,nalgebra,,,,99228720.0,ns,18252400
