group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform3 inverse,glam,,,,1559289.0,ns,89520
scalar transform3 inverse,glam,,,,2086468.0,ns,179040
scalar transform3 inverse,glam,,,,3062812.0,ns,268560
scalar transform3 inverse,glam,,,,4080921.0,ns,358080
scalar transform3 inverse,glam,,,,5021869.0,ns,447600
scalar transform3 inverse,glam,,,,6019662.0,ns,537120
scalar transform3 inverse,glam,,,,6987868.0,ns,626640
scalar transform3 inverse,glam,,,,7980272.0,ns,716160
scalar transform3 inverse,glam,,,,8941175.0,ns,805680
scalar transform3 inverse,glam,,,,9936885.0,ns,895200
scalar transform3 inverse,glam,,,,10919594.0,ns,984720
scalar transform3 inverse,glam,,,,11876949.0,ns,1074240
scalar transform3 inverse,glam,,,,12951083.0,ns,1163760
scalar transform3 inverse,glam,,,,13939495.0,ns,1253280
scalar transform3 inverse,glam,,,,14817312.0,ns,1342800
scalar transform3 inverse,glam,,,,15840651.0,ns,1432320
scalar transform3 inverse,glam,,,,16776098.0,ns,1521840
scalar transform3 inverse,glam,,,,17850525.0,ns,1611360
scalar transform3 inverse,glam,,,,18731422.0,ns,1700880
scalar transform3 inverse,glam,,,,19770069.0,ns,1790400
scalar transform3 inverse,glam,,,,20732644.0,ns,1879920
scalar transform3 inverse,glam,,,,21673061.0,ns,1969440
scalar transform3 inverse,glam,,,,22739669.0,ns,2058960
scalar transform3 inverse,glam,,,,23677408.0,ns,2148480
scalar transform3 inverse,glam,,,,24612634.0,ns,2238000
scalar transform3 inverse,glam,,,,25608594.0,ns,2327520
scalar transform3 inverse,glam,,,,26619096.0,ns,2417040
scalar transform3 inverse,glam,,,,27604228.0,ns,2506560
scalar transform3 inverse,glam,,,,28573542.0,ns,2596080
scalar transform3 inverse,glam,,,,29548174.0,ns,2685600
scalar transform3 inverse,glam,,,,30589110.0,ns,2775120
scalar transform3 inverse,glam,,,,31501801.0,ns,2864640
scalar transform3 inverse,glam,,,,32510713.0,ns,2954160
scalar transform3 inverse,glam,,,,33593670.0,ns,3043680
scalar transform3 inverse,glam,,,,34485978.0,ns,3133200
scalar transform3 inverse,glam,,,,35473997.0,ns,3222720
scalar transform3 inverse,glam,,,,36432519.0,ns,3312240
scalar transform3 inverse,glam,,,,37363046.0,ns,3401760
scalar transform3 inverse,glam,,,,38438236.0,ns,3491280
scalar transform3 inverse,glam,,,,39419128.0,ns,3580800
scalar transform3 inverse,glam,,,,40349142.0,ns,3670320
scalar transform3 inverse,glam,,,,41331969.0,ns,3759840
scalar transform3 inverse,glam,,,,42338873.0,ns,3849360
scalar transform3 inverse,glam,,,,43289974.0,ns,3938880
scalar transform3 inverse,glam,,,,44283087.0,ns,4028400
scalar transform3 inverse,glam,,,,45360444.0,ns,4117920
scalar transform3 inverse,glam,,,,46252436.0,ns,4207440
scalar transform3 inverse,glam,,,,47252142.0,ns,4296960
scalar transform3 inverse,glam,,,,48211955.0,ns,4386480
scalar transform3 inverse,glam,,,,49253505.0,ns,4476000
scalar transform3 inverse,glam,,,,50094900.0,ns,4565520
scalar transform3 inverse,glam,,,,51096688.0,ns,4655040
scalar transform3 inverse,glam,,,,52086066.0,ns,4744560
scalar transform3 inverse,glam,,,,53161909.0,ns,4834080
scalar transform3 inverse,glam,,,,54055465.0,ns,4923600
scalar transform3 inverse,glam,,,,55150088.0,ns,5013120
scalar transform3 inverse,glam,,,,56822657.0,ns,5102640
scalar transform3 inverse,glam,,,,57478001.0,ns,5192160
scalar transform3 inverse,glam,,,,58027929.0,ns,5281680
scalar transform3 inverse,glam,,,,58983564.0,ns,5371200
scalar transform3 inverse,glam,,,,60011479.0,ns,5460720
scalar transform3 inverse,glam,,,,60933145.0,ns,5550240
scalar transform3 inverse,glam,,,,61974441.0,ns,5639760
scalar transform3 inverse,glam,,,,62921573.0,ns,5729280
scalar transform3 inverse,glam,,,,63856992.0,ns,5818800
scalar transform3 inverse,glam,,,,65086314.0,ns,5908320
scalar transform3 inverse,glam,,,,65932936.0,ns,5997840
scalar transform3 inverse,glam,,,,66791232.0,ns,6087360
scalar transform3 inverse,glam,,,,67823639.0,ns,6176880
scalar transform3 inverse,glam,,,,68836831.0,ns,6266400
scalar transform3 inverse,glam,,,,69730124.0,ns,6355920
scalar transform3 inverse,glam,,,,70860796.0,ns,6445440
scalar transform3 inverse,glam,,,,71810161.0,ns,6534960
scalar transform3 inverse,glam,,,,72663961.0,ns,6624480
scalar transform3 inverse,glam,,,,74078541.0,ns,6714000
scalar transform3 inverse,glam,,,,74675971.0,ns,6803520
scalar transform3 inverse,glam,,,,75604513.0,ns,6893040
scalar transform3 inverse,glam,,,,76681904.0,ns,6982560
scalar transform3 inverse,glam,,,,77615427.0,ns,7072080
scalar transform3 inverse,glam,,,,78700402.0,ns,7161600
scalar transform3 inverse,glam,,,,79760842.0,ns,7251120
scalar transform3 inverse,glam,,,,80505327.0,ns,7340640
scalar transform3 inverse,glam,,,,81615219.0,ns,7430160
scalar transform3 inverse,glam,,,,82488075.0,ns,7519680
scalar transform3 inverse,glam,,,,83510174.0,ns,7609200
scalar transform3 inverse,glam,,,,84529673.0,ns,7698720
scalar transform3 inverse,glam,,,,85475437.0,ns,7788240
scalar transform3 inverse,glam,,,,86449781.0,ns,7877760
scalar transform3 inverse,glam,,,,87375441.0,ns,7967280
scalar transform3 inverse,glam,,,,88457805.0,ns,8056800
scalar transform3 inverse,glam,,,,89673103.0,ns,8146320
scalar transform3 inverse,glam,,,,90370085.0,ns,8235840
scalar transform3 inverse,glam,,,,91351262.0,ns,8325360
scalar transform3 inverse,glam,,,,92334370.0,ns,8414880
scalar transform3 inverse,glam,,,,93357874.0,ns,8504400
scalar transform3 inverse,glam,,,,94540284.0,ns,8593920
scalar transform3 inverse,glam,,,,95285904.0,ns,8683440
scalar transform3 inverse,glam,,,,96345427.0,ns,8772960
scalar transform3 inverse,glam,,,,97207711.0,ns,8862480
scalar transform3 inverse,glam,,,,98208355.0,ns,8952000
