group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar transform3 mul transform3d,glam,,,,1113299.0,ns,150891
scalar transform3 mul transform3d,glam,,,,2104132.0,ns,301782
scalar transform3 mul transform3d,glam,,,,3107469.0,ns,452673
scalar transform3 mul transform3d,glam,,,,4082564.0,ns,603564
scalar transform3 mul transform3d,glam,,,,5072862.0,ns,754455
scalar transform3 mul transform3d,glam,,,,6126359.0,ns,905346
scalar transform3 mul transform3d,glam,,,,7072737.0,ns,1056237
scalar transform3 mul transform3d,glam,,,,8043194.0,ns,1207128
scalar transform3 mul transform3d,glam,,,,9053919.0,ns,1358019
scalar transform3 mul transform3d,glam,,,,10060244.0,ns,1508910
scalar transform3 mul transform3d,glam,,,,11047702.0,ns,1659801
scalar transform3 mul transform3d,glam,,,,12019341.0,ns,1810692
scalar transform3 mul transform3d,glam,,,,13029171.0,ns,1961583
scalar transform3 mul transform3d,glam,,,,13975429.0,ns,2112474
scalar transform3 mul transform3d,glam,,,,15027669.0,ns,2263365
scalar transform3 mul transform3d,glam,,,,15956590.0,ns,2414256
scalar transform3 mul transform3d,glam,,,,16966081.0,ns,2565147
scalar transform3 mul transform3d,glam,,,,17955081.0,ns,2716038
scalar transform3 mul transform3d,glam,,,,18943721.0,ns,2866929
scalar transform3 mul transform3d,glam,,,,19955334.0,ns,3017820
scalar transform3 mul transform3d,glam,,,,20944280.0,ns,3168711
scalar transform3 mul transform3d,glam,,,,21916914.0,ns,3319602
scalar transform3 mul transform3d,glam,,,,22907509.0,ns,3470493
scalar transform3 mul transform3d,glam,,,,23915274.0,ns,3621384
scalar transform3 mul transform3d,glam,,,,24879943.0,ns,3772275
scalar transform3 mul transform3d,glam,,,,25868985.0,ns,3923166
scalar transform3 mul transform3d,glam,,,,26861923.0,ns,4074057
scalar transform3 mul transform3d,glam,,,,27903342.0,ns,4224948
scalar transform3 mul transform3d,glam,,,,28845988.0,ns,4375839
scalar transform3 mul transform3d,glam,,,,29908042.0,ns,4526730
scalar transform3 mul transform3d,glam,,,,30831137.0,ns,4677621
scalar transform3 mul transform3d,glam,,,,31806172.0,ns,4828512
scalar transform3 mul transform3d,glam,,,,32799693.0,ns,4979403
scalar transform3 mul transform3d,glam,,,,33833037.0,ns,5130294
scalar transform3 mul transform3d,glam,,,,34772176.0,ns,5281185
scalar transform3 mul transform3d,glam,,,,35800216.0,ns,5432076
scalar transform3 mul transform3d,glam,,,,36771611.0,ns,5582967
scalar transform3 mul transform3d,glam,,,,37742405.0,ns,5733858
scalar transform3 mul transform3d,glam,,,,38927264.0,ns,5884749
scalar transform3 mul transform3d,glam,,,,39732709.0,ns,6035640
scalar transform3 mul transform3d,glam,,,,40752205.0,ns,6186531
scalar transform3 mul transform3d,glam,,,,41719024.0,ns,6337422
scalar transform3 mul transform3d,glam,,,,42708018.0,ns,6488313
scalar transform3 mul transform3d,glam,,,,43717998.0,ns,6639204
scalar transform3 mul transform3d,glam,,,,44733405.0,ns,6790095
scalar transform3 mul transform3d,glam,,,,45696367.0,ns,6940986
scalar transform3 mul transform3d,glam,,,,46868988.0,ns,7091877
scalar transform3 mul transform3d,glam,,,,47719549.0,ns,7242768
scalar transform3 mul transform3d,glam,,,,48657077.0,ns,7393659
scalar transform3 mul transform3d,glam,,,,49723839.0,ns,7544550
scalar transform3 mul transform3d,glam,,,,50636429.0,ns,7695441
scalar transform3 mul transform3d,glam,,,,51660181.0,ns,7846332
scalar transform3 mul transform3d,glam,,,,52644395.0,ns,7997223
scalar transform3 mul transform3d,glam,,,,53601662.0,ns,8148114
scalar transform3 mul transform3d,glam,,,,54590043.0,ns,8299005
scalar transform3 mul transform3d,glam,,,,55608431.0,ns,8449896
scalar transform3 mul transform3d,glam,,,,56589685.0,ns,8600787
scalar transform3 mul transform3d,glam,,,,57551296.0,ns,8751678
scalar transform3 mul transform3d,glam,,,,58646206.0,ns,8902569
scalar transform3 mul transform3d,glam,,,,59651326.0,ns,9053460
scalar transform3 mul transform3d,glam,,,,60544462.0,ns,9204351
scalar transform3 mul transform3d,glam,,,,61787513.0,ns,9355242
scalar transform3 mul transform3d,glam,,,,62540440.0,ns,9506133
scalar transform3 mul transform3d,glam,,,,63503469.0,ns,9657024
scalar transform3 mul transform3d,glam,,,,64517504.0,ns,9807915
scalar transform3 mul transform3d,glam,,,,65486612.0,ns,9958806
scalar transform3 mul transform3d,glam,,,,66484250.0,ns,10109697
scalar transform3 mul transform3d,glam,,,,67512685.0,ns,10260588
scalar transform3 mul transform3d,glam,,,,68483143.0,ns,10411479
scalar transform3 mul transform3d,glam,,,,69446717.0,ns,10562370
scalar transform3 mul transform3d,glam,,,,70482254.0,ns,10713261
scalar transform3 mul transform3d,glam,,,,71466960.0,ns,10864152
scalar transform3 mul transform3d,glam,,,,72434622.0,ns,11015043
scalar transform3 mul transform3d,glam,,,,73627707.0,ns,11165934
scalar transform3 mul transform3d,glam,,,,74458988.0,ns,11316825
scalar transform3 mul transform3d,glam,,,,75477985.0,ns,11467716
scalar transform3 mul transform3d,glam,,,,76437728.0,ns,11618607
scalar transform3 mul transform3d,glam,,,,77369038.0,ns,11769498
scalar transform3 mul transform3d,glam,,,,78380825.0,ns,11920389
scalar transform3 mul transform3d,glam,,,,79388084.0,ns,12071280
scalar transform3 mul transform3d,glam,,,,80503076.0,ns,12222171
scalar transform3 mul transform3d,glam,,,,81391071.0,ns,12373062
scalar transform3 mul transform3d,glam,,,,82303691.0,ns,12523953
scalar transform3 mul transform3d,glam,,,,83320724.0,ns,12674844
scalar transform3 mul transform3d,glam,,,,84357604.0,ns,12825735
scalar transform3 mul transform3d,glam,,,,91528236.0,ns,12976626
scalar transform3 mul transform3d,glam,,,,86629459.0,ns,13127517
scalar transform3 mul transform3d,glam,,,,87302767.0,ns,13278408
scalar transform3 mul transform3d,glam,,,,88292982.0,ns,13429299
scalar transform3 mul transform3d,glam,,,,89229211.0,ns,13580190
scalar transform3 mul transform3d,glam,,,,90333151.0,ns,13731081
scalar transform3 mul transform3d,glam,,,,91272208.0,ns,13881972
scalar transform3 mul transform3d,glam,,,,92262348.0,ns,14032863
scalar transform3 mul transform3d,glam,,,,93226135.0,ns,14183754
scalar transform3 mul transform3d,glam,,,,94214891.0,ns,14334645
scalar transform3 mul transform3d,glam,,,,95254361.0,ns,14485536
scalar transform3 mul transform3d,glam,,,,96260142.0,ns,14636427
scalar transform3 mul transform3d,glam,,,,97240943.0,ns,14787318
scalar transform3 mul transform3d,glam,,,,98199317.0,ns,14938209
scalar transform3 mul transform3d,glam,,,,99191808.0,ns,15089100
