group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 cross,euclid,,,,1056707.0,ns,268718
scalar vector3 cross,euclid,,,,1974774.0,ns,537436
scalar vector3 cross,euclid,,,,3007340.0,ns,806154
scalar vector3 cross,euclid,,,,4052099.0,ns,1074872
scalar vector3 cross,euclid,,,,4968211.0,ns,1343590
scalar vector3 cross,euclid,,,,5929333.0,ns,1612308
scalar vector3 cross,euclid,,,,6935844.0,ns,1881026
scalar vector3 cross,euclid,,,,7924125.0,ns,2149744
scalar vector3 cross,euclid,,,,8889008.0,ns,2418462
scalar vector3 cross,euclid,,,,9878153.0,ns,2687180
scalar vector3 cross,euclid,,,,10868267.0,ns,2955898
scalar vector3 cross,euclid,,,,11938116.0,ns,3224616
scalar vector3 cross,euclid,,,,12861063.0,ns,3493334
scalar vector3 cross,euclid,,,,13984843.0,ns,3762052
scalar vector3 cross,euclid,,,,14819275.0,ns,4030770
scalar vector3 cross,euclid,,,,15804398.0,ns,4299488
scalar vector3 cross,euclid,,,,17022304.0,ns,4568206
scalar vector3 cross,euclid,,,,17979396.0,ns,4836924
scalar vector3 cross,euclid,,,,18848856.0,ns,5105642
scalar vector3 cross,euclid,,,,19762688.0,ns,5374360
scalar vector3 cross,euclid,,,,20745894.0,ns,5643078
scalar vector3 cross,euclid,,,,21757807.0,ns,5911796
scalar vector3 cross,euclid,,,,22742487.0,ns,6180514
scalar vector3 cross,euclid,,,,23769529.0,ns,6449232
scalar vector3 cross,euclid,,,,24719275.0,ns,6717950
scalar vector3 cross,euclid,,,,25729383.0,ns,6986668
scalar vector3 cross,euclid,,,,26733361.0,ns,7255386
scalar vector3 cross,euclid,,,,27719749.0,ns,7524104
scalar vector3 cross,euclid,,,,28690015.0,ns,7792822
scalar vector3 cross,euclid,,,,29671976.0,ns,8061540
scalar vector3 cross,euclid,,,,30690889.0,ns,8330258
scalar vector3 cross,euclid,,,,31650743.0,ns,8598976
scalar vector3 cross,euclid,,,,32614349.0,ns,8867694
scalar vector3 cross,euclid,,,,33672944.0,ns,9136412
scalar vector3 cross,euclid,,,,34590948.0,ns,9405130
scalar vector3 cross,euclid,,,,35575130.0,ns,9673848
scalar vector3 cross,euclid,,,,36630091.0,ns,9942566
scalar vector3 cross,euclid,,,,37577192.0,ns,10211284
scalar vector3 cross,euclid,,,,38581660.0,ns,10480002
scalar vector3 cross,euclid,,,,39606204.0,ns,10748720
scalar vector3 cross,euclid,,,,40522138.0,ns,11017438
scalar vector3 cross,euclid,,,,41541141.0,ns,11286156
scalar vector3 cross,euclid,,,,42513783.0,ns,11554874
scalar vector3 cross,euclid,,,,43537061.0,ns,11823592
scalar vector3 cross,euclid,,,,44515300.0,ns,12092310
scalar vector3 cross,euclid,,,,45465831.0,ns,12361028
scalar vector3 cross,euclid,,,,46509353.0,ns,12629746
scalar vector3 cross,euclid,,,,47495448.0,ns,12898464
scalar vector3 cross,euclid,,,,48464675.0,ns,13167182
scalar vector3 cross,euclid,,,,49409214.0,ns,13435900
scalar vector3 cross,euclid,,,,50507779.0,ns,13704618
scalar vector3 cross,euclid,,,,51447941.0,ns,13973336
scalar vector3 cross,euclid,,,,52436318.0,ns,14242054
scalar vector3 cross,euclid,,,,53365950.0,ns,14510772
scalar vector3 cross,euclid,,,,54375888.0,ns,14779490
scalar vector3 cross,euclid,,,,55382591.0,ns,15048208
scalar vector3 cross,euclid,,,,56330268.0,ns,15316926
scalar vector3 cross,euclid,,,,57375379.0,ns,15585644
scalar vector3 cross,euclid,,,,58436217.0,ns,15854362
scalar vector3 cross,euclid,,,,59368751.0,ns,16123080
scalar vector3 cross,euclid,,,,60299975.0,ns,16391798
scalar vector3 cross,euclid,,,,61292054.0,ns,16660516
scalar vector3 cross,euclid,,,,62361685.0,ns,16929234
scalar vector3 cross,euclid,,,,63298456.0,ns,17197952
scalar vector3 cross,euclid,,,,64289765.0,ns,17466670
scalar vector3 cross,euclid,,,,65384541.0,ns,17735388
scalar vector3 cross,euclid,,,,66223019.0,ns,18004106
scalar vector3 cross,euclid,,,,67253079.0,ns,18272824
scalar vector3 cross,euclid,,,,68300968.0,ns,18541542
scalar vector3 cross,euclid,,,,69188463.0,ns,18810260
scalar vector3 cross,euclid,,,,70212967.0,ns,19078978
scalar vector3 cross,euclid,,,,71238561.0,ns,19347696
scalar vector3 cross,euclid,,,,72155672.0,ns,19616414
scalar vector3 cross,euclid,,,,73191963.0,ns,19885132
scalar vector3 cross,euclid,,,,74296396.0,ns,20153850
scalar vector3 cross,euclid,,,,75122003.0,ns,20422568
scalar vector3 cross,euclid,,,,76189722.0,ns,20691286
scalar vector3 cross,euclid,,,,77148396.0,ns,20960004
scalar vector3 cross,euclid,,,,78266476.0,ns,21228722
scalar vector3 cross,euclid,,,,79391472.0,ns,21497440
scalar vector3 cross,euclid,,,,80157553.0,ns,21766158
scalar vector3 cross,euclid,,,,81582557.0,ns,22034876
scalar vector3 cross,euclid,,,,82057126.0,ns,22303594
scalar vector3 cross,euclid,,,,83056398.0,ns,22572312
scalar vector3 cross,euclid,,,,84066127.0,ns,22841030
scalar vector3 cross,euclid,,,,85051841.0,ns,23109748
scalar vector3 cross,euclid,,,,86085440.0,ns,23378466
scalar vector3 cross,euclid,,,,86977477.0,ns,23647184
scalar vector3 cross,euclid,,,,88002782.0,ns,23915902
scalar vector3 cross,euclid,,,,89020630.0,ns,24184620
scalar vector3 cross,euclid,,,,90076547.0,ns,24453338
scalar vector3 cross,euclid,,,,91180021.0,ns,24722056
scalar vector3 cross,euclid,,,,91999915.0,ns,24990774
scalar vector3 cross,euclid,,,,93051876.0,ns,25259492
scalar vector3 cross,euclid,,,,93946984.0,ns,25528210
scalar vector3 cross,euclid,,,,94944705.0,ns,25796928
scalar vector3 cross,euclid,,,,95911055.0,ns,26065646
