group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 cross,glam,,,,1026183.0,ns,407557
scalar vector3 cross,glam,,,,2035684.0,ns,815114
scalar vector3 cross,glam,,,,2957929.0,ns,1222671
scalar vector3 cross,glam,,,,3985403.0,ns,1630228
scalar vector3 cross,glam,,,,4938084.0,ns,2037785
scalar vector3 cross,glam,,,,5940928.0,ns,2445342
scalar vector3 cross,glam,,,,6949533.0,ns,2852899
scalar vector3 cross,glam,,,,7894736.0,ns,3260456
scalar vector3 cross,glam,,,,8900655.0,ns,3668013
scalar vector3 cross,glam,,,,9885326.0,ns,4075570
scalar vector3 cross,glam,,,,10849168.0,ns,4483127
scalar vector3 cross,glam,,,,11837627.0,ns,4890684
scalar vector3 cross,glam,,,,12881793.0,ns,5298241
scalar vector3 cross,glam,,,,13875784.0,ns,5705798
scalar vector3 cross,glam,,,,14896029.0,ns,6113355
scalar vector3 cross,glam,,,,15786548.0,ns,6520912
scalar vector3 cross,glam,,,,16795064.0,ns,6928469
scalar vector3 cross,glam,,,,17787492.0,ns,7336026
scalar vector3 cross,glam,,,,18797886.0,ns,7743583
scalar vector3 cross,glam,,,,19735087.0,ns,8151140
scalar vector3 cross,glam,,,,20761481.0,ns,8558697
scalar vector3 cross,glam,,,,21711544.0,ns,8966254
scalar vector3 cross,glam,,,,22731448.0,ns,9373811
scalar vector3 cross,glam,,,,23701687.0,ns,9781368
scalar vector3 cross,glam,,,,24692298.0,ns,10188925
scalar vector3 cross,glam,,,,25669846.0,ns,10596482
scalar vector3 cross,glam,,,,26721015.0,ns,11004039
scalar vector3 cross,glam,,,,27652844.0,ns,11411596
scalar vector3 cross,glam,,,,28634304.0,ns,11819153
scalar vector3 cross,glam,,,,29615052.0,ns,12226710
scalar vector3 cross,glam,,,,30604228.0,ns,12634267
scalar vector3 cross,glam,,,,31668924.0,ns,13041824
scalar vector3 cross,glam,,,,32579384.0,ns,13449381
scalar vector3 cross,glam,,,,33629024.0,ns,13856938
scalar vector3 cross,glam,,,,34671232.0,ns,14264495
scalar vector3 cross,glam,,,,35546177.0,ns,14672052
scalar vector3 cross,glam,,,,36546522.0,ns,15079609
scalar vector3 cross,glam,,,,37516119.0,ns,15487166
scalar vector3 cross,glam,,,,38561228.0,ns,15894723
scalar vector3 cross,glam,,,,39495758.0,ns,16302280
scalar vector3 cross,glam,,,,40488803.0,ns,16709837
scalar vector3 cross,glam,,,,41449781.0,ns,17117394
scalar vector3 cross,glam,,,,43569114.0,ns,17524951
scalar vector3 cross,glam,,,,44283952.0,ns,17932508
scalar vector3 cross,glam,,,,44733168.0,ns,18340065
scalar vector3 cross,glam,,,,45551467.0,ns,18747622
scalar vector3 cross,glam,,,,46440610.0,ns,19155179
scalar vector3 cross,glam,,,,47418561.0,ns,19562736
scalar vector3 cross,glam,,,,48553203.0,ns,19970293
scalar vector3 cross,glam,,,,49407372.0,ns,20377850
scalar vector3 cross,glam,,,,50383463.0,ns,20785407
scalar vector3 cross,glam,,,,51368852.0,ns,21192964
scalar vector3 cross,glam,,,,52371949.0,ns,21600521
scalar vector3 cross,glam,,,,53404632.0,ns,22008078
scalar vector3 cross,glam,,,,54397564.0,ns,22415635
scalar vector3 cross,glam,,,,55396817.0,ns,22823192
scalar vector3 cross,glam,,,,56313123.0,ns,23230749
scalar vector3 cross,glam,,,,57267673.0,ns,23638306
scalar vector3 cross,glam,,,,58344458.0,ns,24045863
scalar vector3 cross,glam,,,,59278498.0,ns,24453420
scalar vector3 cross,glam,,,,60242462.0,ns,24860977
scalar vector3 cross,glam,,,,61389170.0,ns,25268534
scalar vector3 cross,glam,,,,62300171.0,ns,25676091
scalar vector3 cross,glam,,,,63360095.0,ns,26083648
scalar vector3 cross,glam,,,,64207578.0,ns,26491205
scalar vector3 cross,glam,,,,65229258.0,ns,26898762
scalar vector3 cross,glam,,,,66153708.0,ns,27306319
scalar vector3 cross,glam,,,,67244616.0,ns,27713876
scalar vector3 cross,glam,,,,68166971.0,ns,28121433
scalar vector3 cross,glam,,,,69131698.0,ns,28528990
scalar vector3 cross,glam,,,,70147558.0,ns,28936547
scalar vector3 cross,glam,,,,71230053.0,ns,29344104
scalar vector3 cross,glam,,,,72080166.0,ns,29751661
scalar vector3 cross,glam,,,,73097770.0,ns,30159218
scalar vector3 cross,glam,,,,74100571.0,ns,30566775
scalar vector3 cross,glam,,,,75115869.0,ns,30974332
scalar vector3 cross,glam,,,,76107370.0,ns,31381889
scalar vector3 cross,glam,,,,77222006.0,ns,31789446
scalar vector3 cross,glam,,,,78093450.0,ns,32197003
scalar vector3 cross,glam,,,,79036035.0,ns,32604560
