group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 length,cgmath,,,,1033414.0,ns,395099
scalar vector3 length,cgmath,,,,1986585.0,ns,790198
scalar vector3 length,cgmath,,,,2955518.0,ns,1185297
scalar vector3 length,cgmath,,,,3930309.0,ns,1580396
scalar vector3 length,cgmath,,,,4959475.0,ns,1975495
scalar vector3 length,cgmath,,,,5957707.0,ns,2370594
scalar vector3 length,cgmath,,,,7992032.0,ns,2765693
scalar vector3 length,cgmath,,,,8364749.0,ns,3160792
scalar vector3 length,cgmath,,,,8917956.0,ns,3555891
scalar vector3 length,cgmath,,,,9870085.0,ns,3950990
scalar vector3 length,cgmath,,,,10870031.0,ns,4346089
scalar vector3 length,cgmath,,,,11915193.0,ns,4741188
scalar vector3 length,cgmath,,,,12823128.0,ns,5136287
scalar vector3 length,cgmath,,,,13847802.0,ns,5531386
scalar vector3 length,cgmath,,,,14909172.0,ns,5926485
scalar vector3 length,cgmath,,,,15779376.0,ns,6321584
scalar vector3 length,cgmath,,,,16855178.0,ns,6716683
scalar vector3 length,cgmath,,,,17728278.0,ns,7111782
scalar vector3 length,cgmath,,,,18773956.0,ns,7506881
scalar vector3 length,cgmath,,,,19858112.0,ns,7901980
scalar vector3 length,cgmath,,,,20831682.0,ns,8297079
scalar vector3 length,cgmath,,,,21804770.0,ns,8692178
scalar vector3 length,cgmath,,,,22600077.0,ns,9087277
scalar vector3 length,cgmath,,,,23664353.0,ns,9482376
scalar vector3 length,cgmath,,,,24674089.0,ns,9877475
scalar vector3 length,cgmath,,,,25616167.0,ns,10272574
scalar vector3 length,cgmath,,,,26679428.0,ns,10667673
scalar vector3 length,cgmath,,,,27651856.0,ns,11062772
scalar vector3 length,cgmath,,,,28620391.0,ns,11457871
scalar vector3 length,cgmath,,,,29480690.0,ns,11852970
scalar vector3 length,cgmath,,,,30531844.0,ns,12248069
scalar vector3 length,cgmath,,,,31679534.0,ns,12643168
scalar vector3 length,cgmath,,,,32551885.0,ns,13038267
scalar vector3 length,cgmath,,,,33566554.0,ns,13433366
scalar vector3 length,cgmath,,,,34612341.0,ns,13828465
scalar vector3 length,cgmath,,,,35568130.0,ns,14223564
scalar vector3 length,cgmath,,,,37066966.0,ns,14618663
scalar vector3 length,cgmath,,,,37525771.0,ns,15013762
scalar vector3 length,cgmath,,,,38416754.0,ns,15408861
scalar vector3 length,cgmath,,,,39543986.0,ns,15803960
