group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 length,nalgebra,,,,1032947.0,ns,381155
scalar vector3 length,nalgebra,,,,2021348.0,ns,762310
scalar vector3 length,nalgebra,,,,2963549.0,ns,1143465
scalar vector3 length,nalgebra,,,,3974811.0,ns,1524620
scalar vector3 length,nalgebra,,,,4980842.0,ns,1905775
scalar vector3 length,nalgebra,,,,5928753.0,ns,2286930
scalar vector3 length,nalgebra,,,,6946219.0,ns,2668085
scalar vector3 length,nalgebra,,,,7950930.0,ns,3049240
scalar vector3 length,nalgebra,,,,8894190.0,ns,3430395
scalar vector3 length,nalgebra,,,,9933392.0,ns,3811550
scalar vector3 length,nalgebra,,,,10898228.0,ns,4192705
scalar vector3 length,nalgebra,,,,11879023.0,ns,4573860
scalar vector3 length,nalgebra,,,,12871581.0,ns,4955015
scalar vector3 length,nalgebra,,,,13891427.0,ns,5336170
scalar vector3 length,nalgebra,,,,14849456.0,ns,5717325
scalar vector3 length,nalgebra,,,,15846466.0,ns,6098480
scalar vector3 length,nalgebra,,,,16829445.0,ns,6479635
scalar vector3 length,nalgebra,,,,17839544.0,ns,6860790
scalar vector3 length,nalgebra,,,,18882917.0,ns,7241945
scalar vector3 length,nalgebra,,,,19875095.0,ns,7623100
scalar vector3 length,nalgebra,,,,20902277.0,ns,8004255
scalar vector3 length,nalgebra,,,,21767556.0,ns,8385410
scalar vector3 length,nalgebra,,,,22769193.0,ns,8766565
scalar vector3 length,nalgebra,,,,23749007.0,ns,9147720
scalar vector3 length,nalgebra,,,,24806169.0,ns,9528875
scalar vector3 length,nalgebra,,,,25814557.0,ns,9910030
scalar vector3 length,nalgebra,,,,26727839.0,ns,10291185
scalar vector3 length,nalgebra,,,,27766101.0,ns,10672340
scalar vector3 length,nalgebra,,,,28750034.0,ns,11053495
scalar vector3 length,nalgebra,,,,29692320.0,ns,11434650
scalar vector3 length,nalgebra,,,,30664493.0,ns,11815805
scalar vector3 length,nalgebra,,,,31674250.0,ns,12196960
scalar vector3 length,nalgebra,,,,32685271.0,ns,12578115
scalar vector3 length,nalgebra,,,,33670911.0,ns,12959270
scalar vector3 length,nalgebra,,,,34660559.0,ns,13340425
scalar vector3 length,nalgebra,,,,35600899.0,ns,13721580
scalar vector3 length,nalgebra,,,,36610558.0,ns,14102735
scalar vector3 length,nalgebra,,,,37625343.0,ns,14483890
scalar vector3 length,nalgebra,,,,38913571.0,ns,14865045
scalar vector3 length,nalgebra,,,,40025933.0,ns,15246200
scalar vector3 length,nalgebra,,,,40694740.0,ns,15627355
scalar vector3 length,nalgebra,,,,41563553.0,ns,16008510
scalar vector3 length,nalgebra,,,,42562960.0,ns,16389665
scalar vector3 length,nalgebra,,,,43504687.0,ns,16770820
scalar vector3 length,nalgebra,,,,44563406.0,ns,17151975
scalar vector3 length,nalgebra,,,,45539168.0,ns,17533130
scalar vector3 length,nalgebra,,,,46505237.0,ns,17914285
scalar vector3 length,nalgebra,,,,47486226.0,ns,18295440
scalar vector3 length,nalgebra,,,,48537103.0,ns,18676595
scalar vector3 length,nalgebra,,,,49471115.0,ns,19057750
scalar vector3 length,nalgebra,,,,50470055.0,ns,19438905
scalar vector3 length,nalgebra,,,,51439848.0,ns,19820060
scalar vector3 length,nalgebra,,,,52478562.0,ns,20201215
scalar vector3 length,nalgebra,,,,53437217.0,ns,20582370
scalar vector3 length,nalgebra,,,,54437089.0,ns,20963525
scalar vector3 length,nalgebra,,,,55385025.0,ns,21344680
scalar vector3 length,nalgebra,,,,56528201.0,ns,21725835
scalar vector3 length,nalgebra,,,,57346687.0,ns,22106990
scalar vector3 length,nalgebra,,,,58378587.0,ns,22488145
scalar vector3 length,nalgebra,,,,59559412.0,ns,22869300
scalar vector3 length,nalgebra,,,,60338136.0,ns,23250455
scalar vector3 length,nalgebra,,,,61342986.0,ns,23631610
scalar vector3 length,nalgebra,,,,62313197.0,ns,24012765
scalar vector3 length,nalgebra,,,,63364363.0,ns,24393920
scalar vector3 length,nalgebra,,,,64337495.0,ns,24775075
scalar vector3 length,nalgebra,,,,65401653.0,ns,25156230
scalar vector3 length,nalgebra,,,,67161439.0,ns,25537385
scalar vector3 length,nalgebra,,,,67499214.0,ns,25918540
scalar vector3 length,nalgebra,,,,68316934.0,ns,26299695
scalar vector3 length,nalgebra,,,,69344081.0,ns,26680850
scalar vector3 length,nalgebra,,,,70262416.0,ns,27062005
scalar vector3 length,nalgebra,,,,71271305.0,ns,27443160
scalar vector3 length,nalgebra,,,,72243803.0,ns,27824315
scalar vector3 length,nalgebra,,,,73282678.0,ns,28205470
scalar vector3 length,nalgebra,,,,74252255.0,ns,28586625
scalar vector3 length,nalgebra,,,,75239675.0,ns,28967780
scalar vector3 length,nalgebra,,,,76327363.0,ns,29348935
scalar vector3 length,nalgebra,,,,77358926.0,ns,29730090
scalar vector3 length,nalgebra,,,,78264721.0,ns,30111245
scalar vector3 length,nalgebra,,,,79416980.0,ns,30492400
scalar vector3 length,nalgebra,,,,80154530.0,ns,30873555
scalar vector3 length,nalgebra,,,,81234912.0,ns,31254710
scalar vector3 length,nalgebra,,,,82194854.0,ns,31635865
scalar vector3 length,nalgebra,,,,83098990.0,ns,32017020
scalar vector3 length,nalgebra,,,,84136446.0,ns,32398175
scalar vector3 length,nalgebra,,,,85090527.0,ns,32779330
scalar vector3 length,nalgebra,,,,86075085.0,ns,33160485
scalar vector3 length,nalgebra,,,,87123932.0,ns,33541640
scalar vector3 length,nalgebra,,,,88065293.0,ns,33922795
scalar vector3 length,nalgebra,,,,89134385.0,ns,34303950
scalar vector3 length,nalgebra,,,,90042062.0,ns,34685105
scalar vector3 length,nalgebra,,,,91351369.0,ns,35066260
scalar vector3 length,nalgebra,,,,92076132.0,ns,35447415
scalar vector3 length,nalgebra,,,,93072473.0,ns,35828570
scalar vector3 length,nalgebra,,,,94051724.0,ns,36209725
scalar vector3 length,nalgebra,,,,95194282.0,ns,36590880
scalar vector3 length,nalgebra,,,,95972321.0,ns,36972035
scalar vector3 length,nalgebra,,,,97041219.0,ns,37353190
scalar vector3 length,nalgebra,,,,97965468.0,ns,37734345
scalar vector3 length,nalgebra,,,,98979850.0,ns,38115500
