group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
scalar vector3 normalize,ultraviolet,,,,1052504.0,ns,169402
scalar vector3 normalize,ultraviolet,,,,2019515.0,ns,338804
scalar vector3 normalize,ultraviolet,,,,2965289.0,ns,508206
scalar vector3 normalize,ultraviolet,,,,3951905.0,ns,677608
scalar vector3 normalize,ultraviolet,,,,4973716.0,ns,847010
scalar vector3 normalize,ultraviolet,,,,5929113.0,ns,1016412
scalar vector3 normalize,ultraviolet,,,,6935632.0,ns,1185814
scalar vector3 normalize,ultraviolet,,,,7904571.0,ns,1355216
scalar vector3 normalize,ultraviolet,,,,8916880.0,ns,1524618
scalar vector3 normalize,ultraviolet,,,,9880302.0,ns,1694020
scalar vector3 normalize,ultraviolet,,,,10936379.0,ns,1863422
scalar vector3 normalize,ultraviolet,,,,11859686.0,ns,2032824
scalar vector3 normalize,ultraviolet,,,,12865920.0,ns,2202226
scalar vector3 normalize,ultraviolet,,,,13877840.0,ns,2371628
scalar vector3 normalize,ultraviolet,,,,14820879.0,ns,2541030
scalar vector3 normalize,ultraviolet,,,,15870891.0,ns,2710432
scalar vector3 normalize,ultraviolet,,,,16797243.0,ns,2879834
scalar vector3 normalize,ultraviolet,,,,17804699.0,ns,3049236
scalar vector3 normalize,ultraviolet,,,,18816501.0,ns,3218638
scalar vector3 normalize,ultraviolet,,,,19983867.0,ns,3388040
scalar vector3 normalize,ultraviolet,,,,20755657.0,ns,3557442
scalar vector3 normalize,ultraviolet,,,,21757305.0,ns,3726844
scalar vector3 normalize,ultraviolet,,,,22744658.0,ns,3896246
scalar vector3 normalize,ultraviolet,,,,23752876.0,ns,4065648
scalar vector3 normalize,ultraviolet,,,,24767792.0,ns,4235050
scalar vector3 normalize,ultraviolet,,,,25711407.0,ns,4404452
scalar vector3 normalize,ultraviolet,,,,26676483.0,ns,4573854
scalar vector3 normalize,ultraviolet,,,,27770921.0,ns,4743256
scalar vector3 normalize,ultraviolet,,,,28695628.0,ns,4912658
scalar vector3 normalize,ultraviolet,,,,29659811.0,ns,5082060
scalar vector3 normalize,ultraviolet,,,,30669499.0,ns,5251462
scalar vector3 normalize,ultraviolet,,,,31659326.0,ns,5420864
scalar vector3 normalize,ultraviolet,,,,32646725.0,ns,5590266
scalar vector3 normalize,ultraviolet,,,,33661685.0,ns,5759668
scalar vector3 normalize,ultraviolet,,,,34644683.0,ns,5929070
scalar vector3 normalize,ultraviolet,,,,35610743.0,ns,6098472
scalar vector3 normalize,ultraviolet,,,,36680261.0,ns,6267874
scalar vector3 normalize,ultraviolet,,,,37586935.0,ns,6437276
scalar vector3 normalize,ultraviolet,,,,38556053.0,ns,6606678
scalar vector3 normalize,ultraviolet,,,,39624735.0,ns,6776080
scalar vector3 normalize,ultraviolet,,,,40598487.0,ns,6945482
scalar vector3 normalize,ultraviolet,,,,41604406.0,ns,7114884
scalar vector3 normalize,ultraviolet,,,,42505166.0,ns,7284286
