group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide euler 3d,nalgebra_f32x8,80000,80000,elements,1074605.0,ns,10
wide euler 3d,nalgebra_f32x8,80000,80000,elements,2123245.0,ns,20
wide euler 3d,nalgebra_f32x8,80000,80000,elements,3174118.0,ns,30
wide euler 3d,nalgebra_f32x8,80000,80000,elements,4253272.0,ns,40
wide euler 3d,nalgebra_f32x8,80000,80000,elements,5283020.0,ns,50
wide euler 3d,nalgebra_f32x8,80000,80000,elements,6356488.0,ns,60
wide euler 3d,nalgebra_f32x8,80000,80000,elements,7455666.0,ns,70
wide euler 3d,nalgebra_f32x8,80000,80000,elements,8491683.0,ns,80
wide euler 3d,nalgebra_f32x8,80000,80000,elements,9515549.0,ns,90
wide euler 3d,nalgebra_f32x8,80000,80000,elements,10549348.0,ns,100
wide euler 3d,nalgebra_f32x8,80000,80000,elements,11632362.0,ns,110
wide euler 3d,nalgebra_f32x8,80000,80000,elements,12662037.0,ns,120
wide euler 3d,nalgebra_f32x8,80000,80000,elements,13727841.0,ns,130
wide euler 3d,nalgebra_f32x8,80000,80000,elements,14772981.0,ns,140
wide euler 3d,nalgebra_f32x8,80000,80000,elements,15827877.0,ns,150
wide euler 3d,nalgebra_f32x8,80000,80000,elements,16872624.0,ns,160
wide euler 3d,nalgebra_f32x8,80000,80000,elements,17930592.0,ns,170
wide euler 3d,nalgebra_f32x8,80000,80000,elements,18993107.0,ns,180
wide euler 3d,nalgebra_f32x8,80000,80000,elements,20045735.0,ns,190
wide euler 3d,nalgebra_f32x8,80000,80000,elements,21096849.0,ns,200
wide euler 3d,nalgebra_f32x8,80000,80000,elements,22147001.0,ns,210
wide euler 3d,nalgebra_f32x8,80000,80000,elements,23197717.0,ns,220
wide euler 3d,nalgebra_f32x8,80000,80000,elements,24283049.0,ns,230
wide euler 3d,nalgebra_f32x8,80000,80000,elements,25305469.0,ns,240
wide euler 3d,nalgebra_f32x8,80000,80000,elements,26371129.0,ns,250
wide euler 3d,nalgebra_f32x8,80000,80000,elements,27693233.0,ns,260
wide euler 3d,nalgebra_f32x8,80000,80000,elements,28683072.0,ns,270
wide euler 3d,nalgebra_f32x8,80000,80000,elements,29767824.0,ns,280
wide euler 3d,nalgebra_f32x8,80000,80000,elements,31038724.0,ns,290
wide euler 3d,nalgebra_f32x8,80000,80000,elements,31922324.0,ns,300
wide euler 3d,nalgebra_f32x8,80000,80000,elements,33002443.0,ns,310
wide euler 3d,nalgebra_f32x8,80000,80000,elements,34058818.0,ns,320
wide euler 3d,nalgebra_f32x8,80000,80000,elements,35094259.0,ns,330
wide euler 3d,nalgebra_f32x8,80000,80000,elements,36135652.0,ns,340
wide euler 3d,nalgebra_f32x8,80000,80000,elements,36923148.0,ns,350
wide euler 3d,nalgebra_f32x8,80000,80000,elements,37958569.0,ns,360
wide euler 3d,nalgebra_f32x8,80000,80000,elements,39048001.0,ns,370
wide euler 3d,nalgebra_f32x8,80000,80000,elements,40072331.0,ns,380
wide euler 3d,nalgebra_f32x8,80000,80000,elements,41112780.0,ns,390
wide euler 3d,nalgebra_f32x8,80000,80000,elements,42188376.0,ns,400
wide euler 3d,nalgebra_f32x8,80000,80000,elements,43203017.0,ns,410
wide euler 3d,nalgebra_f32x8,80000,80000,elements,44280899.0,ns,420
wide euler 3d,nalgebra_f32x8,80000,80000,elements,45339984.0,ns,430
wide euler 3d,nalgebra_f32x8,80000,80000,elements,46364719.0,ns,440
wide euler 3d,nalgebra_f32x8,80000,80000,elements,47450733.0,ns,450
wide euler 3d,nalgebra_f32x8,80000,80000,elements,48508545.0,ns,460
wide euler 3d,nalgebra_f32x8,80000,80000,elements,49539350.0,ns,470
wide euler 3d,nalgebra_f32x8,80000,80000,elements,50666020.0,ns,480
wide euler 3d,nalgebra_f32x8,80000,80000,elements,51689134.0,ns,490
wide euler 3d,nalgebra_f32x8,80000,80000,elements,52581469.0,ns,500
wide euler 3d,nalgebra_f32x8,80000,80000,elements,53793210.0,ns,510
wide euler 3d,nalgebra_f32x8,80000,80000,elements,54855475.0,ns,520
wide euler 3d,nalgebra_f32x8,80000,80000,elements,55880655.0,ns,530
wide euler 3d,nalgebra_f32x8,80000,80000,elements,56927695.0,ns,540
wide euler 3d,nalgebra_f32x8,80000,80000,elements,57988670.0,ns,550
wide euler 3d,nalgebra_f32x8,80000,80000,elements,59011931.0,ns,560
wide euler 3d,nalgebra_f32x8,80000,80000,elements,60093859.0,ns,570
wide euler 3d,nalgebra_f32x8,80000,80000,elements,61132658.0,ns,580
wide euler 3d,nalgebra_f32x8,80000,80000,elements,62206711.0,ns,590
wide euler 3d,nalgebra_f32x8,80000,80000,elements,63232729.0,ns,600
wide euler 3d,nalgebra_f32x8,80000,80000,elements,64308068.0,ns,610
wide euler 3d,nalgebra_f32x8,80000,80000,elements,65411810.0,ns,620
wide euler 3d,nalgebra_f32x8,80000,80000,elements,66451437.0,ns,630
wide euler 3d,nalgebra_f32x8,80000,80000,elements,67489805.0,ns,640
wide euler 3d,nalgebra_f32x8,80000,80000,elements,68513838.0,ns,650
wide euler 3d,nalgebra_f32x8,80000,80000,elements,69643225.0,ns,660
wide euler 3d,nalgebra_f32x8,80000,80000,elements,70719720.0,ns,670
wide euler 3d,nalgebra_f32x8,80000,80000,elements,71702383.0,ns,680
wide euler 3d,nalgebra_f32x8,80000,80000,elements,72771485.0,ns,690
wide euler 3d,nalgebra_f32x8,80000,80000,elements,73828146.0,ns,700
wide euler 3d,nalgebra_f32x8,80000,80000,elements,74878932.0,ns,710
wide euler 3d,nalgebra_f32x8,80000,80000,elements,75921644.0,ns,720
wide euler 3d,nalgebra_f32x8,80000,80000,elements,76801395.0,ns,730
wide euler 3d,nalgebra_f32x8,80000,80000,elements,78064534.0,ns,740
wide euler 3d,nalgebra_f32x8,80000,80000,elements,78834607.0,ns,750
wide euler 3d,nalgebra_f32x8,80000,80000,elements,80135768.0,ns,760
wide euler 3d,nalgebra_f32x8,80000,80000,elements,81210840.0,ns,770
wide euler 3d,nalgebra_f32x8,80000,80000,elements,82267503.0,ns,780
wide euler 3d,nalgebra_f32x8,80000,80000,elements,83706077.0,ns,790
wide euler 3d,nalgebra_f32x8,80000,80000,elements,84353353.0,ns,800
wide euler 3d,nalgebra_f32x8,80000,80000,elements,85415351.0,ns,810
wide euler 3d,nalgebra_f32x8,80000,80000,elements,86518614.0,ns,820
wide euler 3d,nalgebra_f32x8,80000,80000,elements,87535046.0,ns,830
wide euler 3d,nalgebra_f32x8,80000,80000,elements,88551307.0,ns,840
wide euler 3d,nalgebra_f32x8,80000,80000,elements,89632178.0,ns,850
wide euler 3d,nalgebra_f32x8,80000,80000,elements,91043911.0,ns,860
wide euler 3d,nalgebra_f32x8,80000,80000,elements,92265496.0,ns,870
wide euler 3d,nalgebra_f32x8,80000,80000,elements,93313812.0,ns,880
wide euler 3d,nalgebra_f32x8,80000,80000,elements,94337918.0,ns,890
wide euler 3d,nalgebra_f32x8,80000,80000,elements,95411805.0,ns,900
wide euler 3d,nalgebra_f32x8,80000,80000,elements,96607034.0,ns,910
wide euler 3d,nalgebra_f32x8,80000,80000,elements,97557439.0,ns,920
wide euler 3d,nalgebra_f32x8,80000,80000,elements,98551038.0,ns,930
wide euler 3d,nalgebra_f32x8,80000,80000,elements,99685738.0,ns,940
wide euler 3d,nalgebra_f32x8,80000,80000,elements,100682057.0,ns,950
