group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,1030151.0,ns,23285
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,2123854.0,ns,46570
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,3006376.0,ns,69855
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,4162652.0,ns,93140
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,5543168.0,ns,116425
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,6037822.0,ns,139710
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,7030673.0,ns,162995
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,7940858.0,ns,186280
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,9046860.0,ns,209565
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,10025079.0,ns,232850
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,10899817.0,ns,256135
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,11967507.0,ns,279420
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,13091712.0,ns,302705
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,13899629.0,ns,325990
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,14861578.0,ns,349275
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,15871486.0,ns,372560
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,16990055.0,ns,395845
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,17832105.0,ns,419130
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,18803853.0,ns,442415
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,19700958.0,ns,465700
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,20925767.0,ns,488985
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,21826096.0,ns,512270
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,22773668.0,ns,535555
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,23821552.0,ns,558840
wide matrix2 mul matrix2,glam_f32x1,16,16,elements,25065088.0,ns,582125
