group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix2 return self,glam_f32x1,16,16,elements,986260.0,ns,29751
wide matrix2 return self,glam_f32x1,16,16,elements,1958344.0,ns,59502
wide matrix2 return self,glam_f32x1,16,16,elements,2951230.0,ns,89253
wide matrix2 return self,glam_f32x1,16,16,elements,3930367.0,ns,119004
wide matrix2 return self,glam_f32x1,16,16,elements,5108818.0,ns,148755
wide matrix2 return self,glam_f32x1,16,16,elements,6185283.0,ns,178506
wide matrix2 return self,glam_f32x1,16,16,elements,6874474.0,ns,208257
wide matrix2 return self,glam_f32x1,16,16,elements,7881349.0,ns,238008
wide matrix2 return self,glam_f32x1,16,16,elements,8802890.0,ns,267759
wide matrix2 return self,glam_f32x1,16,16,elements,9723305.0,ns,297510
wide matrix2 return self,glam_f32x1,16,16,elements,10877889.0,ns,327261
wide matrix2 return self,glam_f32x1,16,16,elements,11635449.0,ns,357012
wide matrix2 return self,glam_f32x1,16,16,elements,12668593.0,ns,386763
wide matrix2 return self,glam_f32x1,16,16,elements,13618794.0,ns,416514
wide matrix2 return self,glam_f32x1,16,16,elements,14672852.0,ns,446265
wide matrix2 return self,glam_f32x1,16,16,elements,15655955.0,ns,476016
wide matrix2 return self,glam_f32x1,16,16,elements,16525100.0,ns,505767
wide matrix2 return self,glam_f32x1,16,16,elements,17692062.0,ns,535518
wide matrix2 return self,glam_f32x1,16,16,elements,18558713.0,ns,565269
wide matrix2 return self,glam_f32x1,16,16,elements,19584467.0,ns,595020
wide matrix2 return self,glam_f32x1,16,16,elements,20411667.0,ns,624771
wide matrix2 return self,glam_f32x1,16,16,elements,21514544.0,ns,654522
wide matrix2 return self,glam_f32x1,16,16,elements,22466036.0,ns,684273
wide matrix2 return self,glam_f32x1,16,16,elements,23380471.0,ns,714024
wide matrix2 return self,glam_f32x1,16,16,elements,24320764.0,ns,743775
wide matrix2 return self,glam_f32x1,16,16,elements,25283315.0,ns,773526
wide matrix2 return self,glam_f32x1,16,16,elements,26494133.0,ns,803277
wide matrix2 return self,glam_f32x1,16,16,elements,27107323.0,ns,833028
wide matrix2 return self,glam_f32x1,16,16,elements,27997971.0,ns,862779
wide matrix2 return self,glam_f32x1,16,16,elements,28963870.0,ns,892530
wide matrix2 return self,glam_f32x1,16,16,elements,30088700.0,ns,922281
wide matrix2 return self,glam_f32x1,16,16,elements,30938829.0,ns,952032
wide matrix2 return self,glam_f32x1,16,16,elements,32083468.0,ns,981783
wide matrix2 return self,glam_f32x1,16,16,elements,32815516.0,ns,1011534
wide matrix2 return self,glam_f32x1,16,16,elements,33836344.0,ns,1041285
wide matrix2 return self,glam_f32x1,16,16,elements,34655311.0,ns,1071036
wide matrix2 return self,glam_f32x1,16,16,elements,35792709.0,ns,1100787
wide matrix2 return self,glam_f32x1,16,16,elements,36631824.0,ns,1130538
wide matrix2 return self,glam_f32x1,16,16,elements,37769978.0,ns,1160289
wide matrix2 return self,glam_f32x1,16,16,elements,38562790.0,ns,1190040
wide matrix2 return self,glam_f32x1,16,16,elements,39803497.0,ns,1219791
wide matrix2 return self,glam_f32x1,16,16,elements,40714222.0,ns,1249542
wide matrix2 return self,glam_f32x1,16,16,elements,41907852.0,ns,1279293
wide matrix2 return self,glam_f32x1,16,16,elements,42380091.0,ns,1309044
wide matrix2 return self,glam_f32x1,16,16,elements,45263992.0,ns,1338795
wide matrix2 return self,glam_f32x1,16,16,elements,44509247.0,ns,1368546
wide matrix2 return self,glam_f32x1,16,16,elements,46062407.0,ns,1398297
wide matrix2 return self,glam_f32x1,16,16,elements,46336068.0,ns,1428048
wide matrix2 return self,glam_f32x1,16,16,elements,47682441.0,ns,1457799
wide matrix2 return self,glam_f32x1,16,16,elements,48277853.0,ns,1487550
wide matrix2 return self,glam_f32x1,16,16,elements,49733414.0,ns,1517301
wide matrix2 return self,glam_f32x1,16,16,elements,50252406.0,ns,1547052
wide matrix2 return self,glam_f32x1,16,16,elements,51423011.0,ns,1576803
wide matrix2 return self,glam_f32x1,16,16,elements,52318231.0,ns,1606554
wide matrix2 return self,glam_f32x1,16,16,elements,53787260.0,ns,1636305
wide matrix2 return self,glam_f32x1,16,16,elements,54134585.0,ns,1666056
wide matrix2 return self,glam_f32x1,16,16,elements,55402024.0,ns,1695807
wide matrix2 return self,glam_f32x1,16,16,elements,56552990.0,ns,1725558
wide matrix2 return self,glam_f32x1,16,16,elements,57199834.0,ns,1755309
wide matrix2 return self,glam_f32x1,16,16,elements,58744055.0,ns,1785060
wide matrix2 return self,glam_f32x1,16,16,elements,59536036.0,ns,1814811
wide matrix2 return self,glam_f32x1,16,16,elements,60717945.0,ns,1844562
wide matrix2 return self,glam_f32x1,16,16,elements,61321034.0,ns,1874313
wide matrix2 return self,glam_f32x1,16,16,elements,62453548.0,ns,1904064
wide matrix2 return self,glam_f32x1,16,16,elements,63365142.0,ns,1933815
wide matrix2 return self,glam_f32x1,16,16,elements,64443787.0,ns,1963566
wide matrix2 return self,glam_f32x1,16,16,elements,65494942.0,ns,1993317
wide matrix2 return self,glam_f32x1,16,16,elements,66171553.0,ns,2023068
wide matrix2 return self,glam_f32x1,16,16,elements,66937476.0,ns,2052819
wide matrix2 return self,glam_f32x1,16,16,elements,68707327.0,ns,2082570
wide matrix2 return self,glam_f32x1,16,16,elements,68417759.0,ns,2112321
wide matrix2 return self,glam_f32x1,16,16,elements,70996522.0,ns,2142072
wide matrix2 return self,glam_f32x1,16,16,elements,71005718.0,ns,2171823
wide matrix2 return self,glam_f32x1,16,16,elements,72770860.0,ns,2201574
wide matrix2 return self,glam_f32x1,16,16,elements,72632180.0,ns,2231325
wide matrix2 return self,glam_f32x1,16,16,elements,74362974.0,ns,2261076
wide matrix2 return self,glam_f32x1,16,16,elements,74951098.0,ns,2290827
wide matrix2 return self,glam_f32x1,16,16,elements,76142329.0,ns,2320578
wide matrix2 return self,glam_f32x1,16,16,elements,77353050.0,ns,2350329
wide matrix2 return self,glam_f32x1,16,16,elements,78007319.0,ns,2380080
wide matrix2 return self,glam_f32x1,16,16,elements,78874593.0,ns,2409831
wide matrix2 return self,glam_f32x1,16,16,elements,80763446.0,ns,2439582
wide matrix2 return self,glam_f32x1,16,16,elements,81162975.0,ns,2469333
wide matrix2 return self,glam_f32x1,16,16,elements,82346949.0,ns,2499084
wide matrix2 return self,glam_f32x1,16,16,elements,82600291.0,ns,2528835
wide matrix2 return self,glam_f32x1,16,16,elements,84012371.0,ns,2558586
wide matrix2 return self,glam_f32x1,16,16,elements,85360843.0,ns,2588337
wide matrix2 return self,glam_f32x1,16,16,elements,85403262.0,ns,2618088
wide matrix2 return self,glam_f32x1,16,16,elements,87356487.0,ns,2647839
wide matrix2 return self,glam_f32x1,16,16,elements,86743553.0,ns,2677590
wide matrix2 return self,glam_f32x1,16,16,elements,89694167.0,ns,2707341
wide matrix2 return self,glam_f32x1,16,16,elements,88857232.0,ns,2737092
wide matrix2 return self,glam_f32x1,16,16,elements,91133849.0,ns,2766843
wide matrix2 return self,glam_f32x1,16,16,elements,90915784.0,ns,2796594
wide matrix2 return self,glam_f32x1,16,16,elements,92485515.0,ns,2826345
wide matrix2 return self,glam_f32x1,16,16,elements,93415863.0,ns,2856096
wide matrix2 return self,glam_f32x1,16,16,elements,94451379.0,ns,2885847
wide matrix2 return self,glam_f32x1,16,16,elements,95373005.0,ns,2915598
wide matrix2 return self,glam_f32x1,16,16,elements,96867658.0,ns,2945349
wide matrix2 return self,glam_f32x1,16,16,elements,97039551.0,ns,2975100
