group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 determinant,glam_f32x1,16,16,elements,1120627.0,ns,18604
wide matrix3 determinant,glam_f32x1,16,16,elements,2109227.0,ns,37208
wide matrix3 determinant,glam_f32x1,16,16,elements,3126787.0,ns,55812
wide matrix3 determinant,glam_f32x1,16,16,elements,4061196.0,ns,74416
wide matrix3 determinant,glam_f32x1,16,16,elements,5075775.0,ns,93020
wide matrix3 determinant,glam_f32x1,16,16,elements,6028507.0,ns,111624
wide matrix3 determinant,glam_f32x1,16,16,elements,7029732.0,ns,130228
wide matrix3 determinant,glam_f32x1,16,16,elements,8001814.0,ns,148832
wide matrix3 determinant,glam_f32x1,16,16,elements,8986947.0,ns,167436
wide matrix3 determinant,glam_f32x1,16,16,elements,10054997.0,ns,186040
wide matrix3 determinant,glam_f32x1,16,16,elements,10982614.0,ns,204644
wide matrix3 determinant,glam_f32x1,16,16,elements,11966503.0,ns,223248
wide matrix3 determinant,glam_f32x1,16,16,elements,12934524.0,ns,241852
wide matrix3 determinant,glam_f32x1,16,16,elements,13892591.0,ns,260456
wide matrix3 determinant,glam_f32x1,16,16,elements,14910302.0,ns,279060
wide matrix3 determinant,glam_f32x1,16,16,elements,15871677.0,ns,297664
wide matrix3 determinant,glam_f32x1,16,16,elements,17033871.0,ns,316268
wide matrix3 determinant,glam_f32x1,16,16,elements,17945532.0,ns,334872
wide matrix3 determinant,glam_f32x1,16,16,elements,18814933.0,ns,353476
wide matrix3 determinant,glam_f32x1,16,16,elements,19889615.0,ns,372080
wide matrix3 determinant,glam_f32x1,16,16,elements,20868706.0,ns,390684
wide matrix3 determinant,glam_f32x1,16,16,elements,21871202.0,ns,409288
wide matrix3 determinant,glam_f32x1,16,16,elements,22773094.0,ns,427892
wide matrix3 determinant,glam_f32x1,16,16,elements,23822712.0,ns,446496
wide matrix3 determinant,glam_f32x1,16,16,elements,24931601.0,ns,465100
wide matrix3 determinant,glam_f32x1,16,16,elements,25788651.0,ns,483704
wide matrix3 determinant,glam_f32x1,16,16,elements,26799548.0,ns,502308
wide matrix3 determinant,glam_f32x1,16,16,elements,27714895.0,ns,520912
wide matrix3 determinant,glam_f32x1,16,16,elements,28694093.0,ns,539516
