group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,1026745.0,ns,12700
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,2086216.0,ns,25400
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,3086205.0,ns,38100
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,4050479.0,ns,50800
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,5032558.0,ns,63500
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,6039372.0,ns,76200
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,6993969.0,ns,88900
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,8052208.0,ns,101600
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,8990104.0,ns,114300
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,10023021.0,ns,127000
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,10950355.0,ns,139700
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,11995763.0,ns,152400
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,12938268.0,ns,165100
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,14043483.0,ns,177800
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,15022327.0,ns,190500
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,15909926.0,ns,203200
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,17598037.0,ns,215900
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,18163556.0,ns,228600
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,18987279.0,ns,241300
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,19926688.0,ns,254000
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,21024153.0,ns,266700
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,22114410.0,ns,279400
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,23047055.0,ns,292100
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,23824135.0,ns,304800
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,24848526.0,ns,317500
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,25856901.0,ns,330200
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,26745433.0,ns,342900
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,28014852.0,ns,355600
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,28932706.0,ns,368300
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,29979789.0,ns,381000
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,30775369.0,ns,393700
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,31790857.0,ns,406400
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,32810871.0,ns,419100
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,33870517.0,ns,431800
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,34751376.0,ns,444500
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,35863042.0,ns,457200
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,36668336.0,ns,469900
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,37780202.0,ns,482600
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,39179343.0,ns,495300
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,39778754.0,ns,508000
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,40679681.0,ns,520700
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,41490972.0,ns,533400
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,42781407.0,ns,546100
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,43692324.0,ns,558800
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,44961412.0,ns,571500
wide matrix3 inverse,ultraviolet_f32x4,16,16,elements,45813685.0,ns,584200
