group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 determinant,glam_f32x1,16,16,elements,1109188.0,ns,10004
wide matrix4 determinant,glam_f32x1,16,16,elements,2105726.0,ns,20008
wide matrix4 determinant,glam_f32x1,16,16,elements,3076410.0,ns,30012
wide matrix4 determinant,glam_f32x1,16,16,elements,4061373.0,ns,40016
wide matrix4 determinant,glam_f32x1,16,16,elements,5049215.0,ns,50020
wide matrix4 determinant,glam_f32x1,16,16,elements,6048760.0,ns,60024
wide matrix4 determinant,glam_f32x1,16,16,elements,7073162.0,ns,70028
wide matrix4 determinant,glam_f32x1,16,16,elements,7999280.0,ns,80032
wide matrix4 determinant,glam_f32x1,16,16,elements,8980882.0,ns,90036
wide matrix4 determinant,glam_f32x1,16,16,elements,9976838.0,ns,100040
wide matrix4 determinant,glam_f32x1,16,16,elements,10964299.0,ns,110044
wide matrix4 determinant,glam_f32x1,16,16,elements,11968058.0,ns,120048
wide matrix4 determinant,glam_f32x1,16,16,elements,12905691.0,ns,130052
wide matrix4 determinant,glam_f32x1,16,16,elements,13972245.0,ns,140056
wide matrix4 determinant,glam_f32x1,16,16,elements,14871345.0,ns,150060
wide matrix4 determinant,glam_f32x1,16,16,elements,15862078.0,ns,160064
wide matrix4 determinant,glam_f32x1,16,16,elements,16862492.0,ns,170068
wide matrix4 determinant,glam_f32x1,16,16,elements,17973124.0,ns,180072
wide matrix4 determinant,glam_f32x1,16,16,elements,18852720.0,ns,190076
wide matrix4 determinant,glam_f32x1,16,16,elements,20059916.0,ns,200080
wide matrix4 determinant,glam_f32x1,16,16,elements,20815832.0,ns,210084
wide matrix4 determinant,glam_f32x1,16,16,elements,21778653.0,ns,220088
wide matrix4 determinant,glam_f32x1,16,16,elements,22825970.0,ns,230092
wide matrix4 determinant,glam_f32x1,16,16,elements,23776851.0,ns,240096
wide matrix4 determinant,glam_f32x1,16,16,elements,24807484.0,ns,250100
wide matrix4 determinant,glam_f32x1,16,16,elements,25794323.0,ns,260104
wide matrix4 determinant,glam_f32x1,16,16,elements,26695394.0,ns,270108
wide matrix4 determinant,glam_f32x1,16,16,elements,27900759.0,ns,280112
wide matrix4 determinant,glam_f32x1,16,16,elements,28619735.0,ns,290116
wide matrix4 determinant,glam_f32x1,16,16,elements,29960469.0,ns,300120
wide matrix4 determinant,glam_f32x1,16,16,elements,30647066.0,ns,310124
wide matrix4 determinant,glam_f32x1,16,16,elements,31653580.0,ns,320128
wide matrix4 determinant,glam_f32x1,16,16,elements,32600684.0,ns,330132
wide matrix4 determinant,glam_f32x1,16,16,elements,33738425.0,ns,340136
wide matrix4 determinant,glam_f32x1,16,16,elements,34583181.0,ns,350140
wide matrix4 determinant,glam_f32x1,16,16,elements,35552336.0,ns,360144
wide matrix4 determinant,glam_f32x1,16,16,elements,36591449.0,ns,370148
wide matrix4 determinant,glam_f32x1,16,16,elements,37635921.0,ns,380152
wide matrix4 determinant,glam_f32x1,16,16,elements,38530796.0,ns,390156
wide matrix4 determinant,glam_f32x1,16,16,elements,39590262.0,ns,400160
wide matrix4 determinant,glam_f32x1,16,16,elements,41036934.0,ns,410164
wide matrix4 determinant,glam_f32x1,16,16,elements,41608918.0,ns,420168
wide matrix4 determinant,glam_f32x1,16,16,elements,42451081.0,ns,430172
