group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,1081386.0,ns,17700
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,2348559.0,ns,35400
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,3079600.0,ns,53100
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,4153909.0,ns,70800
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,5039750.0,ns,88500
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,6041927.0,ns,106200
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,7052230.0,ns,123900
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,8041505.0,ns,141600
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,9015348.0,ns,159300
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,10111292.0,ns,177000
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,11079691.0,ns,194700
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,12108588.0,ns,212400
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,12960357.0,ns,230100
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,14018627.0,ns,247800
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,14938171.0,ns,265500
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,15928735.0,ns,283200
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,16888320.0,ns,300900
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,17911669.0,ns,318600
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,18941615.0,ns,336300
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,19935733.0,ns,354000
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,20963230.0,ns,371700
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,21999812.0,ns,389400
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,22926275.0,ns,407100
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,23862484.0,ns,424800
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,24810448.0,ns,442500
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,26140547.0,ns,460200
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,26855823.0,ns,477900
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,31591308.0,ns,495600
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,29201481.0,ns,513300
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,29814897.0,ns,531000
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,30837811.0,ns,548700
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,31894968.0,ns,566400
wide matrix4 determinant,ultraviolet_f32x4,16,16,elements,32802128.0,ns,584100
