group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,1005831.0,ns,5928
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,1990606.0,ns,11856
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,3026977.0,ns,17784
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,3963156.0,ns,23712
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,4930149.0,ns,29640
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,5968451.0,ns,35568
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,6952768.0,ns,41496
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,7970835.0,ns,47424
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,8894649.0,ns,53352
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,10013802.0,ns,59280
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,10872032.0,ns,65208
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,11903472.0,ns,71136
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,13044360.0,ns,77064
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,13994775.0,ns,82992
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,14850999.0,ns,88920
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,15895984.0,ns,94848
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,16876048.0,ns,100776
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,18426359.0,ns,106704
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,19115876.0,ns,112632
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,20002919.0,ns,118560
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,20953140.0,ns,124488
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,21970609.0,ns,130416
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,22836148.0,ns,136344
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,24052241.0,ns,142272
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,24913838.0,ns,148200
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,25846822.0,ns,154128
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,26848187.0,ns,160056
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,27824452.0,ns,165984
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,28962127.0,ns,171912
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,29843558.0,ns,177840
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,30711008.0,ns,183768
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,31861796.0,ns,189696
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,32680981.0,ns,195624
wide matrix4 return self,ultraviolet_f32x8,16,16,elements,33801163.0,ns,201552
